deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Barometric Pressure,met_barpres,Pa,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Relative Humidity,relative_humidity,%,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Air Temperature,air_temperature,ºC,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Downwelling Longwave Irradiance,longwave_irradiance,W m-2,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Precipitation,precipitation,mm,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sea Surface Temperature,sea_surface_temperature,ºC,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sea Surface Conductivity,sea_surface_conductivity,S m-1,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Downwelling Shortwave Irradiance,shortwave_irradiance,W m-2,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Eastward relative to Magnetic North,eastward_wind_velocity,m s-1,pass,231714.0,2.0,no missing data,231560.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Northward relative to Magnetic North,northward_wind_velocity,m s-1,pass,231714.0,2.0,no missing data,231560.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Eastward Relative to True North,met_windavg_mag_corr_east,m s-1,pass,231714.0,2.0,no missing data,231560.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Northward Relative to True North,met_windavg_mag_corr_north,m s-1,pass,231714.0,2.0,no missing data,231560.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Surface Current Direction,met_current_direction,degrees,pass,231714.0,231714.0,No valid data to compare,0.0,,,,
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Surface Current Speed,met_current_speed,m s-1,pass,231714.0,231714.0,No valid data to compare,0.0,,,,
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Relative Wind Direction,met_relwind_direction,degrees,pass,231714.0,231714.0,No valid data to compare,0.0,,,,
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Relative Wind Speed,met_relwind_speed,m s-1,pass,231714.0,2.0,no missing data,231560.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Net Shortwave Irradiance,met_netsirr,W m-2,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sea Surface Practical Salinity,met_salsurf,1,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Specific Humidity,met_spechum,g kg-1,pass,231714.0,0.0,no missing data,231562.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Net Heat Flux,met_heatflx_minute,W m-2,pass,231714.0,3896.0,no missing data,227666.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Latent Heat Flux,met_latnflx_minute,W m-2,pass,231714.0,3896.0,no missing data,227666.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Net Longwave Radiation,met_netlirr_minute,W m-2,pass,231714.0,3896.0,no missing data,227666.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sensible Heat Flux,met_sensflx_minute,W m-2,pass,231714.0,3896.0,no missing data,227666.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Rain Rate,met_rainrte,mm hr-1,pass,3863.0,0.0,no missing data,3860.0,0.0,0.0002618858,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Sonic Buoyancy Flux,met_buoyfls,W m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,0.3759332419,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Buoyancy Flux,met_buoyflx,W m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,0.3857405219,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Freshwater Flux,met_frshflx,mm hr-1,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0014903341,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Net Heat Flux,met_heatflx,W m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0935879167,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Latent Heat Flux,met_latnflx,W m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,0.8414709312,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Momentum Flux,met_mommflx,N m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0014037779,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Net Longwave Radiation,met_netlirr,W m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,1.0164058563,1.0,0.03
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Rain Heat Flux,met_rainflx,W m-2,pass,3863.0,655.0,no missing data,3205.0,0.0,0.0002066427,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Sensible Heat Flux,met_sensflx,W m-2,pass,3863.0,657.0,no missing data,3203.0,0.0,0.3259161142,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Specific Humidity,met_sphum2m,g kg-1,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0236531431,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Air Temperature,met_tempa2m,ºC,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0307118915,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Skin Seawater Temperature,met_tempskn,ºC,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0064144939,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Wind Velocity at 10 M,met_wind10m,m s-1,pass,3863.0,657.0,no missing data,3203.0,0.0,0.0853090036,0.0,0.0
deployment0001,recovered_host-metbk_hourly,telemetered-metbk_hourly,Net Shortwave Irradiance,met_netsirr_hourly,W m-2,pass,3863.0,0.0,no missing data,3860.0,0.0,0.057599915,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Barometric Pressure,met_barpres,Pa,pass,306987.0,0.0,no missing data,306953.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Relative Humidity,relative_humidity,%,pass,306987.0,872.0,no missing data,306081.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Air Temperature,air_temperature,ºC,pass,306987.0,872.0,no missing data,306081.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Downwelling Longwave Irradiance,longwave_irradiance,W m-2,pass,306987.0,0.0,no missing data,306953.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Precipitation,precipitation,mm,pass,306987.0,0.0,no missing data,306953.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sea Surface Temperature,sea_surface_temperature,ºC,pass,306987.0,0.0,no missing data,306953.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sea Surface Conductivity,sea_surface_conductivity,S m-1,pass,306987.0,0.0,no missing data,306953.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Downwelling Shortwave Irradiance,shortwave_irradiance,W m-2,pass,306987.0,47.0,no missing data,306906.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Eastward relative to Magnetic North,eastward_wind_velocity,m s-1,pass,306987.0,89.0,no missing data,306864.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Northward relative to Magnetic North,northward_wind_velocity,m s-1,pass,306987.0,89.0,no missing data,306864.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Eastward Relative to True North,met_windavg_mag_corr_east,m s-1,pass,306987.0,89.0,no missing data,306864.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Mean Wind Velocity - Northward Relative to True North,met_windavg_mag_corr_north,m s-1,pass,306987.0,89.0,no missing data,306864.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Surface Current Direction,met_current_direction,degrees,pass,306987.0,306987.0,No valid data to compare,0.0,,,,
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Surface Current Speed,met_current_speed,m s-1,pass,306987.0,306987.0,No valid data to compare,0.0,,,,
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Relative Wind Direction,met_relwind_direction,degrees,pass,306987.0,306987.0,No valid data to compare,0.0,,,,
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Relative Wind Speed,met_relwind_speed,m s-1,pass,306987.0,89.0,no missing data,306864.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Net Shortwave Irradiance,met_netsirr,W m-2,pass,306987.0,47.0,no missing data,306906.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sea Surface Practical Salinity,met_salsurf,1,pass,306987.0,0.0,no missing data,306953.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Specific Humidity,met_spechum,g kg-1,pass,306987.0,872.0,no missing data,306081.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Net Heat Flux,met_heatflx_minute,W m-2,pass,306987.0,5831.0,no missing data,301122.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Latent Heat Flux,met_latnflx_minute,W m-2,pass,306987.0,5831.0,no missing data,301122.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Net Longwave Radiation,met_netlirr_minute,W m-2,pass,306987.0,5831.0,no missing data,301122.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_a_dcl_instrument_recovered,telemetered-metbk_a_dcl_instrument,Sensible Heat Flux,met_sensflx_minute,W m-2,pass,306987.0,5831.0,no missing data,301122.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Rain Rate,met_rainrte,mm hr-1,pass,5118.0,0.0,no missing data,5117.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Sonic Buoyancy Flux,met_buoyfls,W m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,0.1764327252,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Buoyancy Flux,met_buoyflx,W m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,0.1787224493,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Freshwater Flux,met_frshflx,mm hr-1,pass,5118.0,893.0,no missing data,4224.0,0.0,0.0002882845,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Net Heat Flux,met_heatflx,W m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,20.5115938777,1.0,0.02
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Latent Heat Flux,met_latnflx,W m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,0.1979746352,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Momentum Flux,met_mommflx,N m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,0.0010796829,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Net Longwave Radiation,met_netlirr,W m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,0.5480182511,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Rain Heat Flux,met_rainflx,W m-2,pass,5118.0,884.0,no missing data,4233.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Sensible Heat Flux,met_sensflx,W m-2,pass,5118.0,893.0,no missing data,4224.0,0.0,0.1647551322,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Specific Humidity,met_sphum2m,g kg-1,pass,5118.0,893.0,no missing data,4224.0,0.0,0.0166174355,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Air Temperature,met_tempa2m,ºC,pass,5118.0,893.0,no missing data,4224.0,0.0,0.0124720057,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Skin Seawater Temperature,met_tempskn,ºC,pass,5118.0,893.0,no missing data,4224.0,0.0,0.0021766822,0.0,0.0
deployment0002,recovered_host-metbk_hourly,telemetered-metbk_hourly,Wind Velocity at 10 M,met_wind10m,m s-1,pass,5118.0,893.0,no missing data,4224.0,0.0,0.0841923325,0.0,0.0
