deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,138973.0,0.0,"{'missing_data_gaps': [['2014-04-24T03:00:00', '2014-04-28T22:00:00']], 'n_missing_days_total': 5, 'n_hours_missing': [39], 'n_hours_missing_total': 39}",0.0,,,,
deployment0001,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,138973.0,0.0,"{'missing_data_gaps': [['2014-04-24T03:00:00', '2014-04-28T22:00:00']], 'n_missing_days_total': 5, 'n_hours_missing': [39], 'n_hours_missing_total': 39}",0.0,,,,
deployment0001,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,138973.0,0.0,"{'missing_data_gaps': [['2014-04-24T03:00:00', '2014-04-28T22:00:00']], 'n_missing_days_total': 5, 'n_hours_missing': [39], 'n_hours_missing_total': 39}",0.0,,,,
deployment0002,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,4372187.0,0.0,"{'missing_data_gaps': [['2014-12-26T05:51:11', '2014-12-31T22:15:10'], ['2015-01-20T10:32:22', '2015-01-20T10:37:00']], 'n_missing': [148390, 557], 'n_missing_total': 148947, 'n_missing_days_total': 7}",4325333.0,0.0,0.0,0.0,0.0
deployment0002,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,4372187.0,0.0,"{'missing_data_gaps': [['2014-12-26T05:51:11', '2014-12-31T22:15:10'], ['2015-01-20T10:32:22', '2015-01-20T10:37:00']], 'n_missing': [148390, 557], 'n_missing_total': 148947, 'n_missing_days_total': 7}",4325333.0,0.0,0.0,0.0,0.0
deployment0002,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,4372187.0,0.0,"{'missing_data_gaps': [['2014-12-26T05:51:11', '2014-12-31T22:15:10'], ['2015-01-20T10:32:22', '2015-01-20T10:37:00']], 'n_missing': [148390, 557], 'n_missing_total': 148947, 'n_missing_days_total': 7}",4325333.0,0.0,0.0,0.0,0.0
deployment0003,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,3854088.0,0.0,"{'missing_data_gaps': [['2015-04-07T03:46:06', '2015-04-12T19:47:16'], ['2015-05-07T00:00:00', '2015-05-12T23:49:54'], ['2015-05-19T05:24:43', '2015-05-24T21:35:02'], ['2015-06-27T07:36:45', '2015-06-27T08:09:21'], ['2015-07-06T04:54:26', '2015-07-11T21:24:00'], ['2015-08-03T18:11:46', '2015-08-03T18:11:46'], ['2015-08-11T00:14:55', '2015-08-16T23:57:35'], ['2015-08-29T05:47:18', '2015-09-03T22:41:17']], 'n_missing': [146372, 152784, 146978, 3914, 152266, 2, 154060, 154836], 'n_missing_total': 911212, 'n_missing_days_total': 38}",3814256.0,0.0,0.0,0.0,0.0
deployment0003,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Northward Mean Point Seawater Velocity,vel3d_k_northward_velocity,m s-1,pass,3854088.0,0.0,"{'missing_data_gaps': [['2015-04-07T03:46:06', '2015-04-12T19:47:16'], ['2015-05-07T00:00:00', '2015-05-12T23:49:54'], ['2015-05-19T05:24:43', '2015-05-24T21:35:02'], ['2015-06-27T07:36:45', '2015-06-27T08:09:21'], ['2015-07-06T04:54:26', '2015-07-11T21:24:00'], ['2015-08-03T18:11:46', '2015-08-03T18:11:46'], ['2015-08-11T00:14:55', '2015-08-16T23:57:35'], ['2015-08-29T05:47:18', '2015-09-03T22:41:17']], 'n_missing': [146372, 152784, 146978, 3914, 152266, 2, 154060, 154836], 'n_missing_total': 911212, 'n_missing_days_total': 38}",3814256.0,0.0,0.0,0.0,0.0
deployment0003,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Upward Mean Point Seawater Velocity,vel3d_k_upward_velocity,m s-1,pass,3854088.0,0.0,"{'missing_data_gaps': [['2015-04-07T03:46:06', '2015-04-12T19:47:16'], ['2015-05-07T00:00:00', '2015-05-12T23:49:54'], ['2015-05-19T05:24:43', '2015-05-24T21:35:02'], ['2015-06-27T07:36:45', '2015-06-27T08:09:21'], ['2015-07-06T04:54:26', '2015-07-11T21:24:00'], ['2015-08-03T18:11:46', '2015-08-03T18:11:46'], ['2015-08-11T00:14:55', '2015-08-16T23:57:35'], ['2015-08-29T05:47:18', '2015-09-03T22:41:17']], 'n_missing': [146372, 152784, 146978, 3914, 152266, 2, 154060, 154836], 'n_missing_total': 911212, 'n_missing_days_total': 38}",3814256.0,0.0,0.0,0.0,0.0
deployment0004,recovered_wfp-vel3d_k_wfp_instrument,telemetered-vel3d_k_wfp_stc_instrument,Eastward Mean Point Seawater Velocity,vel3d_k_eastward_velocity,m s-1,pass,4746157.0,0.0,no missing data,1248298.0,0.0,0.0,0.0,0.0
