deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2018-12-13T01:36:17,recovered_inst,presf_abc_tide_measurement_recovered,"['recovered_host', 'telemetered']",0 days 00:00:00,0 days 00:30:00,0,0,[],170,4057,170,542,560.83,562.64,561,19,presf_tide_pressure,dbar,2,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_tide_measurement_recovered_20150409T173000-20150925T173000
deployment0001,2018-12-13T01:52:10,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 05:00:02,0 days 01:29:58,0,0,[],170,676,170,542,560.81,562.42,561,19,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'stats not calculated': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0001_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_wave_burst_recovered_20150409T223002-20150925T163002
deployment0002,2018-12-13T01:36:17,recovered_inst,presf_abc_tide_measurement_recovered,[],0 days 00:24:00,0 days 00:58:00,0,0,[0.3178],206,4912,206,542,538.04,544.21,538,-4,presf_tide_pressure,dbar,0,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_tide_measurement_recovered_20151015T233000-20160507T143000
deployment0002,2018-12-13T01:52:10,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 00:24:02,0 days 03:57:58,0,0,[0.3178],206,819,206,542,538.05,544.09,538,-4,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'stats not calculated': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0002_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_wave_burst_recovered_20151015T233002-20160507T113002
deployment0003,2018-12-13T01:36:17,recovered_inst,presf_abc_tide_measurement_recovered,[],0 days 00:00:36,0 days 00:00:24,0,0,"[0.2299, 0.538]",134,191390,134,542,549.43,551.16,549,7,presf_tide_pressure,dbar,0,60,"{'n_unique_rates': 1, 'common_sampling_rates': {'60': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_tide_measurement_recovered_20160512T174536-20160922T153436
deployment0003,2018-12-13T01:52:10,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 00:01:38,0 days 00:00:22,0,0,"[0.2299, 0.538]",134,95695,134,542,1551.91,1586.98,1552,1010,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,120,"{'n_unique_rates': 1, 'common_sampling_rates': {'120': '100.00%'}}",[],[],[],0,0,pass,1,{'stats not calculated': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0003_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_wave_burst_recovered_20160512T174638-20160922T153438
deployment0004,2018-12-13T01:36:17,recovered_inst,presf_abc_tide_measurement_recovered,"['recovered_host', 'telemetered']",0 days 00:04:00,0 days 00:47:00,0,0,"[1.122, 1.3964, 0.8987]",206,4934,206,542,540.9,552.86,541,-1,presf_tide_pressure,dbar,1,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_tide_measurement_recovered_20160921T013000-20170414T143000
deployment0004,2018-12-13T01:52:10,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 01:04:02,0 days 00:46:58,0,0,"[1.122, 1.3964, 0.8987]",206,823,206,542,540.91,686.88,541,-1,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'stats not calculated': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0004_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_wave_burst_recovered_20160921T023002-20170414T143002
deployment0005,2018-12-13T01:58:32,telemetered,presf_abc_dcl_tide_measurement,[],0 days 01:45:54,15 days 01:20:31,0,15,"[0.1348, 0.382, 0.1766, 1.0186]",178,3024,135,542,548.81,550.58,549,7,abs_seafloor_pressure,dbar,0,3599,"{'n_unique_rates': 15, 'common_sampling_rates': {'3599': '93.25%'}}",[],[],"[['2017-08-11T20:29:39', '2017-08-21T15:29:38'], ['2017-08-22T13:29:38', '2017-08-25T16:29:37'], ['2017-08-25T16:29:37', '2017-08-27T20:29:37'], ['2017-08-28T18:29:37', '2017-09-03T17:29:36'], ['2017-09-03T17:29:36', '2017-09-07T07:29:36'], ['2017-09-07T07:29:36', '2017-09-09T17:29:36'], ['2017-09-09T17:29:36', '2017-09-14T16:29:35'], ['2017-09-15T17:29:35', '2017-09-19T00:29:35']]",8,31,pass,3,{'99': 3},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0005_CE09OSSM-MFD35-02-PRESFC000-telemetered-presf_abc_dcl_tide_measurement_20170412T022954.593000-20170921T222934.907000
deployment0006,2018-12-13T01:36:17,recovered_inst,presf_abc_tide_measurement_recovered,"['recovered_host', 'telemetered']",0 days 00:54:22,0 days 00:45:00,0,0,"[2.0957, 2.3627, 1.8728, 0.9741, 1.9892]",178,4243,177,542,560.91,562.7,561,19,presf_tide_pressure,dbar,1,3600,"{'n_unique_rates': 1, 'common_sampling_rates': {'3600': '100.00%'}}",[],[],[],0,0,pass,2,{'99': 2},no comparison: timestamps do not match,no comparison: timestamps do not match,fail: data found in another stream (gaps: [1] days: [0]),"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0006_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_tide_measurement_recovered_20171005T003000-20180330T183000
deployment0006,2018-12-13T01:52:10,recovered_inst,presf_abc_wave_burst_recovered,[],0 days 05:54:24,0 days 01:44:58,0,0,"[2.0957, 2.3627, 1.8728, 0.9741, 1.9892]",178,707,177,542,560.92,562.56,561,19,presf_wave_burst_pressure,dbar,not calculated: variable has more than 1 dimension,21600,"{'n_unique_rates': 1, 'common_sampling_rates': {'21600': '100.00%'}}",[],[],[],0,0,pass,1,{'stats not calculated': 1},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0006_CE09OSSM-MFD35-02-PRESFC000-recovered_inst-presf_abc_wave_burst_recovered_20171005T053002-20180330T173002
deployment0007,2018-12-13T01:36:04,recovered_host,presf_abc_dcl_tide_measurement_recovered,['telemetered'],0 days 03:50:59,145 days 13:45:04,0,145,"[0.1001, 0.3053, 0.2417, 1.0954, 0.0771, 2.0655]",178,760,33,554,544.67,546.14,545,-9,abs_seafloor_pressure,dbar,0,3599,"{'n_unique_rates': 11, 'common_sampling_rates': {'3599': '65.61%', '3600': '16.34%'}}",[],[],[],0,0,pass,3,{'99': 3},{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",missing: ['pressure'],[],deployment0007_CE09OSSM-MFD35-02-PRESFC000-recovered_host-presf_abc_dcl_tide_measurement_recovered_20180326T052959.159000-20180427T002956.909000
