deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4057.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4057.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4057.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4057.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0002,recovered_inst-presf_abc_tide_measurement_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0002,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_inst-presf_abc_tide_measurement_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4934.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4934.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4934.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4934.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0005,telemetered-presf_abc_dcl_tide_measurement,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seafloor Pressure,presf_tide_pressure,dbar,pass,4243.0,0.0,"{'missing_data_gaps': ['2017-10-05T00:00:00'], 'n_missing_days_total': 0, 'n_hours_missing': [1], 'n_hours_missing_total': 1}",0.0,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,recovered_host-presf_abc_dcl_tide_measurement_recovered,Seawater Temperature,presf_tide_temperature,ºC,pass,4243.0,0.0,"{'missing_data_gaps': ['2017-10-05T00:00:00'], 'n_missing_days_total': 0, 'n_hours_missing': [1], 'n_hours_missing_total': 1}",0.0,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,presf_tide_pressure,dbar,pass,4243.0,0.0,"{'missing_data_gaps': ['2017-10-05T00:00:00'], 'n_missing_days_total': 0, 'n_hours_missing': [1], 'n_hours_missing_total': 1}",0.0,,,,
deployment0006,recovered_inst-presf_abc_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,presf_tide_temperature,ºC,pass,4243.0,0.0,"{'missing_data_gaps': ['2017-10-05T00:00:00'], 'n_missing_days_total': 0, 'n_hours_missing': [1], 'n_hours_missing_total': 1}",0.0,,,,
deployment0006,recovered_inst-presf_abc_wave_burst_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0007,recovered_host-presf_abc_dcl_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seafloor Pressure,abs_seafloor_pressure,dbar,pass,760.0,0.0,no missing data,758.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-presf_abc_dcl_tide_measurement_recovered,telemetered-presf_abc_dcl_tide_measurement,Seawater Temperature,seawater_temperature,ºC,pass,760.0,0.0,no missing data,758.0,0.0,0.0,0.0,0.0
