deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",215,0,0,0.0,0.0,215,100.0,4.9754,4.6605,5.3906,0.1467
deployment0001,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",215,0,0,,,0,0.0,,,,
deployment0004,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",2570,0,0,0.0,0.0,2570,100.0,4.9456,4.3949,5.6559,0.1949
deployment0004,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",2570,266,0,1961.0,0.0,343,13.35,321.7409,100.3197,596.353,161.6001
deployment0005,telemetered,pco2w_abc_dcl_instrument,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",154,0,0,0.0,0.0,154,100.0,4.995,4.749,5.2136,0.1082
deployment0005,telemetered,pco2w_abc_dcl_instrument,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",154,0,0,,,0,0.0,,,,
deployment0006,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1012,0,0,0.0,0.0,1012,100.0,5.035,4.6163,5.5233,0.1796
deployment0006,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",1012,0,0,,,0,0.0,,,,
deployment0007,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2w_thermistor_temperature,ºC,-9999999.0,"[-2.0, 40.0]",735,0,0,0.0,0.0,735,100.0,4.8717,4.572,5.4348,0.1401
deployment0007,recovered_host,pco2w_abc_dcl_instrument_recovered,pco2_seawater,µatm,-9999999.0,"[100.0, 600.0]",735,0,0,,,0,0.0,,,,
