deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,16226.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0001,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,16226.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0004,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,14783.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0004,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,14783.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,17085.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0005,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,17085.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,16971.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_inst-dosta_abcdjm_ctdbp_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,16971.0,0.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0007,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,758.0,0.0,no missing data,757.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-dosta_abcdjm_ctdbp_dcl_instrument_recovered,telemetered-dosta_abcdjm_ctdbp_dcl_instrument,Dissolved Oxygen Concentration,dosta_ln_optode_oxygen,uM,pass,758.0,0.0,no missing data,757.0,0.0,0.0,0.0,0.0
