deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,adcp_velocity_earth,salinity,1,-1,"[None, None]",4424,0,0,no global ranges,0.0,4424,100.0,33.0,33.0,33.0,0.0
deployment0001,recovered_inst,adcp_velocity_earth,temperature,cdeg_C,-9999,"[None, None]",4424,0,0,no global ranges,0.0,4424,100.0,1195.3386,1102.0,1293.0,50.6502
deployment0001,recovered_inst,adcp_velocity_earth,pressure,daPa,0,"[None, None]",4424,0,4424,,,0,0.0,,,,
deployment0001,recovered_inst,adcp_velocity_earth,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[4424, 97328]",0,0,0,13.0,97315,99.99,101.311,-337.0,585.0,97.4136
deployment0001,recovered_inst,adcp_velocity_earth,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[4424, 97328]",0,0,0,2.0,97326,100.0,-83.6672,-501.0,391.0,99.6115
deployment0001,recovered_inst,adcp_velocity_earth,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[4424, 97328]",0,0,0,532.0,96796,99.45,-9.803,-79.0,59.0,11.4019
deployment0001,recovered_inst,adcp_velocity_earth,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[4424, 97328]",0,121,0,360.0,96847,99.51,0.7062,-34.0,36.0,6.3096
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[4424, 97328]",0,0,0,0.0,97328,100.0,49.8327,21.15,87.75,14.942
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[4424, 97328]",0,0,0,0.0,97328,100.0,45.4115,18.45,82.8,14.8381
deployment0001,recovered_inst,adcp_velocity_earth,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[4424, 97328]",0,0,0,0.0,97328,100.0,49.3347,20.7,86.4,15.2359
