deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,temperature,ºC,-9999999.0,"[-2.0, 40.0]",368,0,0,0,0.0,368.0,100.0,13.7457,13.2,14.2,0.2485
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,speed_of_sound,m s-1,-1,"[1380.0, 1580.0]",368,0,0,0,0.0,368.0,100.0,1504.9375,1503.0,1507.0,0.7898
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"upward_earth_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"earth_error_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"adcps_pd12_eastward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-3.0, 3.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"adcps_pd12_northward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-3.0, 3.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"corrected_echo_intensity_beam4 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_direction (dims: ['time', 'bin'])",degrees,-9999999.0,"[0.0, 359.9]","[368, 11040]",0,0,0,,,100.0,,,,
deployment0001,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity (dims: ['time', 'bin'])",mm d-1,-9999999.0,"[None, None]","[368, 11040]",0,0,no global ranges,,,100.0,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,temperature,ºC,-9999999.0,"[-2.0, 40.0]",26,0,0,0,0.0,26.0,100.0,13.8923,13.8,14.0,0.0781
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,speed_of_sound,m s-1,-1,"[1380.0, 1580.0]",26,0,0,0,0.0,26.0,100.0,1505.5385,1505.0,1511.0,1.1842
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[26, 936]",0,1,0,,,99.89,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[26, 936]",0,1,0,,,99.89,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[26, 936]",0,1,0,,,99.89,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[26, 936]",0,15,2,,,98.18,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"upward_earth_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[26, 936]",1,0,0,,,99.89,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"earth_error_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[26, 936]",15,0,2,,,98.18,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"adcps_pd12_eastward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-3.0, 3.0]","[26, 936]",1,0,0,,,99.89,,,,
deployment0002,telemetered,adcpt_acfgm_pd8_dcl_instrument,"adcps_pd12_northward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-3.0, 3.0]","[26, 936]",1,0,0,,,99.89,,,,
