deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,velpt_ab_dcl_instrument,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",1229,0,0,0,0,1229,100.0,-10.5037,-313.0,219.0,78.6994
deployment0001,telemetered,velpt_ab_dcl_instrument,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",1229,0,0,0,0,1229,100.0,-1.7925,-233.0,201.0,69.2342
deployment0001,telemetered,velpt_ab_dcl_instrument,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",1229,0,0,0,0,1229,100.0,-8.6078,-79.0,66.0,18.2641
deployment0001,telemetered,velpt_ab_dcl_instrument,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",1229,0,0,0,0,1229,100.0,-0.0097,-0.2947,0.2202,0.0744
deployment0001,telemetered,velpt_ab_dcl_instrument,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",1229,0,0,0,0,1229,100.0,-0.0044,-0.2618,0.2283,0.0738
deployment0001,telemetered,velpt_ab_dcl_instrument,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",1229,0,0,0,0,1229,100.0,-0.0086,-0.079,0.066,0.0183
deployment0001,telemetered,velpt_ab_dcl_instrument,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",1229,0,0,0,0,1229,100.0,133071.8527,132404.0,133909.0,341.3629
deployment0003,recovered_host,velpt_ab_dcl_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",323,0,0,0,0,323,100.0,15.1176,-97.0,162.0,52.2493
deployment0003,recovered_host,velpt_ab_dcl_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",323,0,0,0,0,323,100.0,7.9598,-130.0,158.0,45.39
deployment0003,recovered_host,velpt_ab_dcl_instrument_recovered,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",323,0,0,0,0,323,100.0,-24.4056,-78.0,31.0,17.5095
