deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,velpt_ab_dcl_instrument,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",3119,0,0,0,0,3119,100.0,-67.5281,-429.0,260.0,104.2514
deployment0001,telemetered,velpt_ab_dcl_instrument,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",3119,0,0,0,0,3119,100.0,-17.4424,-442.0,242.0,105.0185
deployment0001,telemetered,velpt_ab_dcl_instrument,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",3119,0,0,0,0,3119,100.0,12.0846,-66.0,66.0,17.3283
deployment0001,telemetered,velpt_ab_dcl_instrument,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3119,0,0,0,0,3119,100.0,-0.0611,-0.4159,0.2578,0.1007
deployment0001,telemetered,velpt_ab_dcl_instrument,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3119,0,0,0,0,3119,100.0,-0.0337,-0.454,0.2312,0.1084
deployment0001,telemetered,velpt_ab_dcl_instrument,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",3119,0,0,0,0,3119,100.0,0.0121,-0.066,0.066,0.0173
deployment0001,telemetered,velpt_ab_dcl_instrument,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",3119,0,0,0,0,3119,100.0,7767.1449,7126.0,8145.0,185.7955
deployment0002,telemetered,velpt_ab_dcl_instrument,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",156,0,0,0,0,156,100.0,25.6346,-264.0,1044.0,244.745
deployment0002,telemetered,velpt_ab_dcl_instrument,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",156,0,0,0,0,156,100.0,107.8654,-183.0,646.0,153.754
deployment0002,telemetered,velpt_ab_dcl_instrument,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",156,0,0,3,3,153,98.08,-178.9739,-957.0,65.0,270.0809
deployment0002,telemetered,velpt_ab_dcl_instrument,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",156,0,0,0,0,156,100.0,-0.002,-0.2951,1.0192,0.2268
deployment0002,telemetered,velpt_ab_dcl_instrument,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",156,0,0,0,0,156,100.0,0.1109,-0.1999,0.7122,0.1791
deployment0002,telemetered,velpt_ab_dcl_instrument,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",156,0,0,3,3,153,98.08,-0.179,-0.957,0.065,0.2701
deployment0002,telemetered,velpt_ab_dcl_instrument,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",156,0,0,0,0,156,100.0,7820.3462,7692.0,7963.0,68.9523
deployment0003,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",16232,0,0,0,0,16232,100.0,57.7217,-586.0,570.0,160.7237
