deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-phsen_abcdef_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0002,telemetered-phsen_abcdef_dcl_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0005,recovered_inst-phsen_abcdef_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,505.0,0.0,no missing data,505.0,0.0,0.0,0.0,0.0
deployment0006,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,505.0,91.0,no missing data,78.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,2004.0,0.0,"{'missing_data_gaps': ['2017-11-01T00:59:59'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2004.0,0.0,0.0,0.0,0.0
deployment0007,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,2004.0,0.0,"{'missing_data_gaps': ['2017-11-01T00:59:59'], 'n_missing': [1], 'n_missing_total': 1, 'n_missing_days_total': 0}",2004.0,0.0,0.0,0.0,0.0
deployment0008,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3626.0,0.0,no missing data,3302.0,0.0,0.0,0.0,0.0
deployment0008,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,3626.0,52.0,no missing data,3300.0,0.0,0.0005319873,0.0,0.0
deployment0008,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3626.0,0.0,no missing data,3315.0,0.0,0.0,0.0,0.0
deployment0008,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3626.0,52.0,no missing data,3315.0,0.0,0.0004273423,0.0,0.0
