deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2446573.0,0.0,no missing data,2444980.0,0.0,8e-10,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2446573.0,0.0,no missing data,2444980.0,0.0,0.0726,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2446573.0,0.0,no missing data,2444980.0,0.0,0.2718,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,2446573.0,0.0,no missing data,2444980.0,0.0,3.0512e-05,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2446573.0,0.0,no missing data,2444980.0,0.0,0.0002062827,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,2446573.0,2446573.0,No valid data to compare,0.0,,,,
deployment0002,telemetered-flort_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2359816.0,2333812.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2359816.0,0.0,no missing data,2357143.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2359816.0,0.0,no missing data,2357143.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,2359816.0,0.0,no missing data,2357143.0,0.0,0.0,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2359816.0,2333812.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,2359816.0,2359816.0,No valid data to compare,0.0,,,,
deployment0004,recovered_host-flort_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,1866349.0,1866349.0,No valid data to compare,0.0,,,,
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,1866349.0,0.0,no missing data,1866657.0,0.0,0.2178,0.0,0.0
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,1866349.0,0.0,no missing data,1866657.0,0.0,0.6356,0.0,0.0
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,1866349.0,0.0,no missing data,1866657.0,0.0,0.0002928,0.0,0.0
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,1866349.0,1866349.0,No valid data to compare,0.0,,,,
deployment0005,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,1866349.0,1866349.0,No valid data to compare,0.0,,,,
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,3408197.0,3373803.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,3408197.0,0.0,no missing data,3409511.0,0.0,0.8833,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,3408197.0,0.0,no missing data,3409511.0,0.0,0.906,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,3408197.0,0.0,no missing data,3409511.0,0.0,0.001048533,0.0,0.0
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,3408197.0,3373803.0,timestamps rounded to the hour: no missing data,0.0,,,,
deployment0006,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,3408197.0,3408197.0,No valid data to compare,0.0,,,,
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,1846164.0,0.0,"{'missing_data_gaps': [['2017-10-31T12:15:17', '2017-11-01T18:03:02']], 'n_missing': [17796], 'n_missing_total': 17796, 'n_missing_days_total': 2}",1846350.0,0.0,7.206e-07,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,1846164.0,0.0,"{'missing_data_gaps': [['2017-10-31T12:15:17', '2017-11-01T18:03:02']], 'n_missing': [17796], 'n_missing_total': 17796, 'n_missing_days_total': 2}",1846350.0,0.0,0.1089,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,1846164.0,0.0,"{'missing_data_gaps': [['2017-10-31T12:15:17', '2017-11-01T18:03:02']], 'n_missing': [17796], 'n_missing_total': 17796, 'n_missing_days_total': 2}",1846350.0,0.0,0.8199,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,1846164.0,0.0,"{'missing_data_gaps': [['2017-10-31T12:15:17', '2017-11-01T18:03:02']], 'n_missing': [17796], 'n_missing_total': 17796, 'n_missing_days_total': 2}",1846350.0,0.0,0.000114372,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,1846164.0,0.0,"{'missing_data_gaps': [['2017-10-31T12:15:17', '2017-11-01T18:03:02']], 'n_missing': [17796], 'n_missing_total': 17796, 'n_missing_days_total': 2}",1846350.0,0.0,0.0007732356,0.0,0.0
deployment0007,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,1846164.0,1846164.0,No valid data to compare,0.0,,,,
deployment0008,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2155305.0,0.0,"{'missing_data_gaps': [['2017-11-03T16:15:14', '2017-11-03T23:48:01']], 'n_missing': [4620], 'n_missing_total': 4620, 'n_missing_days_total': 1}",2110293.0,0.0,4.117e-07,0.0,0.0
