deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",2446573,0,0,no global ranges,0.0,2446573,100.0,0.0006,0.0006,0.0006,0.0
deployment0001,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",2446573,0,0,62,1594.0,2444917,99.93,0.9786,0.0,2.2264,0.2485
deployment0001,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",2446573,0,0,1810,589.0,2444174,99.9,2.9013,0.0,6.4326,0.7001
deployment0001,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",2446573,0,0,52,1373.0,2445148,99.94,0.0028,0.0003,0.0076,0.0008
deployment0001,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",2446573,0,2446573,no global ranges,,0,0.0,,,,
deployment0002,telemetered,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",28309,0,28309,no global ranges,,0,0.0,,,,
deployment0002,telemetered,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",28309,0,0,0,16.0,28293,99.94,0.8119,0.1331,1.7545,0.1879
deployment0002,telemetered,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",28309,0,0,76,13.0,28220,99.69,1.7094,0.0,4.2629,0.5037
deployment0002,telemetered,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",28309,0,28309,0,,0,0.0,,,,
deployment0002,telemetered,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",28309,0,28309,no global ranges,,0,0.0,,,,
deployment0003,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",2359816,0,2333812,no global ranges,155.0,25849,1.1,0.0006,0.0006,0.0006,0.0
deployment0003,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",2359816,0,0,117670,8157.0,2233989,94.67,0.2634,0.0,2.1175,0.2984
deployment0003,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",2359816,0,0,52816,5451.0,2301549,97.53,0.6636,0.0,3.5373,0.5286
deployment0003,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",2359816,0,2333812,7,66.0,25931,1.1,0.0017,0.0003,0.0041,0.0004
deployment0003,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",2359816,0,2359816,no global ranges,,0,0.0,,,,
deployment0004,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",2720918,0,0,no global ranges,0.0,2720918,100.0,0.0006,0.0006,0.0006,0.0
