deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,metbk_hourly,met_rainrte,mm hr-1,-9999999.0,"[0.0, 50.0]",1736,0,0,0,13.0,1723,99.25,0.0701,0.0,2.4454,0.248
deployment0001,telemetered,metbk_hourly,met_buoyfls,W m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,0.0,708,40.78,58.1365,-70.7924,315.555,73.6981
deployment0001,telemetered,metbk_hourly,met_buoyflx,W m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,0.0,708,40.78,59.209,-71.891,320.0198,74.7111
deployment0001,telemetered,metbk_hourly,met_frshflx,mm hr-1,-9999999.0,"[None, None]",1736,90,938,no global ranges,4.0,704,40.55,0.0719,-2.2474,0.5809,0.2975
deployment0001,telemetered,metbk_hourly,met_heatflx,W m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,0.0,708,40.78,143.8473,-463.6341,788.9843,206.927
deployment0001,telemetered,metbk_hourly,met_latnflx,W m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,0.0,708,40.78,95.1508,-107.9068,400.3295,93.8621
deployment0001,telemetered,metbk_hourly,met_mommflx,N m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,0.0,708,40.78,0.1213,0.0014,0.5463,0.1031
deployment0001,telemetered,metbk_hourly,met_netlirr,W m-2,-9999999.0,"[200.0, 500.0]",1736,90,938,708,,0,0.0,,,,
deployment0001,telemetered,metbk_hourly,met_rainflx,W m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,5.0,703,40.5,0.1674,-9.085,8.3014,1.2175
deployment0001,telemetered,metbk_hourly,met_sensflx,W m-2,-9999999.0,"[None, None]",1736,90,938,no global ranges,0.0,708,40.78,52.6666,-65.5345,292.7845,68.5522
deployment0001,telemetered,metbk_hourly,met_sphum2m,g kg-1,-9999999.0,"[0.0, 47.0]",1736,90,938,0,0.0,708,40.78,5.5941,2.0183,11.0623,2.3335
deployment0001,telemetered,metbk_hourly,met_tempa2m,ºC,-9999999.0,"[-50.0, 50.0]",1736,90,938,0,0.0,708,40.78,8.1379,-0.5208,15.5508,4.1817
deployment0001,telemetered,metbk_hourly,met_tempskn,ºC,-9999999.0,"[-2.0, 40.0]",1736,90,938,0,0.0,708,40.78,11.5691,10.115,14.2503,0.8537
deployment0001,telemetered,metbk_hourly,met_wind10m,m s-1,-9999999.0,"[-33.0, 33.0]",1736,90,938,0,0.0,708,40.78,7.7861,0.7627,14.7521,2.8582
deployment0001,telemetered,metbk_hourly,met_netsirr_hourly,W m-2,-9999999.0,"[None, None]",1736,0,0,no global ranges,0.0,1736,100.0,58.2436,-0.4926,554.337,108.4598
deployment0001,telemetered,metbk_a_dcl_instrument,barometric_pressure,mbar,-9999999.0,"[800.0, 1100.0]",100091,0,0,0,0.0,100091,100.0,1017.9897,987.16,1040.11,9.4203
deployment0001,telemetered,metbk_a_dcl_instrument,relative_humidity,%,-9999999.0,"[0.0, 100.0]",100091,0,0,0,0.0,100091,100.0,76.4987,39.465,99.715,13.8029
deployment0001,telemetered,metbk_a_dcl_instrument,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",100091,0,0,0,0.0,100091,100.0,6.2326,-6.701,16.44,5.0709
deployment0001,telemetered,metbk_a_dcl_instrument,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",100091,0,0,0,0.0,100091,100.0,307.111,209.6,409.2,40.3223
deployment0001,telemetered,metbk_a_dcl_instrument,precipitation,mm,-9999999.0,"[0.0, 50.0]",100091,0,0,9506,0.0,90585,90.5,32.0608,0.03,50.0,13.4579
deployment0001,telemetered,metbk_a_dcl_instrument,sea_surface_temperature,ºC,-9999999.0,"[-2.0, 40.0]",100091,0,0,0,0.0,100091,100.0,10.3778,6.33,14.411,1.7027
deployment0001,telemetered,metbk_a_dcl_instrument,sea_surface_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",100091,0,0,0,0.0,100091,100.0,3.6778,3.2995,4.0918,0.1631
deployment0001,telemetered,metbk_a_dcl_instrument,shortwave_irradiance,W m-2,-9999999.0,"[0.0, 1000.0]",100091,0,0,551,39.0,99501,99.41,61.1836,0.0,664.8,120.2577
deployment0001,telemetered,metbk_a_dcl_instrument,eastward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",100091,0,0,0,0.0,100091,100.0,2.7257,-15.74,17.14,5.1114
deployment0001,telemetered,metbk_a_dcl_instrument,northward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",100091,0,0,0,0.0,100091,100.0,-1.4057,-20.94,18.79,5.101
deployment0001,telemetered,metbk_a_dcl_instrument,met_barpres,Pa,-9999999.0,"[87000.0, 108330.0]",100091,0,0,0,0.0,100091,100.0,101798.9687,98716.0,104011.0,942.0329
deployment0001,telemetered,metbk_a_dcl_instrument,met_windavg_mag_corr_east,m s-1,-9999999.0,"[None, None]",100091,0,0,no global ranges,0.0,100091,100.0,2.99,-14.3261,17.4068,5.2715
deployment0001,telemetered,metbk_a_dcl_instrument,met_windavg_mag_corr_north,m s-1,-9999999.0,"[None, None]",100091,0,0,no global ranges,0.0,100091,100.0,-0.6823,-21.4597,19.2738,4.9353
deployment0001,telemetered,metbk_a_dcl_instrument,met_current_direction,degrees,-9999999.0,"[0.0, 360.0]",100091,0,25093,0,0.0,74998,74.93,230.897,0.0189,359.9971,70.3035
deployment0001,telemetered,metbk_a_dcl_instrument,met_current_speed,m s-1,-9999999.0,"[-3.0, 3.0]",100091,0,25093,0,0.0,74998,74.93,0.1924,0.0007,0.454,0.0917
deployment0001,telemetered,metbk_a_dcl_instrument,met_relwind_direction,degrees,-9999999.0,"[0.0, 360.0]",100091,0,25093,0,0.0,74998,74.93,148.3547,0.0039,359.9981,93.0792
deployment0001,telemetered,metbk_a_dcl_instrument,met_relwind_speed,m s-1,-9999999.0,"[-33.0, 33.0]",100091,0,25093,0,0.0,74998,74.93,7.5019,0.0191,19.3432,2.8991
deployment0001,telemetered,metbk_a_dcl_instrument,met_netsirr,W m-2,-9999999.0,"[0.0, 500.0]",100091,0,0,1727,0.0,98364,98.27,52.244,0.0,499.9995,101.6608
deployment0001,telemetered,metbk_a_dcl_instrument,met_salsurf,1,-9999999.0,"[0.0, 42.0]",100091,0,0,0,98.0,99993,99.9,33.2958,32.9678,34.087,0.1561
deployment0001,telemetered,metbk_a_dcl_instrument,met_spechum,g kg-1,-9999999.0,"[0.0, 47.0]",100091,0,0,0,0.0,100091,100.0,4.8709,1.4595,11.5694,2.2807
deployment0001,telemetered,metbk_a_dcl_instrument,met_heatflx_minute,W m-2,-9999999.0,"[None, None]",100091,911,25093,no global ranges,97.0,73990,73.92,171.365,-985.0332,1374.4663,229.6923
deployment0001,telemetered,metbk_a_dcl_instrument,met_latnflx_minute,W m-2,-9999999.0,"[None, None]",100091,911,25093,no global ranges,0.0,74087,74.02,98.4008,-254.8833,561.7583,94.2677
deployment0001,telemetered,metbk_a_dcl_instrument,met_netlirr_minute,W m-2,-9999999.0,"[None, None]",100091,911,25093,no global ranges,0.0,74087,74.02,55.0207,-35.0117,139.3401,37.9275
deployment0001,telemetered,metbk_a_dcl_instrument,met_sensflx_minute,W m-2,-9999999.0,"[None, None]",100091,911,25093,no global ranges,14.0,74073,74.01,61.0062,-179.703,461.5694,79.9415
deployment0002,telemetered,metbk_hourly,met_rainrte,mm hr-1,-9999999.0,"[0.0, 50.0]",51,0,0,0,1.0,50,98.04,0.0017,0.0,0.0303,0.0052
deployment0002,telemetered,metbk_hourly,met_buoyfls,W m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,78.3504,1.1985,120.8699,24.9951
deployment0002,telemetered,metbk_hourly,met_buoyflx,W m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,79.8342,1.3326,122.933,25.37
deployment0002,telemetered,metbk_hourly,met_frshflx,mm hr-1,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,0.1842,-0.126,0.2652,0.0687
deployment0002,telemetered,metbk_hourly,met_heatflx,W m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,193.2035,-35.8623,336.1497,101.7367
deployment0002,telemetered,metbk_hourly,met_latnflx,W m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,130.3365,11.799,181.8732,34.2326
deployment0002,telemetered,metbk_hourly,met_mommflx,N m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,0.0707,0.0027,0.1535,0.0437
deployment0002,telemetered,metbk_hourly,met_netlirr,W m-2,-9999999.0,"[200.0, 500.0]",51,11,0,40,,0,0.0,,,,
deployment0002,telemetered,metbk_hourly,met_rainflx,W m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,1.0,39,76.47,0.0114,0.0,0.0893,0.0251
deployment0002,telemetered,metbk_hourly,met_sensflx,W m-2,-9999999.0,"[None, None]",51,11,0,no global ranges,0.0,40,78.43,70.7828,0.5144,110.3479,23.0895
deployment0002,telemetered,metbk_hourly,met_sphum2m,g kg-1,-9999999.0,"[0.0, 47.0]",51,11,0,0,0.0,40,78.43,4.6071,4.3253,4.8134,0.134
deployment0002,telemetered,metbk_hourly,met_tempa2m,ºC,-9999999.0,"[-50.0, 50.0]",51,11,0,0,0.0,40,78.43,7.0139,5.6851,8.5057,0.7451
deployment0002,telemetered,metbk_hourly,met_tempskn,ºC,-9999999.0,"[-2.0, 40.0]",51,11,0,0,0.0,40,78.43,12.8508,7.9085,14.564,1.0649
deployment0002,telemetered,metbk_hourly,met_wind10m,m s-1,-9999999.0,"[-33.0, 33.0]",51,11,0,0,0.0,40,78.43,6.1526,1.2879,9.1446,2.0483
deployment0002,telemetered,metbk_hourly,met_netsirr_hourly,W m-2,-9999999.0,"[None, None]",51,0,0,no global ranges,0.0,51,100.0,50.3035,1.2936,352.9207,95.7341
deployment0002,telemetered,metbk_a_dcl_instrument,barometric_pressure,mbar,-9999999.0,"[800.0, 1100.0]",3011,0,0,0,0.0,3011,100.0,1011.1551,1007.77,1017.22,2.9915
deployment0002,telemetered,metbk_a_dcl_instrument,relative_humidity,%,-9999999.0,"[0.0, 100.0]",3011,0,0,0,0.0,3011,100.0,72.6119,63.838,78.025,2.5147
deployment0002,telemetered,metbk_a_dcl_instrument,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",3011,0,0,0,0.0,3011,100.0,6.6864,5.135,8.55,0.7676
deployment0002,telemetered,metbk_a_dcl_instrument,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",3011,0,0,0,0.0,3011,100.0,324.9491,272.3,358.0,19.8454
deployment0002,telemetered,metbk_a_dcl_instrument,precipitation,mm,-9999999.0,"[0.0, 50.0]",3011,0,0,0,0.0,3011,100.0,17.8612,17.72,18.1,0.0931
deployment0002,telemetered,metbk_a_dcl_instrument,sea_surface_temperature,ºC,-9999999.0,"[-2.0, 40.0]",3011,0,0,0,0.0,3011,100.0,13.4656,7.793,15.06,1.2129
deployment0002,telemetered,metbk_a_dcl_instrument,sea_surface_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",3011,0,0,0,107.0,2904,96.45,4.0949,0.1654,4.3023,0.1273
deployment0002,telemetered,metbk_a_dcl_instrument,shortwave_irradiance,W m-2,-9999999.0,"[0.0, 1000.0]",3011,0,0,0,6.0,3005,99.8,52.8951,0.8,620.3,110.4309
deployment0002,telemetered,metbk_a_dcl_instrument,eastward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",3011,0,0,0,0.0,3011,100.0,1.3951,-3.37,8.79,1.792
deployment0002,telemetered,metbk_a_dcl_instrument,northward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",3011,0,0,0,0.0,3011,100.0,-5.8827,-10.95,0.42,2.1455
deployment0002,telemetered,metbk_a_dcl_instrument,met_barpres,Pa,-9999999.0,"[87000.0, 108330.0]",3011,0,0,0,0.0,3011,100.0,101115.5055,100777.0,101722.0,299.1485
deployment0002,telemetered,metbk_a_dcl_instrument,met_windavg_mag_corr_east,m s-1,-9999999.0,"[None, None]",3011,0,0,no global ranges,0.0,3011,100.0,2.8124,-1.4962,10.0916,1.9431
deployment0002,telemetered,metbk_a_dcl_instrument,met_windavg_mag_corr_north,m s-1,-9999999.0,"[None, None]",3011,0,0,no global ranges,0.0,3011,100.0,-5.3519,-10.4634,0.196,2.0097
