deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,telemetered-pco2a_a_dcl_instrument_air,no other methods available for comparison,,,,,,,,,,,,
deployment0001,telemetered-pco2a_a_dcl_instrument_water,no other methods available for comparison,,,,,,,,,,,,
deployment0002,telemetered-pco2a_a_dcl_instrument_air,no other methods available for comparison,,,,,,,,,,,,
deployment0002,telemetered-pco2a_a_dcl_instrument_water,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Mole Fraction in Atmosphere,measured_air_co2,ppm,pass,630.0,0.0,no missing data,814.0,0.0,574.25,12.0,1.47
deployment0003,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,pCO2 Atmosphere,partial_pressure_co2_atm,µatm,pass,630.0,0.0,no missing data,814.0,0.0,586.0101159635,12.0,1.47
deployment0003,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,630.0,630.0,No valid data to compare,0.0,,,,
deployment0003,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Mole Fraction in Surface Sea Water,measured_water_co2,ppm,pass,630.0,0.0,no missing data,646.0,0.0,0.1600036621,0.0,0.0
deployment0003,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,pCO2 Surface Seawater,partial_pressure_co2_ssw,µatm,pass,630.0,0.0,no missing data,646.0,0.0,0.1628114977,0.0,0.0
deployment0003,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,630.0,630.0,No valid data to compare,0.0,,,,
deployment0004,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Mole Fraction in Atmosphere,measured_air_co2,ppm,pass,39290.0,0.0,no missing data,43410.0,0.0,1.9299926758,12.0,0.03
deployment0004,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,pCO2 Atmosphere,partial_pressure_co2_atm,µatm,pass,39290.0,0.0,no missing data,43410.0,0.0,1.9485566247,22.0,0.05
deployment0004,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,39290.0,39290.0,No valid data to compare,0.0,,,,
deployment0004,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Mole Fraction in Surface Sea Water,measured_water_co2,ppm,pass,39290.0,0.0,no missing data,39698.0,0.0,0.1900024414,0.0,0.0
deployment0004,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,pCO2 Surface Seawater,partial_pressure_co2_ssw,µatm,pass,39290.0,0.0,no missing data,39698.0,0.0,0.5435788305,0.0,0.0
deployment0004,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,39290.0,39290.0,No valid data to compare,0.0,,,,
deployment0005,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Mole Fraction in Atmosphere,measured_air_co2,ppm,pass,36780.0,0.0,no missing data,41488.0,0.0,0.3600158691,0.0,0.0
deployment0005,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,pCO2 Atmosphere,partial_pressure_co2_atm,µatm,pass,36780.0,0.0,no missing data,41488.0,0.0,0.5105785838,0.0,0.0
deployment0005,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,36780.0,36780.0,No valid data to compare,0.0,,,,
deployment0005,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Mole Fraction in Surface Sea Water,measured_water_co2,ppm,pass,36780.0,0.0,no missing data,36888.0,0.0,0.0700073242,0.0,0.0
deployment0005,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,pCO2 Surface Seawater,partial_pressure_co2_ssw,µatm,pass,36780.0,0.0,no missing data,36888.0,0.0,0.3683691093,0.0,0.0
deployment0005,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,36780.0,36780.0,No valid data to compare,0.0,,,,
deployment0006,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Mole Fraction in Atmosphere,measured_air_co2,ppm,pass,50894.0,0.0,no missing data,67366.0,0.0,5.6300048828,8.0,0.01
deployment0006,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,pCO2 Atmosphere,partial_pressure_co2_atm,µatm,pass,50894.0,0.0,no missing data,67366.0,0.0,6.0006476684,6.0,0.01
deployment0006,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,50894.0,50894.0,No valid data to compare,0.0,,,,
deployment0006,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Mole Fraction in Surface Sea Water,measured_water_co2,ppm,pass,50914.0,0.0,no missing data,51430.0,0.0,0.1799926758,0.0,0.0
