deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,wavss_a_dcl_statistics,average_wave_height,m,-9999999.0,"[0.0, 12.0]",1579,0,0,0,0,1579,100.0,2.2982,0.43,5.91,0.907
deployment0001,telemetered,wavss_a_dcl_statistics,max_wave_height,m,-9999999.0,"[0.0, 30.0]",1579,0,0,0,1,1578,99.94,6.8494,1.16,15.78,2.3685
deployment0001,telemetered,wavss_a_dcl_statistics,significant_wave_height,m,-9999999.0,"[0.0, 18.0]",1579,0,0,0,0,1579,100.0,3.8649,0.7,9.1,1.417
deployment0001,telemetered,wavss_a_dcl_statistics,significant_period,sec,-9999999.0,"[3.0, 20.0]",1579,0,0,495,0,1084,68.65,15.9123,8.6,20.0,2.5978
deployment0001,telemetered,wavss_a_dcl_statistics,wave_height_10,m,-9999999.0,"[0.0, 23.0]",1579,0,0,0,0,1579,100.0,5.2173,0.87,11.58,1.8065
deployment0001,telemetered,wavss_a_dcl_statistics,wave_period_10,sec,-9999999.0,"[3.0, 30.0]",1579,0,0,0,0,1579,100.0,22.7127,9.1,30.0,4.1098
deployment0001,telemetered,wavss_a_dcl_statistics,mean_wave_period,sec,-9999999.0,"[3.0, 30.0]",1579,0,0,0,0,1579,100.0,10.4089,5.6,17.3,1.4942
deployment0001,telemetered,wavss_a_dcl_statistics,peak_wave_period,sec,-9999999.0,"[3.0, 30.0]",1579,0,0,19,39,1521,96.33,28.4654,22.2,28.6,0.7249
deployment0001,telemetered,wavss_a_dcl_statistics,wave_period_tp5,sec,-9999999.0,"[3.0, 30.0]",1579,0,0,67,16,1496,94.74,27.8015,12.1,30.0,2.6122
deployment0001,telemetered,wavss_a_dcl_statistics,wave_height_hmo,m,-9999999.0,"[0.0, 30.0]",1579,0,0,0,0,1579,100.0,4.2396,0.77,9.28,1.4782
deployment0001,telemetered,wavss_a_dcl_statistics,mean_direction,degrees,-9999999.0,"[0.0, 360.0]",1579,0,0,0,0,1579,100.0,187.3485,0.3,359.5,88.7123
deployment0001,telemetered,wavss_a_dcl_statistics,mean_spread,degrees,-9999999.0,"[None, None]",1579,0,0,no global ranges,0,1579,100.0,63.6636,37.5,76.6,6.8499
deployment0002,telemetered,wavss_a_dcl_statistics,average_wave_height,m,-9999999.0,"[0.0, 12.0]",50,0,0,0,0,50,100.0,0.9132,0.49,1.38,0.2751
deployment0002,telemetered,wavss_a_dcl_statistics,max_wave_height,m,-9999999.0,"[0.0, 30.0]",50,0,0,0,0,50,100.0,2.2374,1.23,3.76,0.6859
deployment0002,telemetered,wavss_a_dcl_statistics,significant_wave_height,m,-9999999.0,"[0.0, 18.0]",50,0,0,0,0,50,100.0,1.4012,0.78,2.11,0.4211
deployment0002,telemetered,wavss_a_dcl_statistics,significant_period,sec,-9999999.0,"[3.0, 20.0]",50,0,0,0,1,49,98.0,5.7694,5.0,8.9,0.6283
deployment0002,telemetered,wavss_a_dcl_statistics,wave_height_10,m,-9999999.0,"[0.0, 23.0]",50,0,0,0,0,50,100.0,1.7218,0.98,2.62,0.5127
deployment0002,telemetered,wavss_a_dcl_statistics,wave_period_10,sec,-9999999.0,"[3.0, 30.0]",50,0,0,0,1,49,98.0,5.8286,4.9,9.7,0.7013
deployment0002,telemetered,wavss_a_dcl_statistics,mean_wave_period,sec,-9999999.0,"[3.0, 30.0]",50,0,0,0,0,50,100.0,4.818,4.1,7.6,0.6085
deployment0002,telemetered,wavss_a_dcl_statistics,peak_wave_period,sec,-9999999.0,"[3.0, 30.0]",50,0,0,1,0,49,98.0,6.1816,4.3,11.1,1.4681
deployment0002,telemetered,wavss_a_dcl_statistics,wave_period_tp5,sec,-9999999.0,"[3.0, 30.0]",50,0,0,1,1,48,96.0,5.8958,4.8,7.2,0.613
deployment0002,telemetered,wavss_a_dcl_statistics,wave_height_hmo,m,-9999999.0,"[0.0, 30.0]",50,0,0,0,0,50,100.0,1.4802,0.81,2.2,0.4285
deployment0002,telemetered,wavss_a_dcl_statistics,mean_direction,degrees,-9999999.0,"[0.0, 360.0]",50,0,0,0,0,50,100.0,258.668,0.4,347.7,116.4793
deployment0002,telemetered,wavss_a_dcl_statistics,mean_spread,degrees,-9999999.0,"[None, None]",50,0,0,no global ranges,0,50,100.0,41.416,29.1,67.7,7.655
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,average_wave_height,m,-9999999.0,"[0.0, 12.0]",4058,0,0,0,2,4056,99.95,0.8431,0.17,3.02,0.4482
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,max_wave_height,m,-9999999.0,"[0.0, 30.0]",4058,0,0,0,1,4057,99.98,2.1373,0.38,7.6,1.1365
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,significant_wave_height,m,-9999999.0,"[0.0, 18.0]",4058,0,0,0,1,4057,99.98,1.3133,0.27,4.74,0.7018
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,significant_period,sec,-9999999.0,"[3.0, 20.0]",4058,0,0,0,0,4058,100.0,6.4693,3.8,10.7,1.2388
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,wave_height_10,m,-9999999.0,"[0.0, 23.0]",4058,0,0,0,2,4056,99.95,1.6293,0.33,5.85,0.869
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,wave_period_10,sec,-9999999.0,"[3.0, 30.0]",4058,0,0,0,0,4058,100.0,6.6815,3.6,11.3,1.318
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,mean_wave_period,sec,-9999999.0,"[3.0, 30.0]",4058,0,0,0,0,4058,100.0,5.1095,3.0,8.7,0.861
deployment0003,recovered_host,wavss_a_dcl_statistics_recovered,peak_wave_period,sec,-9999999.0,"[3.0, 30.0]",4058,0,0,4,0,4054,99.9,7.6082,3.2,15.4,2.0647
