deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_wind_x,cm s-1,-9999,"[-3300.0, 3300.0]",48740209,0,0,360030.0,7218.0,48372961,99.25,-315.4188,-2098.0,1466.0,355.3
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_wind_y,cm s-1,-9999,"[-3300.0, 3300.0]",48740209,0,0,363916.0,7692.0,48368601,99.24,370.296,-1420.0,2162.0,357.0774
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_wind_z,cm s-1,-9999,"[-1000.0, 1000.0]",48740209,0,0,345220.0,101013.0,48293976,99.08,51.669,-373.0,478.0,81.5649
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_speed_of_sound_sonic,cm s-1,0,"[13800.0, 15800.0]",48740209,0,29328,48707130.0,0.0,3751,0.01,14681.4481,13819.0,15752.0,584.7797
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_tmpatur,ºC,-9999999.0,"[-50.0, 50.0]",48740209,0,48740209,,,0,0.0,,,,
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_windtur_north,m s-1,-9999999.0,"[-33.0, 33.0]",48740209,0,48740209,,,0,0.0,,,,
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_windtur_up,m s-1,-9999999.0,"[-10.0, 10.0]",48740209,0,48740209,,,0,0.0,,,,
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_windtur_west,m s-1,-9999999.0,"[-33.0, 33.0]",48740209,0,48740209,,,0,0.0,,,,
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_fluxhot,m s-1 * K,-9999999.0,"[None, None]",48740209,0,48740209,,,0,0.0,,,,
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_fluxmom_alongwind,m2 s-2,-9999999.0,"[None, None]",48740209,0,48740209,,,0,0.0,,,,
deployment0003,recovered_inst,fdchp_a_instrument_recovered,fdchp_a_fluxmom_crosswind,m2 s-2,-9999999.0,"[None, None]",48740209,0,48740209,,,0,0.0,,,,
