status,request_url,outputUrl
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/08-CTDPFJ000/recovered_cspp/ctdpf_j_cspp_instrument_recovered?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135435-CP01CNSP-SP001-08-CTDPFJ000-recovered_cspp-ctdpf_j_cspp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/08-CTDPFJ000/telemetered/ctdpf_j_cspp_instrument?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135447-CP01CNSP-SP001-08-CTDPFJ000-telemetered-ctdpf_j_cspp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/06-DOSTAJ000/recovered_cspp/dosta_abcdjm_cspp_instrument_recovered?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135500-CP01CNSP-SP001-06-DOSTAJ000-recovered_cspp-dosta_abcdjm_cspp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/06-DOSTAJ000/telemetered/dosta_abcdjm_cspp_instrument?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135511-CP01CNSP-SP001-06-DOSTAJ000-telemetered-dosta_abcdjm_cspp_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/09-FLORTJ000/recovered_cspp/flort_sample?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/09-FLORTJ000/telemetered/flort_dj_cspp_instrument?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135525-CP01CNSP-SP001-09-FLORTJ000-telemetered-flort_dj_cspp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/10-PARADJ000/recovered_cspp/parad_j_cspp_instrument_recovered?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135537-CP01CNSP-SP001-10-PARADJ000-recovered_cspp-parad_j_cspp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/10-PARADJ000/telemetered/parad_j_cspp_instrument?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135550-CP01CNSP-SP001-10-PARADJ000-telemetered-parad_j_cspp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/07-SPKIRJ000/recovered_cspp/spkir_abj_cspp_instrument_recovered?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135603-CP01CNSP-SP001-07-SPKIRJ000-recovered_cspp-spkir_abj_cspp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/07-SPKIRJ000/telemetered/spkir_abj_cspp_instrument?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135615-CP01CNSP-SP001-07-SPKIRJ000-telemetered-spkir_abj_cspp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP01CNSP/SP001/05-VELPTJ000/recovered_cspp/velpt_j_cspp_instrument_recovered?beginDT=2015-07-23T17:20:00.000Z&endDT=2015-10-14T21:23:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T135628-CP01CNSP-SP001-05-VELPTJ000-recovered_cspp-velpt_j_cspp_instrument_recovered/catalog.html
