deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",1805293,0,0,0,44,1805249,100.0,1026.4437,1021.8541,1031.1399,0.9393
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",1805293,0,0,0,418,1804875,99.98,35.5021,32.9277,38.0755,0.5115
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",1805293,0,0,0,0,1805293,100.0,73.4134,25.12,127.76,36.6643
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1805293,0,0,0,0,1805293,100.0,15.7699,4.9278,25.2292,3.9885
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",1805293,0,0,0,0,1805293,100.0,4.4351,3.1777,5.5105,0.4321
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",1819065,0,0,0,1,1819064,100.0,1027.0944,1024.5716,1027.6646,0.6771
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",1819065,0,0,0,10307,1808758,99.43,35.6454,33.7845,36.4212,0.3356
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",1819065,0,0,0,0,1819065,100.0,110.666,25.1,128.18,31.3366
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1819065,0,0,0,0,1819065,100.0,14.2633,8.7167,22.7222,2.2585
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",1819065,0,0,0,0,1819065,100.0,4.2948,3.6426,5.1759,0.2362
deployment0003,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",1614955,0,0,0,5,1614950,100.0,1026.5403,1021.7614,1028.5414,0.9632
deployment0003,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",1614955,0,0,0,16,1614939,100.0,35.6795,33.3598,37.1544,0.489
deployment0003,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",1614955,0,0,0,0,1614955,100.0,75.602,25.84,127.87,36.2334
deployment0003,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1614955,0,0,0,0,1614955,100.0,16.0042,6.2315,27.576,3.9087
deployment0003,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",1614955,0,0,0,0,1614955,100.0,4.4779,3.3157,5.742,0.4293
deployment0005,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",2148860,0,0,0,0,2148860,100.0,1026.7076,1024.8503,1027.5783,0.5333
