deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0001,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0001,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0001,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0002,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0002,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0002,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0002,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0003,recovered_host-adcps_jln_stc_instrument_recovered,telemetered-adcps_jln_stc_instrument,Eastward Seawater Velocity,adcps_jln_eastward_seawater_velocity2,m s-1,pass,,,2D dataset,0,,,,
deployment0003,recovered_host-adcps_jln_stc_instrument_recovered,telemetered-adcps_jln_stc_instrument,Northward Seawater Velocity,adcps_jln_northward_seawater_velocity2,m s-1,pass,,,2D dataset,0,,,,
deployment0003,recovered_host-adcps_jln_stc_instrument_recovered,telemetered-adcps_jln_stc_instrument,Upward Seawater Velocity,adcps_jln_upward_seawater_velocity2,m s-1,pass,,,2D dataset,0,,,,
deployment0003,recovered_host-adcps_jln_stc_instrument_recovered,telemetered-adcps_jln_stc_instrument,Error Seawater Velocity,adcps_jln_error_velocity2,m s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0005,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0006,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0006,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0006,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0006,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0007,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0008,recovered_inst-adcp_velocity_earth,telemetered-adcps_jln_stc_instrument,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
deployment0009,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Eastward Seawater Velocity,water_velocity_east,mm s-1,pass,,,2D dataset,0,,,,
deployment0009,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Northward Seawater Velocity,water_velocity_north,mm s-1,pass,,,2D dataset,0,,,,
deployment0009,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Upward Seawater Velocity,water_velocity_up,mm s-1,pass,,,2D dataset,0,,,,
deployment0009,recovered_inst-adcp_velocity_earth,recovered_host-adcps_jln_stc_instrument_recovered,Error Seawater Velocity,error_velocity,mm s-1,pass,,,2D dataset,0,,,,
