deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,vel3d_k_wfp_stc_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",21160,0,21160,0,,0,0.0,,,,
deployment0001,telemetered,vel3d_k_wfp_stc_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",21160,0,21160,0,,0,0.0,,,,
deployment0001,telemetered,vel3d_k_wfp_stc_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",21160,0,21160,0,,0,0.0,,,,
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",1973431,0,1973431,0,,0,0.0,,,,
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",1973431,0,0,489,13845.0,1959097,99.27,0.0198,-0.8058,0.8453,0.1202
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",1973431,0,0,443,12566.0,1960422,99.34,0.0259,-0.7704,0.8218,0.1186
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",1973431,0,0,178291,2823.0,1792317,90.82,-0.064,-0.8429,0.7165,0.152
deployment0004,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",2478033,0,2478033,0,,0,0.0,,,,
deployment0004,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2478033,0,0,261,8955.0,2468817,99.63,-0.0138,-0.7372,0.7094,0.1235
deployment0004,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2478033,0,0,175,6974.0,2470884,99.71,0.0632,-0.6583,0.7841,0.1288
