deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",11085,0,0,4,0,11081,99.96,175.0317,136.5757,240.1009,22.7147
deployment0001,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",11085,0,0,no global ranges,0,11085,100.0,68.8799,29.91,85.58,19.5516
deployment0003,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",2072181,0,0,0,0,2072181,100.0,177.0943,95.4085,306.4553,35.2697
deployment0003,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",2072181,0,0,no global ranges,0,2072181,100.0,174.1607,23.51,428.14,116.34
deployment0004,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",1256515,0,0,0,0,1256515,100.0,123.8946,77.5893,205.667,25.5213
deployment0004,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",1256515,0,0,no global ranges,0,1256515,100.0,193.3868,21.5,425.49,119.3234
deployment0005,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",1554132,0,0,0,0,1554132,100.0,162.3446,92.4229,288.3008,28.4047
deployment0005,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",1554132,0,0,no global ranges,0,1554132,100.0,169.1534,27.79,427.45,117.2111
deployment0006,telemetered,dofst_k_wfp_instrument,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",19770,0,0,0,0,19770,100.0,164.4939,131.2183,222.7964,27.5837
deployment0006,telemetered,dofst_k_wfp_instrument,int_ctd_pressure,dbar,nan,"[None, None]",19770,0,0,no global ranges,0,19770,100.0,187.7085,20.33,423.27,126.2866
deployment0007,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",1210771,0,0,0,0,1210771,100.0,182.7796,89.4941,289.3363,41.023
deployment0007,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",1210771,0,0,no global ranges,0,1210771,100.0,164.3472,27.42,427.68,128.164
deployment0008,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",3083564,0,0,0,0,3083564,100.0,235.0499,94.9738,298.4604,30.2989
deployment0008,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",3083564,0,0,no global ranges,48770,3034794,98.42,45.5057,28.41,298.07,27.5242
deployment0009,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",1678225,0,0,0,0,1678225,100.0,166.4906,95.7972,299.2067,30.9673
deployment0009,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",1678225,0,0,no global ranges,0,1678225,100.0,195.5568,27.72,427.69,118.6365
deployment0010,recovered_wfp,dofst_k_wfp_instrument_recovered,dofst_k_oxygen_l2,µmol kg-1,-9999999.0,"[0.0, 400.0]",949243,0,0,0,0,949243,100.0,193.8815,83.922,285.8387,51.1812
deployment0010,recovered_wfp,dofst_k_wfp_instrument_recovered,int_ctd_pressure,dbar,nan,"[None, None]",949243,0,0,no global ranges,0,949243,100.0,117.2342,26.9,427.88,122.5999
