deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",365,0,0,0,0,365,100.0,-5.7753,-180.0,174.0,67.1453
deployment0001,recovered_inst,velpt_ab_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",365,0,0,0,0,365,100.0,1.3178,-151.0,141.0,56.1317
deployment0001,recovered_inst,velpt_ab_instrument_recovered,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",365,0,0,0,0,365,100.0,-18.8795,-61.0,32.0,17.7992
deployment0001,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",365,0,0,0,0,365,100.0,-0.0059,-0.1773,0.1581,0.0658
deployment0001,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",365,0,0,0,0,365,100.0,-0.0002,-0.1438,0.1444,0.0577
deployment0001,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",365,0,0,0,0,365,100.0,-0.0189,-0.061,0.032,0.0178
deployment0001,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",365,0,0,0,0,365,100.0,92789.7479,92000.0,93590.0,363.5433
deployment0002,recovered_inst,velpt_ab_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",7956,0,0,0,0,7956,100.0,-7.7521,-256.0,220.0,63.6271
deployment0002,recovered_inst,velpt_ab_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",7956,0,0,0,3,7953,99.96,-5.9464,-235.0,259.0,55.3581
deployment0002,recovered_inst,velpt_ab_instrument_recovered,velocity_beam3,mm s-1,-9999,"[-1000.0, 1000.0]",7956,0,0,0,1,7955,99.99,-24.3863,-103.0,55.0,17.2148
deployment0002,recovered_inst,velpt_ab_instrument_recovered,eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",7956,0,0,0,0,7956,100.0,-0.0061,-0.2733,0.1952,0.0604
deployment0002,recovered_inst,velpt_ab_instrument_recovered,northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",7956,0,0,0,3,7953,99.96,-0.0077,-0.2527,0.2869,0.0588
deployment0002,recovered_inst,velpt_ab_instrument_recovered,upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",7956,0,0,0,1,7955,99.99,-0.0244,-0.103,0.055,0.0172
deployment0002,recovered_inst,velpt_ab_instrument_recovered,pressure_mbar,0.001 dbar,-9999999,"[0.0, 1100000.0]",7956,0,0,0,0,7956,100.0,94378.1213,93620.0,95221.0,346.5918
deployment0003,recovered_host,velpt_ab_dcl_instrument_recovered,velocity_beam1,mm s-1,-9999,"[-3000.0, 3000.0]",243,0,0,0,0,243,100.0,-31.5844,-198.0,185.0,80.3734
deployment0003,recovered_host,velpt_ab_dcl_instrument_recovered,velocity_beam2,mm s-1,-9999,"[-3000.0, 3000.0]",243,0,0,0,0,243,100.0,-22.2016,-218.0,216.0,68.948
