deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,optaa_dj_dcl_instrument,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[14912, 1222784]",0.0,0.0,5172,0.0,1217612,99.58,1.1726,0.4827,3.508,0.5109
deployment0001,telemetered,optaa_dj_dcl_instrument,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[14912, 1222784]",0.0,0.0,164015,10051.0,1048718,85.76,0.21,0.0,6.4908,0.6495
deployment0001,telemetered,optaa_dj_dcl_instrument,wavelength_a,nm,-9999999.0,"[None, None]",82,,,no global ranges,,not calculated,stats not calculated,"[400.3, 404.4, 409.1, 413.4, 417.6, 422.8, 427.9, 432.5, 437.1, 441.9, 447.4, 452.9, 457.8, 462.7, 468.0, 473.3, 479.0, 484.5, 489.7, 494.2, 499.1, 504.5, 510.0, 515.6, 521.1, 526.3, 531.1, 536.1, 541.1, 546.6, 551.6, 557.0, 562.0, 567.1, 571.7, 576.3, 580.7, 585.1, 589.5, 593.9, 598.9, 603.3, 608.3, 613.0, 617.7, 622.0, 626.7, 631.0, 635.3, 639.7, 644.1, 648.8, 653.2, 657.8, 662.3, 666.7, 670.8, 675.4, 679.1, 682.8, 686.8, 690.3, 693.7, 697.0, 700.2, 703.6, 706.6, 709.7, 712.6, 715.5, 717.9, 720.8, 723.3, 725.4, 728.3, 730.0, 732.1, 733.7, 735.3, 737.7, 739.4, 741.1]",,,
deployment0001,telemetered,optaa_dj_dcl_instrument,wavelength_c,nm,-9999999.0,"[None, None]",82,,,no global ranges,,not calculated,stats not calculated,"[400.1, 404.4, 408.7, 413.0, 417.6, 422.6, 427.8, 432.5, 437.0, 441.7, 447.2, 452.3, 457.3, 462.2, 467.3, 472.7, 478.3, 483.8, 488.6, 493.4, 498.4, 503.6, 509.0, 514.7, 520.1, 525.4, 530.3, 535.1, 540.1, 545.0, 550.4, 555.7, 560.8, 565.7, 570.7, 575.3, 579.5, 583.4, 587.6, 592.5, 597.1, 601.8, 606.3, 611.0, 615.9, 620.5, 625.0, 629.5, 633.7, 638.0, 642.3, 646.8, 651.4, 655.8, 660.3, 664.7, 669.1, 673.1, 677.1, 681.2, 684.8, 688.5, 692.1, 695.3, 698.6, 702.0, 705.2, 707.9, 711.1, 713.7, 716.8, 719.7, 722.0, 724.6, 726.8, 729.5, 731.0, 733.4, 735.1, 736.9, 738.6, 740.4]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1031328, 85600224]",20759.0,83877227.0,0,18938.0,1683300,1.97,0.9984,0.2008,14.6236,2.0455
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1031328, 85600224]",20759.0,83877227.0,143191,15054.0,1543993,1.8,0.0657,0.0,1.0209,0.1056
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[401.4, 405.7, 410.1, 414.1, 418.9, 423.8, 428.8, 433.2, 437.7, 442.3, 447.4, 452.5, 457.4, 462.0, 466.6, 471.9, 477.3, 482.5, 487.3, 492.0, 496.5, 501.7, 506.2, 511.6, 516.8, 522.3, 527.0, 532.0, 536.3, 541.3, 546.1, 551.0, 556.0, 561.1, 565.6, 570.5, 574.6, 579.0, 583.0, 588.5, 592.8, 597.6, 601.9, 606.8, 611.5, 616.2, 620.7, 625.2, 629.4, 634.0, 638.3, 642.8, 647.3, 651.9, 656.5, 661.1, 665.5, 669.8, 674.2, 678.5, 682.5, 686.6, 690.2, 694.1, 697.8, 701.5, 705.4, 708.6, 712.3, 715.5, 718.8, 722.2, 725.7, 728.8, 731.8, 734.6, 737.8, 740.7, 743.0, 744.9, 747.5, 750.2, 752.2]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[399.8, 404.4, 408.9, 412.8, 417.3, 422.2, 427.2, 431.8, 436.3, 441.0, 445.8, 451.1, 455.9, 460.6, 465.4, 470.3, 476.1, 481.0, 486.0, 490.7, 495.3, 500.0, 505.2, 510.2, 515.8, 520.8, 526.0, 530.4, 535.4, 539.9, 545.0, 549.7, 555.0, 559.8, 564.9, 569.3, 573.7, 578.0, 582.0, 586.4, 590.8, 595.2, 599.9, 604.5, 609.2, 613.9, 618.5, 623.0, 627.4, 631.9, 636.2, 640.7, 645.0, 649.6, 654.2, 658.6, 663.2, 667.7, 672.1, 676.3, 680.4, 684.5, 688.4, 692.3, 696.0, 699.7, 703.4, 707.1, 710.5, 713.9, 717.3, 720.8, 724.0, 727.2, 730.0, 733.2, 736.2, 739.2, 741.6, 744.6, 747.0, 749.0, 751.1]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[56946, 4897356]",0.0,0.0,0,18451.0,4878905,99.62,1.1871,0.5481,2.9966,0.3223
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[56946, 4897356]",0.0,0.0,383205,5361.0,4508790,92.07,0.1055,0.0,0.664,0.1085
