deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,optaa_dj_dcl_instrument,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[57874, 4572046]",0.0,0.0,0,1707.0,4570339,99.96,0.3752,0.0226,0.8816,0.0984
deployment0001,telemetered,optaa_dj_dcl_instrument,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[57874, 4572046]",0.0,4572046.0,,,0,0.0,,,,
deployment0001,telemetered,optaa_dj_dcl_instrument,wavelength_a,nm,-9999999.0,"[None, None]",79,,,no global ranges,,not calculated,stats not calculated,"[399.3, 402.6, 405.9, 409.4, 412.6, 416.0, 419.9, 424.2, 428.5, 432.0, 436.1, 439.8, 444.4, 48.8, 453.2, 457.8, 461.7, 466.1, 470.8, 475.4, 480.1, 484.8, 489.4, 493.5, 498.1, 502.4, 507.1, 12.0, 517.0, 521.3, 526.1, 530.4, 534.8, 539.0, 543.5, 548.0, 552.6, 557.0, 561.6, 566.1, 570.2, 74.1, 578.1, 580.2, 584.4, 588.6, 592.8, 597.4, 601.8, 606.5, 611.0, 615.5, 620.2, 624.5, 629.0, 0.0, 637.7, 642.1, 646.5, 650.9, 655.5, 660.3, 664.6, 669.0, 673.7, 678.0, 682.2, 686.6, 690.7, 94.7, 698.6, 702.8, 706.8, 711.2, 714.8, 719.0, 723.0, 727.0, 731.3]",,,
deployment0001,telemetered,optaa_dj_dcl_instrument,wavelength_c,nm,-9999999.0,"[None, None]",79,,,no global ranges,,not calculated,stats not calculated,"[400.9, 404.6, 408.0, 411.4, 414.6, 418.5, 422.8, 426.5, 430.6, 434.5, 438.2, 442.5, 447.0, 451.5, 456.2, 460.1, 464.3, 469.1, 473.6, 478.5, 482.9, 487.6, 492.1, 496.1, 500.8, 505.4, 510.0, 514.9, 519.9, 524.8, 528.9, 533.0, 537.7, 542.0, 546.4, 551.2, 555.5, 559.9, 564.5, 569.0, 572.7, 577.1, 580.7, 585.2, 589.6, 593.7, 598.6, 603.0, 607.5, 612.0, 616.9, 621.2, 625.7, 630.0, 634.4, 638.7, 643.1, 647.4, 652.2, 656.5, 661.1, 665.7, 670.5, 674.7, 679.1, 683.0, 687.4, 691.5, 695.5, 699.7, 703.8, 707.9, 712.1, 715.8, 720.1, 724.3, 728.1, 731.9, 736.1]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1060552, 88025816]",0.0,15499226.0,9,24387.0,72502194,82.36,0.6538,0.016,3.08,0.4664
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1060552, 88025816]",20167065.0,15499226.0,49087594,2887.0,3269044,3.71,1.52,0.0,7.3304,1.026
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[399.1, 402.3, 405.7, 408.9, 412.1, 415.8, 419.6, 423.7, 427.8, 431.5, 435.0, 438.9, 443.2, 447.4, 452.0, 456.2, 460.3, 464.5, 468.7, 473.4, 478.0, 482.7, 486.9, 491.3, 495.6, 499.8, 504.5, 508.8, 513.7, 518.5, 523.0, 527.5, 531.8, 535.8, 540.3, 544.9, 549.0, 553.4, 557.9, 562.5, 566.9, 571.0, 574.9, 579.0, 582.7, 588.0, 592.3, 596.9, 601.3, 605.6, 610.3, 615.2, 619.4, 623.7, 628.0, 632.5, 637.0, 641.0, 645.5, 649.8, 654.2, 659.0, 663.2, 667.5, 671.9, 676.2, 680.1, 684.2, 688.4, 692.0, 695.8, 699.6, 703.4, 707.1, 710.8, 714.7, 718.5, 721.7, 725.6, 728.9, 731.9, -9999999.0, -9999999.0]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[400.5, 404.3, 407.5, 411.0, 414.2, 417.8, 421.7, 426.0, 429.5, 433.3, 437.1, 441.4, 445.5, 449.9, 454.1, 458.3, 462.4, 466.6, 471.0, 475.5, 480.4, 484.8, 489.0, 493.4, 497.7, 502.1, 506.6, 511.4, 515.9, 520.6, 525.3, 529.6, 533.5, 537.8, 542.5, 546.8, 551.1, 555.5, 560.1, 564.4, 569.0, 572.7, 576.4, 580.7, 584.2, 588.1, 592.3, 596.9, 601.6, 605.8, 610.5, 615.2, 619.4, 623.7, 628.0, 632.4, 637.0, 641.0, 645.5, 649.6, 654.2, 658.8, 662.9, 667.3, 671.8, 675.9, 679.9, 683.8, 687.7, 691.8, 695.5, 699.2, 703.3, 706.7, 710.7, 714.4, 717.7, 721.1, 724.8, 728.3, 731.8, -9999999.0, -9999999.0]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[859294, 71321402]",859294.0,0.0,1,456.0,70461651,98.79,1.9179,0.0752,9.7638,1.5697
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[859294, 71321402]",1729907.0,0.0,9837551,1006773.0,58747171,82.37,0.7805,0.0,26.8485,1.7181
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[400.0, 403.9, 408.2, 412.5, 416.4, 421.0, 425.6, 430.6, 434.5, 438.7, 443.2, 448.3, 453.0, 457.8, 462.2, 466.9, 471.5, 476.9, 482.0, 486.7, 491.3, 496.0, 500.7, 505.7, 510.7, 516.3, 521.6, 526.3, 531.0, 535.8, 540.3, 545.2, 550.2, 555.0, 560.1, 565.0, 569.5, 574.1, 577.8, 582.0, 584.2, 588.5, 593.0, 597.6, 602.1, 607.0, 611.7, 616.4, 620.9, 625.2, 629.5, 633.9, 638.2, 642.5, 646.9, 651.4, 655.7, 660.1, 664.7, 669.1, 673.4, 677.3, 681.4, 685.1, 688.9, 692.8, 696.0, 699.4, 702.9, 706.3, 709.7, 712.8, 716.0, 719.5, 722.5, 725.6, 728.6, 731.5, 734.2, 736.7, 739.3, 741.5, 744.0]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[399.6, 404.1, 408.2, 412.1, 416.2, 420.8, 425.6, 430.1, 434.1, 438.6, 443.2, 447.9, 452.9, 457.3, 461.7, 466.2, 471.3, 476.6, 481.7, 486.4, 490.9, 495.5, 500.3, 505.2, 510.4, 515.6, 520.6, 525.8, 530.4, 535.1, 539.9, 544.5, 549.3, 554.5, 559.4, 564.2, 569.0, 573.2, 577.5, 581.3, 584.7, 588.8, 593.4, 597.9, 602.4, 607.3, 611.7, 616.5, 620.9, 625.5, 629.5, 633.7, 638.2, 642.5, 646.9, 651.2, 655.7, 660.0, 664.4, 668.6, 673.1, 677.0, 680.9, 684.8, 688.4, 692.1, 695.5, 699.1, 702.6, 705.8, 709.2, 712.6, 715.6, 719.0, 722.1, 725.4, 728.3, 731.0, 733.5, 735.9, 738.9, 741.2, 743.7]",,,
deployment0004,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[584103, 50232858]",415195.0,18262843.0,5,8950.0,31545865,62.8,0.3769,0.0459,1.4091,0.1838
deployment0004,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[584103, 50232858]",415200.0,18262843.0,2956462,5864.0,28592489,56.92,0.0633,0.0,0.3693,0.0602
deployment0004,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",86,,,no global ranges,,not calculated,stats not calculated,"[401.8, 405.0, 408.9, 412.1, 415.7, 419.6, 423.7, 427.9, 431.8, 435.7, 439.8, 444.2, 449.0, 453.6, 457.8, 461.9, 466.4, 471.2, 476.1, 481.0, 485.5, 489.9, 494.4, 499.3, 503.8, 508.7, 513.5, 518.5, 523.2, 527.9, 532.5, 537.0, 541.5, 546.1, 550.9, 555.5, 560.1, 564.7, 569.1, 573.6, 577.8, 581.7, 585.9, 590.8, 595.2, 600.1, 604.5, 609.5, 614.0, 618.9, 623.4, 627.9, 632.2, 636.8, 641.3, 646.0, 650.7, 655.4, 660.1, 664.7, 669.3, 673.7, 678.5, 682.7, 687.1, 691.3, 695.7, 700.0, 703.9, 708.4, 712.3, 716.6, 720.6, 724.8, 728.6, 733.1, 736.9, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
