deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",24053,0,0,1,8,24044,99.96,1025.4751,1024.3672,1025.6414,0.0806
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",24053,0,0,0,9,24044,99.96,33.3387,31.9743,33.6684,0.1691
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",24053,0,0,0,0,24053,100.0,11.2327,10.4092,12.3415,0.4009
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",24053,0,0,8,26,24019,99.86,7.0269,5.3952,8.0531,0.2937
deployment0001,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",24053,0,0,0,9,24044,99.96,3.7592,3.6284,3.8847,0.052
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",186138,0,0,0,0,186138,100.0,1024.311,1022.2534,1026.0087,0.9457
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",186138,0,0,0,1,186137,100.0,34.208,32.5151,35.6238,0.6958
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",186138,0,0,0,0,186138,100.0,19.172,8.327,25.9807,4.6537
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",186138,0,0,0,508,185630,99.73,7.1589,5.8943,8.2807,0.2384
deployment0002,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",186138,0,0,0,0,186138,100.0,4.6246,3.4891,5.3455,0.5106
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",358292,0,0,0,0,358292,100.0,1025.6223,1024.3988,1026.5754,0.3646
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",358292,0,0,0,0,358292,100.0,33.4826,32.7705,35.2045,0.4489
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",358292,0,0,0,0,358292,100.0,10.7223,5.8141,18.9166,3.2017
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",358292,0,0,0,416,357876,99.88,6.493,4.4895,7.9102,0.3922
deployment0003,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",358292,0,0,0,0,358292,100.0,3.7332,3.2309,4.6498,0.3367
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",233693,0,0,0,0,233693,100.0,1023.5017,1021.3967,1025.274,0.8024
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",233693,0,0,0,0,233693,100.0,33.2262,31.4486,35.7037,0.8154
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",233693,0,0,0,0,233693,100.0,19.5592,10.4121,24.9038,3.6093
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",233693,0,0,0,722,232971,99.69,7.278,6.054,8.4745,0.2279
deployment0004,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",233693,0,0,0,0,233693,100.0,4.5394,3.631,5.2889,0.4037
deployment0005,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",24087,1,0,0,0,24086,100.0,1025.508,1024.2254,1026.3817,0.4875
deployment0005,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",24087,1,0,0,0,24086,100.0,33.6599,32.5777,35.6087,0.4237
deployment0005,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",24087,1,0,0,0,24086,100.0,12.0556,5.4856,21.2734,3.5901
deployment0005,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",24087,0,0,0,30,24057,99.88,6.9533,4.9041,8.123,0.4009
deployment0005,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",24087,1,0,0,0,24086,100.0,3.8752,3.195,4.9981,0.3749
deployment0006,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",13347,0,0,0,0,13347,100.0,1023.4945,1021.6189,1024.9262,0.6447
deployment0006,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",13347,0,0,0,0,13347,100.0,33.018,31.5945,35.1708,0.7682
deployment0006,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",13347,0,0,0,0,13347,100.0,19.1132,10.5878,23.6916,2.0989
deployment0006,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",13347,0,0,0,45,13302,99.66,6.9489,5.4155,7.7771,0.2831
deployment0006,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",13347,0,0,0,0,13347,100.0,4.4663,3.5839,5.0413,0.2475
deployment0007,recovered_inst,ctdbp_cdef_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",267468,0,0,0,0,267468,100.0,1025.625,1024.0936,1026.4543,0.4637
deployment0007,recovered_inst,ctdbp_cdef_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",267468,0,0,0,0,267468,100.0,33.2931,32.6186,35.1177,0.4107
deployment0007,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",267468,0,0,0,0,267468,100.0,9.7297,5.275,19.185,3.7353
deployment0007,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_pressure,dbar,-9999999.0,"[0.0, 6000.0]",267468,0,0,0,378,267090,99.86,7.0004,4.8682,8.3308,0.4156
deployment0007,recovered_inst,ctdbp_cdef_instrument_recovered,ctdbp_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",267468,0,0,0,0,267468,100.0,3.6254,3.1687,4.7201,0.3738
