deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0002,2018-12-13T00:01:15,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:49,0 days 00:00:09,0,0,[],166,223312,156,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 32, 'common_sampling_rates': {'64': '73.69%'}}",[],"['eastward_velocity', 'northward_velocity']","[['2015-09-18T18:07:57', '2015-09-29T10:05:57']]",1,10,pass,24,"{'99': 12, '95': 1, '75': 9, '50': 1, '25': 1}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20150509T005749.569000-20151021T184951.628000
deployment0002,2018-12-13T00:01:35,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:49,0 days 00:19:14,0,0,[],166,3724,156,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 49, 'common_sampling_rates': {'3600': '97.93%'}}",[],"['eastward_velocity', 'northward_velocity', 'precipitation', 'longwave_irradiance', 'barometric_pressure', 'sea_surface_temperature', 'shortwave_irradiance', 'air_temperature', 'met_relwind_speed', 'relative_humidity', 'time']","[['2015-09-18T18:30:55', '2015-09-29T10:35:57']]",1,10,pass,15,"{'99': 2, '50': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20150509T012749.569000-20151021T183046.077000
deployment0003,2018-12-13T00:01:15,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:48,0 days 00:00:53,0,0,[0.6346],207,292631,207,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 166, 'common_sampling_rates': {'64': '63.58%', '65': '13.28%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 14, '95': 1, '75': 9}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20151021T174448.296000-20160514T134407.323000
deployment0003,2018-12-13T00:01:35,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:48,0 days 00:14:47,0,0,[0.6346],207,4930,207,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 64, 'common_sampling_rates': {'3600': '97.83%'}}",[],"['eastward_velocity', 'northward_velocity', 'longwave_irradiance', 'precipitation', 'met_relwind_speed', 'relative_humidity', 'air_temperature', 'sea_surface_temperature', 'shortwave_irradiance', 'barometric_pressure', 'time']",[],0,0,pass,15,"{'99': 2, '50': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20151021T181448.296000-20160514T133013.553000
deployment0004,2018-12-13T00:01:15,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:03,0 days 00:00:42,0,0,"[0.0255, 0.6456]",141,201453,141,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 25, 'common_sampling_rates': {'64': '76.60%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 19, '95': 2, '75': 2, '50': 1}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160528T144303.191000-20161015T121318.643000
deployment0004,2018-12-13T00:01:35,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:03,-1 days +23:43:46,0,-1,"[0.0255, 0.6456]",141,3359,141,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 43, 'common_sampling_rates': {'3600': '97.92%'}}",[],"['eastward_velocity', 'northward_velocity', 'sea_surface_temperature', 'met_relwind_speed', 'shortwave_irradiance', 'barometric_pressure', 'air_temperature', 'relative_humidity', 'longwave_irradiance', 'precipitation', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160528T151303.191000-20161015T123014.195000
deployment0005,2018-12-13T00:01:15,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:33,0 days 00:00:22,0,0,"[0.6516, 0.9125, 0.6284]",248,355103,248,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 82, 'common_sampling_rates': {'64': '70.21%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 22, '75': 2}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20161011T133933.739000-20170615T155538.228000
deployment0005,2018-12-13T00:01:35,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:33,0 days 00:25:02,0,0,"[0.6516, 0.9125, 0.6284]",248,5931,248,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 49, 'common_sampling_rates': {'3600': '98.01%'}}",[],"['eastward_velocity', 'northward_velocity', 'precipitation', 'air_temperature', 'longwave_irradiance', 'relative_humidity', 'sea_surface_temperature', 'shortwave_irradiance', 'met_relwind_speed', 'barometric_pressure', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20161011T140933.739000-20170615T153058.276000
deployment0006,2018-12-13T00:01:15,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:58,0 days 01:03:17,0,0,"[0.9005, 0.6361, 0.892, 0.6419]",140,200133,140,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 28, 'common_sampling_rates': {'64': '74.76%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 15, '95': 6, '75': 2, '25': 1}",{'99': 23},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0006_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20170615T134358.063000-20171101T131343.155000
deployment0006,2018-12-13T00:01:35,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:58,0 days 00:46:53,0,0,"[0.9005, 0.6361, 0.892, 0.6419]",140,3337,140,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 44, 'common_sampling_rates': {'3600': '97.93%'}}",[],"['eastward_velocity', 'northward_velocity', 'air_temperature', 'precipitation', 'met_relwind_speed', 'shortwave_irradiance', 'relative_humidity', 'sea_surface_temperature', 'longwave_irradiance', 'barometric_pressure', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",{'99': 15},pass,fail: data found in another stream (gaps: [2] days: [6]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0006_CP03ISSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20170615T141358.063000-20171101T133007.397000
