deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0003,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 00:15:54,0 days 02:18:19,0,0,[],207,49380,207,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '80.00%', 1799: '17.93%'}","{'n_unique_rates': 19, 'common_sampling_rates': {'0': '80.00%', '1799': '17.93%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'shortwave_irradiance', 'met_relwind_speed', 'precipitation', 'barometric_pressure', 'air_temperature', 'relative_humidity', 'longwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'95': 2, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0003_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0003,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 00:15:49,0 days 02:18:19,0,0,[],207,49368,207,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 22, 'common_sampling_rates': {'0': '19.94%', '1': '59.95%', '1794': '15.34%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'relative_humidity', 'longwave_irradiance', 'precipitation', 'air_temperature', 'met_relwind_speed', 'shortwave_irradiance', 'barometric_pressure']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0003_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0004,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 00:09:19,0 days 00:26:05,0,0,[0.6456],141,33575,141,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '80.00%', 1799: '15.54%'}","{'n_unique_rates': 14, 'common_sampling_rates': {'0': '80.00%', '1799': '15.54%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'longwave_irradiance', 'met_relwind_speed', 'precipitation', 'air_temperature', 'relative_humidity', 'barometric_pressure', 'shortwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'99': 1, '75': 1, '0': 1}",{'95': 2},"fail: check ['CO2 Mole Fraction in Atmosphere', 'pCO2 Atmosphere']",pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0004_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0004,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 00:09:14,0 days 00:26:05,0,0,[0.6456],141,33573,141,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 16, 'common_sampling_rates': {'0': '20.00%', '1': '60.00%', '1794': '15.29%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'precipitation', 'shortwave_irradiance', 'air_temperature', 'barometric_pressure', 'relative_humidity', 'met_relwind_speed', 'longwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'99': 1, '75': 1, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0004_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0005,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 00:49:29,0 days 13:35:26,0,0,"[0.9125, 0.6284]",248,53010,248,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.88%', 3599: '10.43%'}","{'n_unique_rates': 22, 'common_sampling_rates': {'0': '88.88%', '3599': '10.43%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'met_relwind_speed', 'air_temperature', 'longwave_irradiance', 'barometric_pressure', 'shortwave_irradiance', 'relative_humidity', 'precipitation']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0005_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0005,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 00:49:17,0 days 13:35:26,0,0,"[0.9125, 0.6284]",248,53009,248,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 23, 'common_sampling_rates': {'0': '11.15%', '1': '77.59%', '3588': '10.42%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'longwave_irradiance', 'met_relwind_speed', 'shortwave_irradiance', 'relative_humidity', 'barometric_pressure', 'precipitation', 'air_temperature']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0005_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0006,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 00:16:19,0 days 01:19:30,0,0,"[0.6361, 0.892, 0.6419]",140,30024,140,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.89%', 3599: '10.43%'}","{'n_unique_rates': 14, 'common_sampling_rates': {'0': '88.89%', '3599': '10.43%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'relative_humidity', 'longwave_irradiance', 'met_relwind_speed', 'barometric_pressure', 'precipitation', 'air_temperature', 'shortwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0006_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0006,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 00:16:07,0 days 01:19:30,0,0,"[0.6361, 0.892, 0.6419]",140,30024,140,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 13, 'common_sampling_rates': {'0': '10.98%', '1': '77.90%', '3588': '10.46%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'longwave_irradiance', 'met_relwind_speed', 'barometric_pressure', 'precipitation', 'relative_humidity', 'shortwave_irradiance', 'air_temperature']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'99': 2},pass,pass,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0006_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0007,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_air_recovered,['telemetered'],0 days 00:38:21,0 days 02:00:30,0,0,"[0.6792, 0.0699, 0.6912, 0.9585]",148,26109,124,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.89%', 3599: '10.40%'}","{'n_unique_rates': 17, 'common_sampling_rates': {'0': '88.89%', '3599': '10.40%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'barometric_pressure', 'shortwave_irradiance', 'air_temperature', 'precipitation', 'met_relwind_speed', 'longwave_irradiance', 'relative_humidity']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'95': 2},"fail: check ['CO2 Mole Fraction in Atmosphere', 'pCO2 Atmosphere']",fail: data found in another stream (gaps: [1] days: [19]),"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0007_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0007,2019-07-23T19:29:37,recovered_host,pco2a_a_dcl_instrument_water_recovered,['telemetered'],0 days 00:38:09,0 days 02:00:30,0,0,"[0.6792, 0.0699, 0.6912, 0.9585]",148,26109,124,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 20, 'common_sampling_rates': {'0': '11.17%', '1': '77.68%', '3588': '10.39%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'relative_humidity', 'air_temperature', 'barometric_pressure', 'shortwave_irradiance', 'longwave_irradiance', 'met_relwind_speed', 'precipitation']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",{'99': 2},pass,fail: data found in another stream (gaps: [1] days: [19]),"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0007_CP03ISSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
