deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0003,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Mole Fraction in Atmosphere,measured_air_co2,ppm,pass,49380,0,no missing data,54670,0.0,4.1000366211,134.0,0.25
deployment0003,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,pCO2 Atmosphere,partial_pressure_co2_atm,µatm,pass,49380,0,no missing data,54670,0.0,4.6476683938,136.0,0.25
deployment0003,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,49380,49380,No valid data to compare,0,,,,
deployment0003,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Mole Fraction in Surface Sea Water,measured_water_co2,ppm,pass,49368,0,no missing data,49956,0.0,0.1599731445,0.0,0.0
deployment0003,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,pCO2 Surface Seawater,partial_pressure_co2_ssw,µatm,pass,49368,0,no missing data,49956,0.0,0.4288181594,0.0,0.0
deployment0003,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,49368,49368,No valid data to compare,0,,,,
deployment0004,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Mole Fraction in Atmosphere,measured_air_co2,ppm,pass,33575,0,no missing data,38873,0.0,251.2399902344,1458.0,3.75
deployment0004,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,pCO2 Atmosphere,partial_pressure_co2_atm,µatm,pass,33575,0,no missing data,38873,0.0,255.3932349494,1458.0,3.75
deployment0004,recovered_host-pco2a_a_dcl_instrument_air_recovered,telemetered-pco2a_a_dcl_instrument_air,CO2 Flux from Ocean to Atmosphere,pco2_co2flux,mol m-2 s-1,pass,33575,33575,No valid data to compare,0,,,,
deployment0004,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,CO2 Mole Fraction in Surface Sea Water,measured_water_co2,ppm,pass,33573,0,no missing data,34403,0.0,165.0199890137,130.0,0.38
deployment0004,recovered_host-pco2a_a_dcl_instrument_water_recovered,telemetered-pco2a_a_dcl_instrument_water,pCO2 Surface Seawater,partial_pressure_co2_ssw,µatm,pass,33573,0,no missing data,34403,0.0,165.4678633111,130.0,0.38
