status,request_url,outputUrl
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/08-CTDPFJ000/recovered_cspp/ctdpf_j_cspp_instrument_recovered?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/08-CTDPFJ000/telemetered/ctdpf_j_cspp_instrument?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T160711-CP03ISSP-SP001-08-CTDPFJ000-telemetered-ctdpf_j_cspp_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/06-DOSTAJ000/recovered_cspp/dosta_abcdjm_cspp_instrument_recovered?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/06-DOSTAJ000/telemetered/dosta_abcdjm_cspp_instrument?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T160723-CP03ISSP-SP001-06-DOSTAJ000-telemetered-dosta_abcdjm_cspp_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/09-FLORTJ000/recovered_cspp/flort_sample?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/09-FLORTJ000/telemetered/flort_dj_cspp_instrument?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T160734-CP03ISSP-SP001-09-FLORTJ000-telemetered-flort_dj_cspp_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/10-PARADJ000/recovered_cspp/parad_j_cspp_instrument_recovered?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/10-PARADJ000/telemetered/parad_j_cspp_instrument?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T160746-CP03ISSP-SP001-10-PARADJ000-telemetered-parad_j_cspp_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/07-SPKIRJ000/recovered_cspp/spkir_abj_cspp_instrument_recovered?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/07-SPKIRJ000/telemetered/spkir_abj_cspp_instrument?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T160757-CP03ISSP-SP001-07-SPKIRJ000-telemetered-spkir_abj_cspp_instrument/catalog.html
No data for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/05-VELPTJ000/recovered_cspp/velpt_j_cspp_instrument_recovered?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,no_output_url
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/CP03ISSP/SP001/05-VELPTJ000/telemetered/velpt_j_cspp_instrument?beginDT=2015-07-23T11:45:00.000Z&endDT=2015-10-15T20:12:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181218T160809-CP03ISSP-SP001-05-VELPTJ000-telemetered-velpt_j_cspp_instrument/catalog.html
