deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",3398315,0,3398315,,,0,0.0,,,,
deployment0001,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3398315,0,0,793,20373.0,3377149,99.38,-0.0357,-0.8493,0.7787,0.1262
deployment0001,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",3398315,0,0,965,25429.0,3371921,99.22,0.0263,-0.7325,0.7851,0.1006
deployment0001,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",3398315,0,0,428255,1656.0,2968404,87.35,-0.0851,-0.9997,0.8413,0.1837
deployment0001,recovered_wfp,vel3d_k_wfp_instrument,int_ctd_pressure,dbar,nan,"[None, None]",3398315,0,0,no global ranges,0.0,3398315,100.0,183.9228,24.7286,425.3187,123.6895
deployment0002,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",2104446,0,2104446,,,0,0.0,,,,
deployment0002,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2104446,0,0,458,7334.0,2096654,99.63,-0.0312,-1.3176,1.2561,0.2384
deployment0002,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2104446,0,0,479,9364.0,2094603,99.53,0.0145,-1.1866,1.2158,0.2162
deployment0002,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",2104446,0,0,995615,679.0,1108152,52.66,-0.0492,-1.0,0.9847,0.2051
deployment0002,recovered_wfp,vel3d_k_wfp_instrument,int_ctd_pressure,dbar,nan,"[None, None]",2104446,0,0,no global ranges,0.0,2104446,100.0,92.2169,16.6484,424.0487,85.1453
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",2366328,0,2366328,,,0,0.0,,,,
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2366328,0,0,491,11293.0,2354544,99.5,0.0152,-0.8208,0.8513,0.14
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2366328,0,0,637,18422.0,2347269,99.19,0.002,-0.7097,0.7149,0.0828
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",2366328,0,0,135342,2140.0,2228846,94.19,-0.0718,-0.8981,0.7558,0.163
deployment0003,recovered_wfp,vel3d_k_wfp_instrument,int_ctd_pressure,dbar,nan,"[None, None]",2366328,0,0,no global ranges,0.0,2366328,100.0,253.4297,24.5272,417.4298,138.8336
deployment0004,telemetered,vel3d_k_wfp_stc_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",4225094,0,0,370,13085.0,4211639,99.68,-0.0678,-0.9077,0.7722,0.1521
deployment0004,telemetered,vel3d_k_wfp_stc_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",4225094,0,0,588,20240.0,4204266,99.51,0.0027,-0.718,0.7228,0.1139
deployment0004,telemetered,vel3d_k_wfp_stc_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",4225094,0,0,776536,979.0,3447579,81.6,-0.0745,-0.9996,0.883,0.1907
deployment0004,telemetered,vel3d_k_wfp_stc_instrument,int_ctd_pressure,dbar,nan,"[None, None]",4225094,0,0,no global ranges,0.0,4225094,100.0,173.676,17.5077,411.2752,119.7874
deployment0005,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",2447330,0,2447330,,,0,0.0,,,,
deployment0005,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2447330,0,0,11252,24843.0,2411235,98.53,-0.0045,-1.0919,1.0841,0.1536
deployment0005,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",2447330,0,0,10140,32117.0,2405073,98.27,0.0058,-1.0857,1.0987,0.1314
deployment0005,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",2447330,0,0,113152,9255.0,2324923,95.0,-0.0338,-0.7235,0.6563,0.1284
deployment0005,recovered_wfp,vel3d_k_wfp_instrument,int_ctd_pressure,dbar,nan,"[None, None]",2447330,0,0,no global ranges,0.0,2447330,100.0,60.6076,0.07,415.7872,94.0259
deployment0006,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",233074,0,233074,,,0,0.0,,,,
deployment0006,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_eastward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",233074,0,0,34,1162.0,231878,99.49,-0.0049,-0.731,0.7215,0.1162
deployment0006,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_northward_velocity,m s-1,-9999999.0,"[-3.0, 3.0]",233074,0,0,38,1240.0,231796,99.45,0.0101,-0.6964,0.7195,0.1103
deployment0006,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_upward_velocity,m s-1,-9999999.0,"[-1.0, 1.0]",233074,0,0,23327,130.0,209617,89.94,-0.0772,-0.897,0.7425,0.1626
deployment0006,recovered_wfp,vel3d_k_wfp_instrument,int_ctd_pressure,dbar,nan,"[None, None]",233074,0,0,no global ranges,0.0,233074,100.0,179.7128,18.4119,409.6991,122.1243
deployment0007,recovered_wfp,vel3d_k_wfp_instrument,vel3d_k_pressure,dbar,0,"[0.0, 6000.0]",6385056,0,6385056,,,0,0.0,,,,
