deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",1831520,0,0,0,0,1831520,100.0,1027.4676,1023.9481,1029.5381,1.299
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",1831520,0,0,0,3540,1827980,99.81,35.4683,33.691,36.6663,0.3435
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",1831520,0,0,0,0,1831520,100.0,184.0887,24.72,429.89,124.4071
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1831520,0,0,0,0,1831520,100.0,13.1271,5.8652,25.5397,4.4053
deployment0001,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",1831520,0,0,0,0,1831520,100.0,4.1753,3.2744,5.548,0.4614
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,density,kg m-3,-9999999.0,"[1000.0, 1100.0]",1067195,0,0,0,0,1067195,100.0,1026.9347,1024.4699,1029.4961,0.8268
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",1067195,0,0,0,0,1067195,100.0,35.5517,34.2201,36.3531,0.3025
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_pressure,dbar,-9999.0,"[0.0, 6000.0]",1067195,0,0,0,0,1067195,100.0,91.9516,16.64,424.07,85.1471
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1067195,0,0,0,0,1067195,100.0,14.2324,6.3278,23.3604,3.0798
deployment0002,recovered_wfp,ctdpf_ckl_wfp_instrument_recovered,ctdpf_ckl_seawater_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",1067195,0,0,0,0,1067195,100.0,4.2847,3.4908,5.2351,0.3236
