deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3554.0,0.0,no missing data,3554.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3554.0,3074.0,"{'missing_data_gaps': [['2014-12-12T22:04:59', '2015-04-19T23:04:59']], 'n_missing': [3074], 'n_missing_total': 3074, 'n_missing_days_total': 129}",480.0,0.0017161987,0.0758823225,0.0,0.0
deployment0002,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3986.0,0.0,no missing data,3982.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-phsen_abcdef_dcl_instrument_recovered,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3986.0,0.0,no missing data,3982.0,0.0,0.0012483765,0.0,0.0
deployment0003,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3625.0,0.0,no missing data,44.0,1.4997597186,12.2867363925,44.0,100.0
deployment0003,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3625.0,52.0,no missing data,2.0,1.5553389148,4.3785616579,2.0,100.0
deployment0004,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3308.0,0.0,no missing data,1.0,0.0,0.0,0.0,0.0
deployment0004,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,3308.0,0.0,no missing data,1.0,7.931e-07,7.931e-07,0.0,0.0
deployment0004,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3308.0,0.0,no missing data,1.0,0.0,0.0,0.0,0.0
deployment0004,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3308.0,0.0,no missing data,1.0,7.931e-07,7.931e-07,0.0,0.0
deployment0005,recovered_inst-phsen_abcdef_instrument,no other methods available for comparison,,,,,,,,,,,,
deployment0006,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3565.0,0.0,no missing data,2267.0,0.0,0.0,0.0,0.0
deployment0006,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,3565.0,0.0,no missing data,2267.0,3e-10,0.0031018143,0.0,0.0
deployment0006,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3565.0,0.0,no missing data,2262.0,0.0,0.0,0.0,0.0
deployment0006,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3565.0,0.0,no missing data,2262.0,3e-10,0.0031018143,0.0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3639.0,0.0,no missing data,725.0,0.0,0.0,0.0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,recovered_host-phsen_abcdef_dcl_instrument_recovered,pH,phsen_abcdef_ph_seawater,1,pass,3639.0,0.0,no missing data,725.0,2e-10,0.0001304107,0.0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,Thermistor Temperature at End of Measurement,phsen_thermistor_temperature,V,pass,3639.0,0.0,no missing data,748.0,0.0,0.0,0.0,0.0
deployment0007,recovered_inst-phsen_abcdef_instrument,telemetered-phsen_abcdef_dcl_instrument,pH,phsen_abcdef_ph_seawater,1,pass,3639.0,0.0,no missing data,748.0,2e-10,0.0001304107,0.0,0.0
