deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,phsen_abcdef_dcl_instrument_recovered,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",3554,0,0,no global ranges,0,3554,100.0,11.9089,5.9434,17.0729,2.8331
deployment0001,recovered_host,phsen_abcdef_dcl_instrument_recovered,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",3554,0,3074,1,3,476,13.39,8.2589,8.0774,8.3212,0.0275
deployment0002,recovered_host,phsen_abcdef_dcl_instrument_recovered,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",3986,0,0,no global ranges,0,3986,100.0,23.2514,8.6008,28.2254,3.7405
deployment0002,recovered_host,phsen_abcdef_dcl_instrument_recovered,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",3986,0,0,4,3,3979,99.82,8.0797,7.9484,8.2361,0.0327
deployment0003,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",3625,0,0,no global ranges,0,3625,100.0,14.4549,8.4232,18.8286,2.5213
deployment0003,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",3625,52,0,989,0,2584,71.28,7.978,7.3008,8.4975,0.228
deployment0004,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",3308,0,0,no global ranges,0,3308,100.0,21.2332,11.8847,26.5886,3.7133
deployment0004,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",3308,0,0,23,26,3259,98.52,8.0478,7.4941,8.479,0.0965
deployment0005,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",5734,0,0,no global ranges,0,5734,100.0,12.255,6.1867,23.2685,3.9443
deployment0005,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",5734,0,0,14,58,5662,98.74,8.1077,7.7952,8.3787,0.0406
deployment0006,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",3565,0,0,no global ranges,0,3565,100.0,20.6731,12.7653,25.3913,2.5344
deployment0006,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",3565,0,0,1,12,3552,99.64,8.0681,7.9346,8.2035,0.0257
deployment0007,recovered_inst,phsen_abcdef_instrument,phsen_thermistor_temperature,V,-9999999.0,"[None, None]",3639,0,0,no global ranges,0,3639,100.0,12.4151,6.7618,20.5728,3.4955
deployment0007,recovered_inst,phsen_abcdef_instrument,phsen_abcdef_ph_seawater,1,-9999999.0,"[7.3, 8.5]",3639,0,0,188,0,3451,94.83,7.9794,7.3084,8.4952,0.1822
