deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,optaa_dj_dcl_instrument,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[617743, 50037183]",1134.0,0.0,0,0.0,50036049,100.0,1.5986,0.0103,15.9313,3.16
deployment0001,telemetered,optaa_dj_dcl_instrument,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[617743, 50037183]",2283108.0,0.0,10972545,110517.0,36671013,73.29,3.2833,0.0,47.6973,8.0726
deployment0001,telemetered,optaa_dj_dcl_instrument,wavelength_a,nm,-9999999.0,"[None, None]",81,,,no global ranges,,not calculated,stats not calculated,"[401.6, 405.7, 410.0, 414.4, 419.2, 424.6, 429.3, 434.0, 438.7, 443.7, 449.0, 454.3, 458.9, 463.8, 469.4, 474.8, 480.4, 485.9, 490.6, 495.5, 500.5, 505.7, 511.4, 517.1, 522.5, 527.9, 532.9, 537.8, 542.8, 548.0, 553.8, 559.1, 564.0, 569.1, 574.1, 578.6, 583.0, 587.6, 592.2, 596.7, 601.6, 606.1, 611.2, 615.9, 620.7, 625.4, 629.7, 634.2, 638.7, 643.1, 647.6, 652.4, 656.8, 661.4, 666.2, 670.3, 674.7, 678.8, 682.7, 686.6, 689.8, 693.6, 697.0, 700.4, 703.6, 706.6, 709.9, 712.4, 715.3, 718.2, 721.1, 723.5, 725.9, 728.0, 729.9, 731.8, 733.4, 735.3, 736.5, 738.1, 739.9]",,,
deployment0001,telemetered,optaa_dj_dcl_instrument,wavelength_c,nm,-9999999.0,"[None, None]",81,,,no global ranges,,not calculated,stats not calculated,"[401.4, 405.7, 410.0, 414.2, 418.7, 424.2, 428.8, 433.6, 438.2, 443.2, 448.5, 453.8, 458.9, 463.6, 468.7, 474.3, 480.1, 485.3, 490.2, 495.1, 500.0, 505.7, 511.3, 516.8, 522.3, 527.3, 532.3, 537.3, 542.5, 547.6, 552.9, 558.2, 563.7, 568.6, 573.5, 578.3, 582.5, 587.1, 592.0, 596.7, 601.4, 605.3, 610.5, 615.2, 619.9, 624.4, 628.9, 633.4, 637.8, 642.3, 646.9, 651.4, 656.0, 660.8, 665.9, 670.0, 674.0, 678.0, 682.0, 685.9, 689.7, 693.2, 696.5, 700.0, 703.1, 706.2, 709.2, 712.0, 715.0, 717.6, 720.6, 723.0, 725.4, 727.8, 729.9, 731.6, 732.9, 735.4, 736.4, 738.1, 739.4]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1647604, 136751132]",18960.0,37078807.0,28916,12602.0,99611847,72.84,0.4571,0.0,2.0589,0.3174
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[1647604, 136751132]",1280395.0,37078807.0,5408500,55743.0,92927687,67.95,0.0446,0.0,0.2488,0.0385
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[398.9, 402.6, 405.9, 409.4, 412.6, 416.4, 420.5, 424.7, 428.6, 432.7, 436.4, 440.3, 444.8, 449.5, 454.1, 458.2, 462.6, 466.6, 471.3, 476.2, 480.8, 485.3, 489.7, 493.9, 498.2, 503.1, 507.4, 512.3, 517.2, 521.6, 526.5, 530.4, 534.9, 539.6, 543.7, 548.1, 552.6, 557.2, 561.6, 565.9, 570.0, 574.2, 578.0, 582.0, 583.2, 587.6, 591.8, 596.6, 600.9, 605.8, 610.5, 614.9, 619.4, 624.0, 628.4, 632.7, 637.0, 641.5, 646.1, 650.2, 655.0, 659.5, 664.2, 668.5, 673.2, 677.3, 681.6, 685.6, 689.8, 693.9, 697.8, 701.5, 705.5, 709.5, 713.7, 717.3, 721.3, 725.1, 729.1, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",83,,,no global ranges,,not calculated,stats not calculated,"[400.5, 404.1, 407.6, 410.9, 414.4, 418.0, 422.4, 426.5, 430.6, 434.5, 438.2, 442.5, 447.0, 451.8, 456.0, 460.3, 464.5, 469.1, 473.4, 478.3, 483.2, 487.4, 491.8, 496.0, 500.7, 504.8, 509.7, 514.7, 519.4, 524.1, 528.4, 532.7, 537.2, 541.6, 545.7, 550.4, 555.0, 559.4, 563.7, 567.8, 572.0, 576.1, 579.8, 583.9, 588.0, 592.3, 597.1, 601.6, 606.3, 610.7, 615.2, 619.9, 624.5, 628.9, 633.2, 637.3, 641.7, 646.5, 650.7, 655.5, 659.8, 664.7, 669.0, 673.6, 677.8, 681.9, 686.0, 689.8, 694.2, 698.1, 702.0, 705.9, 710.0, 714.0, 717.6, 721.6, 725.4, 729.1, 733.2, -9999999.0, -9999999.0, -9999999.0, -9999999.0]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[759131, 63007873]",759131.0,0.0,0,166.0,62248576,98.79,1.6491,0.0771,7.9309,1.2596
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[759131, 63007873]",1518262.0,0.0,4164757,201829.0,57123025,90.66,0.697,0.0,10.8513,1.0188
