deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,telemetered,dosta_abcdjm_dcl_instrument,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",1423582,153,0,634,0,1422795,99.94,252.2893,203.4247,399.9808,31.5072
deployment0001,telemetered,dosta_abcdjm_dcl_instrument,estimated_oxygen_concentration,µmol L-1,-9999999.0,"[0.0, 400.0]",1423582,0,0,14926,0,1408656,98.95,321.4595,260.039,400.0,39.0351
deployment0001,telemetered,dosta_abcdjm_dcl_instrument,estimated_oxygen_saturation,percent,-9999999.0,"[0.0, 110.0]",1423582,0,0,39366,0,1384216,97.23,94.4315,81.098,110.0,6.2135
deployment0001,telemetered,dosta_abcdjm_dcl_instrument,optode_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1423582,0,0,0,0,1423582,100.0,11.9379,5.882,17.186,2.8317
deployment0001,telemetered,dosta_abcdjm_dcl_instrument,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",1423582,0,0,14923,0,1408659,98.95,321.4598,260.0364,399.9996,39.0353
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",1165108,250,0,0,0,1164858,99.98,181.0511,2.6563,342.4766,60.1482
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_concentration,µmol L-1,-9999999.0,"[0.0, 400.0]",1165108,0,0,649,0,1164459,99.94,228.276,3.321,399.993,76.3318
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_saturation,percent,-9999999.0,"[0.0, 110.0]",1165108,0,0,20176,0,1144932,98.27,81.777,1.308,110.0,24.4224
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,optode_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1165108,0,0,0,0,1165108,100.0,22.0185,8.343,26.028,3.4809
deployment0002,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",1165108,0,0,650,0,1164458,99.94,228.2758,3.3202,399.9816,76.3316
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",1748843,0,0,0,0,1748843,100.0,243.5939,205.6636,323.8297,17.5511
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_concentration,µmol L-1,-9999999.0,"[0.0, 400.0]",1748843,0,0,4592,0,1744251,99.74,309.886,262.902,400.0,22.1558
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,estimated_oxygen_saturation,percent,-9999999.0,"[0.0, 110.0]",1748843,0,0,8423,0,1740420,99.52,95.8322,83.705,110.0,3.2535
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,optode_temperature,ºC,-9999999.0,"[-2.0, 40.0]",1748843,0,0,0,0,1748843,100.0,13.9382,8.378,18.876,2.4897
deployment0003,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,-9999999.0,"[0.0, 400.0]",1748843,0,0,4593,0,1744250,99.74,309.8866,262.8928,399.9965,22.1557
deployment0004,recovered_host,dosta_abcdjm_dcl_instrument_recovered,dissolved_oxygen,µmol kg-1,-9999999.0,"[0.0, 400.0]",1322740,0,0,0,0,1322740,100.0,215.4172,170.9187,289.9366,29.3309
