deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-03-29T16:39:54,telemetered,metbk_hourly,[],0 days 00:30:55,0 days 00:29:22,0,0,[],150,3390,149,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 64, 'common_sampling_rates': {'3600': '96.84%'}}",[],"['northward_velocity', 'eastward_velocity', 'relative_humidity', 'air_temperature', 'met_relwind_speed', 'longwave_irradiance', 'barometric_pressure', 'sea_surface_temperature', 'precipitation', 'shortwave_irradiance', 'time']","[['2015-04-09T09:43:04', '2015-04-10T11:43:04']]",1,1,pass,15,"{'99': 2, '75': 11, '0': 2}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CP04OSSM-SBD11-06-METBKA000-telemetered-metbk_hourly_20141212T221755.734000-20150509T233038.421000
deployment0001,2019-03-29T16:42:58,telemetered,metbk_a_dcl_instrument,[],0 days 00:00:55,0 days 00:00:10,0,0,[],150,194753,149,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 318, 'common_sampling_rates': {'60': '12.24%', '64': '61.76%'}}",[],"['eastward_velocity', 'northward_velocity']","[['2015-04-09T10:06:11', '2015-04-10T11:18:57']]",1,1,pass,24,"{'99': 20, '95': 2, '75': 1, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0001_CP04OSSM-SBD11-06-METBKA000-telemetered-metbk_a_dcl_instrument_20141212T214755.734000-20150509T235950.761000
deployment0002,2019-03-29T16:39:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:29,0 days 01:43:13,0,0,[0.5122],168,239700,167,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 30, 'common_sampling_rates': {'64': '74.17%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 21, '95': 1, '50': 1, '25': 1}",{'99': 23},pass,fail: data found in another stream (gaps: [6] days: [6]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20150509T010429.880000-20151022T221647.811000
deployment0002,2019-03-29T16:39:51,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:29,0 days 01:29:13,0,0,[0.5122],168,3997,167,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 49, 'common_sampling_rates': {'3600': '97.90%'}}",[],"['air_temperature', 'sea_surface_temperature', 'longwave_irradiance', 'shortwave_irradiance', 'relative_humidity', 'precipitation', 'met_relwind_speed', 'barometric_pressure', 'eastward_velocity', 'northward_velocity', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0002_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20150509T013429.880000-20151022T223047.265000
deployment0003,2019-03-29T16:39:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:12,0 days 00:00:10,0,0,"[0.5605, 0.7909]",205,291330,205,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 115, 'common_sampling_rates': {'64': '74.14%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 14, '75': 8, '25': 2}","{'99': 16, '75': 2, '25': 2, '0': 3}","fail: check ['Surface Current Direction', 'Surface Current Speed', 'Relative Wind Direction', 'Relative Wind Speed', 'Net Heat Flux', 'Latent Heat Flux', 'Sensible Heat Flux']","fail: data found in another stream (gaps: [1, 144] days: [28, 144])","['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20151022T193812.727000-20160513T171750.420000
deployment0003,2019-03-29T16:39:51,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:12,-1 days +23:47:22,0,-1,"[0.5605, 0.7909]",205,4880,205,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 71, 'common_sampling_rates': {'3600': '97.81%'}}",[],"['precipitation', 'longwave_irradiance', 'met_relwind_speed', 'barometric_pressure', 'air_temperature', 'sea_surface_temperature', 'relative_humidity', 'shortwave_irradiance', 'eastward_velocity', 'northward_velocity', 'time']",[],0,0,pass,15,"{'99': 2, '50': 11, '25': 1, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,fail: data found in another stream (gaps: [1] days: [0]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0003_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20151022T200812.727000-20160513T173038.783000
deployment0004,2019-03-29T16:39:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:46,0 days 00:00:35,0,0,"[0.4893, 0.1152, 0.8495]",139,198799,139,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 22, 'common_sampling_rates': {'64': '76.87%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 19, '95': 2, '75': 1, '50': 1, '25': 1}",{'99': 23},pass,fail: data found in another stream (gaps: [5] days: [5]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160527T155046.777000-20161012T171125.658000
deployment0004,2019-03-29T16:39:51,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:46,-1 days +23:41:26,0,-1,"[0.4893, 0.1152, 0.8495]",139,3315,139,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 47, 'common_sampling_rates': {'3600': '97.92%'}}",[],"['precipitation', 'sea_surface_temperature', 'barometric_pressure', 'met_relwind_speed', 'longwave_irradiance', 'air_temperature', 'relative_humidity', 'shortwave_irradiance', 'eastward_velocity', 'northward_velocity', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0004_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160527T162046.777000-20161012T173034.615000
deployment0005,2019-03-29T16:39:51,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:41,0 days 01:18:02,0,0,"[0.5813, 0.8239, 0.0339, 0.8814]",240,337616,240,-3,,,,,no seawater pressure in file,,,64,"{'n_unique_rates': 212, 'common_sampling_rates': {'64': '69.45%'}}",[],"['eastward_velocity', 'northward_velocity']",[],0,0,pass,24,"{'99': 21, '95': 1, '75': 1, '50': 1}",{'99': 23},pass,fail: data found in another stream (gaps: [9] days: [9]),"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20161012T142641.906000-20170608T104658.593000
deployment0005,2019-03-29T16:39:51,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:41,0 days 01:34:36,0,0,"[0.5813, 0.8239, 0.0339, 0.8814]",240,5695,240,-3,,,,,no seawater pressure in file,,,3600,"{'n_unique_rates': 73, 'common_sampling_rates': {'3600': '97.80%'}}",[],"['precipitation', 'shortwave_irradiance', 'longwave_irradiance', 'air_temperature', 'met_relwind_speed', 'sea_surface_temperature', 'barometric_pressure', 'relative_humidity', 'northward_velocity', 'eastward_velocity', 'time']",[],0,0,pass,15,"{'99': 2, '75': 12, '0': 1}",no comparison: timestamps do not match,no comparison: timestamps do not match,pass,"['obs', 'time', 'lat', 'lon']",pass,[],deployment0005_CP04OSSM-SBD11-06-METBKA000-recovered_host-metbk_hourly_20161012T145641.906000-20170608T103024.224000
