deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0002,2019-07-23T19:30:09,recovered_host,pco2a_a_dcl_instrument_air_recovered,[],0 days 13:54:39,0 days 02:06:10,0,0,[],168,35910,167,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.89%', 3599: '10.45%'}","{'n_unique_rates': 16, 'common_sampling_rates': {'0': '88.89%', '3599': '10.45%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'relative_humidity', 'met_relwind_speed', 'precipitation', 'air_temperature', 'barometric_pressure', 'longwave_irradiance', 'shortwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0002_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0002,2019-07-23T19:30:10,recovered_host,pco2a_a_dcl_instrument_water_recovered,[],0 days 13:54:28,0 days 02:06:10,0,0,[],168,35909,167,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 18, 'common_sampling_rates': {'0': '11.12%', '1': '77.69%', '3588': '10.45%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'air_temperature', 'precipitation', 'relative_humidity', 'met_relwind_speed', 'longwave_irradiance', 'barometric_pressure', 'shortwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0002_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0003,2019-07-23T19:30:09,recovered_host,pco2a_a_dcl_instrument_air_recovered,[],0 days 00:21:45,0 days 00:23:32,0,0,[0.7909],205,43974,205,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.89%', 3599: '10.46%'}","{'n_unique_rates': 16, 'common_sampling_rates': {'0': '88.89%', '3599': '10.46%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'air_temperature', 'relative_humidity', 'barometric_pressure', 'precipitation', 'longwave_irradiance', 'met_relwind_speed', 'shortwave_irradiance']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0003_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0003,2019-07-23T19:30:10,recovered_host,pco2a_a_dcl_instrument_water_recovered,[],0 days 00:21:33,0 days 00:23:33,0,0,[0.7909],205,43867,205,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 18, 'common_sampling_rates': {'0': '10.84%', '1': '77.92%', '3588': '10.49%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'relative_humidity', 'longwave_irradiance', 'precipitation', 'air_temperature', 'met_relwind_speed', 'shortwave_irradiance', 'barometric_pressure']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0003_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0004,2019-07-23T19:30:09,recovered_host,pco2a_a_dcl_instrument_air_recovered,[],0 days 00:09:41,0 days 00:16:19,0,0,"[0.1152, 0.8495]",139,33130,139,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '80.00%', 1799: '15.46%'}","{'n_unique_rates': 17, 'common_sampling_rates': {'0': '80.00%', '1799': '15.46%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'barometric_pressure', 'shortwave_irradiance', 'longwave_irradiance', 'precipitation', 'air_temperature', 'relative_humidity', 'met_relwind_speed']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0004_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0004,2019-07-23T19:30:10,recovered_host,pco2a_a_dcl_instrument_water_recovered,[],0 days 00:09:36,0 days 00:16:19,0,0,"[0.1152, 0.8495]",139,33130,139,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 19, 'common_sampling_rates': {'0': '20.04%', '1': '59.86%', '1794': '15.49%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'met_relwind_speed', 'air_temperature', 'shortwave_irradiance', 'relative_humidity', 'longwave_irradiance', 'precipitation', 'barometric_pressure']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0004_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0005,2019-07-23T19:30:09,recovered_host,pco2a_a_dcl_instrument_air_recovered,[],0 days 00:03:57,129 days 05:38:22,0,129,"[0.8239, 0.0339, 0.8814]",240,23697,111,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.89%', 3599: '10.42%'}","{'n_unique_rates': 16, 'common_sampling_rates': {'0': '88.89%', '3599': '10.42%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'barometric_pressure', 'longwave_irradiance', 'shortwave_irradiance', 'relative_humidity', 'met_relwind_speed', 'precipitation', 'air_temperature']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0005_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0005,2019-07-23T19:30:10,recovered_host,pco2a_a_dcl_instrument_water_recovered,[],0 days 00:03:45,129 days 05:38:22,0,129,"[0.8239, 0.0339, 0.8814]",240,23697,111,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 17, 'common_sampling_rates': {'0': '11.20%', '1': '77.52%', '3588': '10.42%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'air_temperature', 'met_relwind_speed', 'precipitation', 'shortwave_irradiance', 'longwave_irradiance', 'barometric_pressure', 'relative_humidity']",[],0,0,pass unique test - ascending not tested,3,"{'95': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0005_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
deployment0006,2019-07-23T19:30:09,recovered_host,pco2a_a_dcl_instrument_air_recovered,[],70 days 01:04:56,73 days 14:19:14,70,73,"[0.1971, 0.8777, 0.0841, 0.9084]",150,1161,6,0,,,,,no seawater pressure in file,,,"no consistent sampling rate: {0: '88.97%', 3599: '10.52%'}","{'n_unique_rates': 4, 'common_sampling_rates': {'0': '88.97%', '3599': '10.52%'}}",[],"['partial_pressure_co2_ssw', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'longwave_irradiance', 'met_relwind_speed', 'relative_humidity', 'barometric_pressure', 'shortwave_irradiance', 'air_temperature', 'precipitation']",[],0,0,pass unique test - ascending not tested,3,"{'99': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0006_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_air_recovered
deployment0006,2019-07-23T19:30:10,recovered_host,pco2a_a_dcl_instrument_water_recovered,[],70 days 01:04:43,73 days 14:19:14,70,73,"[0.1971, 0.8777, 0.0841, 0.9084]",150,1161,6,0,,,,,no seawater pressure in file,,,1,"{'n_unique_rates': 4, 'common_sampling_rates': {'1': '88.97%', '3587': '10.52%'}}",[],"['partial_pressure_co2_atm', 'met_salsurf', 'sea_surface_temperature', 'met_wind10m', 'precipitation', 'air_temperature', 'met_relwind_speed', 'shortwave_irradiance', 'longwave_irradiance', 'barometric_pressure', 'relative_humidity']",[],0,0,pass unique test - ascending not tested,3,"{'95': 2, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon']",pass,['multiple deployment .nc files'],deployment0006_CP04OSSM-SBD12-04-PCO2AA000-recovered_host-pco2a_a_dcl_instrument_water_recovered
