deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_end,start_days_missing,end_days_missing,location_diff_km,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_max,pressure_compare,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,sampling_rate_seconds,sampling_rate_details,missing_vars_file,missing_vars_db,file_time_gaps,gaps_num,gaps_num_days,timestamp_test,n_science_vars,valid_data_test,variable_comparison_details,variable_comparison_test,full_dataset_test,file_coordinates,coordinate_test,notes,filename
deployment0001,2019-05-09T13:13:11,recovered_host,adcp_bottom_track_earth,[],0 days 00:00:01,84 days 10:51:27,0,84,[],108,79808,20,200,48.98,176.83,177,-23,int_ctd_pressure,dbar,1646,4,"{'n_unique_rates': 455, 'common_sampling_rates': {'3': '11.63%', '4': '68.16%', '5': '18.54%'}}",[],['int_ctd_pressure'],"[['2015-01-27T15:11:07', '2015-01-31T11:49:42']]",1,3,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0001_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_bottom_track_earth_20150112T060101.110000-20150203T163033.560000
deployment0001,2019-05-09T13:13:11,recovered_host,adcp_velocity_glider,[],0 days 00:00:01,84 days 10:51:27,0,84,[],108,79808,20,200,48.98,176.83,177,-23,int_ctd_pressure,dbar,1646,4,"{'n_unique_rates': 455, 'common_sampling_rates': {'3': '11.63%', '4': '68.16%', '5': '18.54%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']","[['2015-01-27T15:11:07', '2015-01-31T11:49:42']]",1,3,pass,16,"{'99': 7, '25': 8, '0': 1}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,[],deployment0001_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_velocity_glider_20150112T060101.110000-20150203T163033.560000
deployment0002,2019-05-09T13:13:11,recovered_host,adcp_bottom_track_earth,[],0 days 00:03:02,20 days 04:08:32,0,20,[17.6086],93,442845,72,200,104.24,201.13,201,1,int_ctd_pressure,dbar,0,4,"{'n_unique_rates': 1292, 'common_sampling_rates': {'4': '83.45%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0002_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_bottom_track_earth_20160121T163202.550000-20160401T195128.040000
deployment0002,2019-05-09T13:13:11,recovered_host,adcp_velocity_glider,[],0 days 00:03:02,20 days 04:08:32,0,20,[17.6086],93,442845,72,200,104.24,201.13,201,1,int_ctd_pressure,dbar,0,4,"{'n_unique_rates': 1292, 'common_sampling_rates': {'4': '83.45%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']",[],0,0,pass,16,"{'99': 7, '25': 6, '0': 3}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,[],deployment0002_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_velocity_glider_20160121T163202.550000-20160401T195128.040000
deployment0003,2019-05-09T13:13:11,recovered_host,adcp_bottom_track_earth,[],0 days 00:09:46,0 days 14:37:15,0,0,"[16.4076, 2.5133]",94,753200,93,200,98.73,194.83,195,-5,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 1217, 'common_sampling_rates': {'2': '18.69%', '3': '64.89%', '4': '12.24%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0003_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_bottom_track_earth_20170117T000246.580000-20170419T092244.660000
deployment0003,2019-05-09T13:13:11,recovered_host,adcp_velocity_glider,[],0 days 00:09:46,0 days 14:37:15,0,0,"[16.4076, 2.5133]",94,753200,93,200,98.73,194.83,195,-5,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 1218, 'common_sampling_rates': {'2': '18.69%', '3': '64.89%', '4': '12.24%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']",[],0,0,pass unique test - ascending not tested,16,"{'99': 7, '25': 6, '0': 3}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,['multiple deployment .nc files'],deployment0003_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_velocity_glider
deployment0004,2019-05-09T13:13:11,recovered_host,adcp_bottom_track_earth,[],0 days 00:03:40,0 days 02:21:06,0,0,"[38.6679, 21.0663, 22.5815]",52,585455,52,200,79.43,194.39,194,-6,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 1138, 'common_sampling_rates': {'2': '26.89%', '3': '58.03%', '4': '13.89%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0004_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_bottom_track_earth_20170606T035840.630000-20170727T113254.960000
deployment0004,2019-05-09T13:13:11,recovered_host,adcp_velocity_glider,[],0 days 00:03:40,0 days 02:21:06,0,0,"[38.6679, 21.0663, 22.5815]",52,585455,52,200,79.43,194.39,194,-6,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 1138, 'common_sampling_rates': {'2': '26.89%', '3': '58.03%', '4': '13.89%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']",[],0,0,pass unique test - ascending not tested,16,"{'99': 7, '25': 6, '0': 3}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,['multiple deployment .nc files'],deployment0004_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_velocity_glider
deployment0005,2019-05-09T13:13:11,recovered_host,adcp_bottom_track_earth,[],0 days 00:00:01,0 days 01:57:06,0,0,"[46.9342, 29.4483, 31.1474, 8.8262]",3,29297,3,200,72.43,180.34,180,-20,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 111, 'common_sampling_rates': {'2': '14.07%', '3': '52.85%', '4': '29.95%'}}",[],['int_ctd_pressure'],[],0,0,pass,0,{},no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'lat', 'lon', 'int_ctd_pressure']",pass,[],deployment0005_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_bottom_track_earth_20171029T045201.430000-20171031T213454.870000
deployment0005,2019-05-09T13:13:11,recovered_host,adcp_velocity_glider,[],0 days 00:00:01,0 days 01:57:06,0,0,"[46.9342, 29.4483, 31.1474, 8.8262]",3,29297,3,200,72.43,180.34,180,-20,int_ctd_pressure,dbar,0,3,"{'n_unique_rates': 111, 'common_sampling_rates': {'2': '14.07%', '3': '52.85%', '4': '29.95%'}}",[],"['sci_water_pressure', 'int_ctd_pressure']",[],0,0,pass,16,"{'99': 7, '25': 6, '0': 3}",no other streams for comparison,no other streams for comparison,no other streams for comparison,"['obs', 'time', 'pressure', 'lon', 'lat']",pass,[],deployment0005_CP05MOAS-GL339-01-ADCPAM000-recovered_host-adcp_velocity_glider_20171029T045201.430000-20171031T213454.870000
