deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,adcp_velocity_glider,salinity,1,-1,"[None, None]",79808,0,0,no global ranges,0.0,79808.0,100.0,35.0,35.0,35.0,0.0
deployment0001,recovered_host,adcp_velocity_glider,temperature,cdeg_C,-9999,"[None, None]",79808,0,0,no global ranges,0.0,79808.0,100.0,1036.1692,504.0,1633.0,371.8199
deployment0001,recovered_host,adcp_velocity_glider,pressure,daPa,0,"[None, None]",79808,0,79808,no global ranges,,0.0,0.0,,,,
deployment0001,recovered_host,adcp_velocity_glider,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[79808, 2394240]",0,1511121,1095,,,36.84,,,,
deployment0001,recovered_host,adcp_velocity_glider,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[79808, 2394240]",0,1511121,1041,,,36.84,,,,
deployment0001,recovered_host,adcp_velocity_glider,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[79808, 2394240]",0,1511121,1188,,,36.84,,,,
deployment0001,recovered_host,adcp_velocity_glider,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[79808, 2394240]",0,1640116,107,,,31.49,,,,
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[79808, 2394240]",0,0,0,,,100.0,,,,
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[79808, 2394240]",0,0,0,,,100.0,,,,
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[79808, 2394240]",0,0,0,,,100.0,,,,
deployment0001,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam4 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[79808, 2394240]",0,0,0,,,100.0,,,,
deployment0001,recovered_host,adcp_velocity_glider,"upward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[79808, 2394240]",1511121,0,1188,,,36.84,,,,
deployment0001,recovered_host,adcp_velocity_glider,"error_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[79808, 2394240]",1640116,0,107,,,31.49,,,,
deployment0001,recovered_host,adcp_velocity_glider,"eastward_seawater_velocity (dims: ['time', 'eastward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[79808, 2394240]",1511121,0,1001,,,36.84,,,,
deployment0001,recovered_host,adcp_velocity_glider,"northward_seawater_velocity (dims: ['time', 'northward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[79808, 2394240]",1511121,0,1174,,,36.84,,,,
deployment0001,recovered_host,adcp_velocity_glider,"bin_depths (dims: ['time', 'bin'])",m,-9999999.0,"[None, None]","[79808, 2394240]",0,0,no global ranges,,,100.0,,,,
deployment0002,recovered_host,adcp_velocity_glider,salinity,1,-1,"[None, None]",442845,0,0,no global ranges,0.0,442845.0,100.0,35.0,35.0,35.0,0.0
deployment0002,recovered_host,adcp_velocity_glider,temperature,cdeg_C,-9999,"[None, None]",442845,0,0,no global ranges,16.0,442829.0,100.0,1390.874,881.0,1840.0,102.4199
deployment0002,recovered_host,adcp_velocity_glider,pressure,daPa,0,"[None, None]",442845,0,442845,no global ranges,,0.0,0.0,,,,
deployment0002,recovered_host,adcp_velocity_glider,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[442845, 13285350]",0,9859672,294,,,25.78,,,,
deployment0002,recovered_host,adcp_velocity_glider,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[442845, 13285350]",0,9859672,367,,,25.78,,,,
deployment0002,recovered_host,adcp_velocity_glider,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[442845, 13285350]",0,9859672,656,,,25.78,,,,
deployment0002,recovered_host,adcp_velocity_glider,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[442845, 13285350]",0,10355819,55,,,22.05,,,,
deployment0002,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[442845, 13285350]",0,0,0,,,100.0,,,,
deployment0002,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[442845, 13285350]",0,0,0,,,100.0,,,,
deployment0002,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[442845, 13285350]",0,0,0,,,100.0,,,,
deployment0002,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam4 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[442845, 13285350]",0,0,0,,,100.0,,,,
deployment0002,recovered_host,adcp_velocity_glider,"upward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[442845, 13285350]",9859672,0,656,,,25.78,,,,
deployment0002,recovered_host,adcp_velocity_glider,"error_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[442845, 13285350]",10355819,0,55,,,22.05,,,,
deployment0002,recovered_host,adcp_velocity_glider,"eastward_seawater_velocity (dims: ['time', 'eastward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[442845, 13285350]",9859672,0,271,,,25.78,,,,
deployment0002,recovered_host,adcp_velocity_glider,"northward_seawater_velocity (dims: ['time', 'northward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[442845, 13285350]",9859672,0,398,,,25.78,,,,
deployment0002,recovered_host,adcp_velocity_glider,"bin_depths (dims: ['time', 'bin'])",m,-9999999.0,"[None, None]","[442845, 13285350]",0,0,no global ranges,,,100.0,,,,
deployment0003,recovered_host,adcp_velocity_glider,salinity,1,-1,"[None, None]",753200,0,0,no global ranges,0.0,753200.0,100.0,35.0,35.0,35.0,0.0
deployment0003,recovered_host,adcp_velocity_glider,temperature,cdeg_C,-9999,"[None, None]",753200,0,0,no global ranges,0.0,753200.0,100.0,1229.0143,631.0,1816.0,196.8208
deployment0003,recovered_host,adcp_velocity_glider,pressure,daPa,0,"[None, None]",753200,0,753200,no global ranges,,0.0,0.0,,,,
deployment0003,recovered_host,adcp_velocity_glider,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[753200, 22596000]",0,16966139,2796,,,24.9,,,,
deployment0003,recovered_host,adcp_velocity_glider,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[753200, 22596000]",0,16966139,2644,,,24.9,,,,
deployment0003,recovered_host,adcp_velocity_glider,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[753200, 22596000]",0,16966139,3212,,,24.9,,,,
deployment0003,recovered_host,adcp_velocity_glider,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[753200, 22596000]",0,17889782,110,,,20.83,,,,
deployment0003,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[753200, 22596000]",0,0,0,,,100.0,,,,
deployment0003,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[753200, 22596000]",0,0,0,,,100.0,,,,
deployment0003,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[753200, 22596000]",0,0,0,,,100.0,,,,
deployment0003,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam4 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[753200, 22596000]",0,0,0,,,100.0,,,,
deployment0003,recovered_host,adcp_velocity_glider,"upward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[753200, 22596000]",16966139,0,3212,,,24.9,,,,
deployment0003,recovered_host,adcp_velocity_glider,"error_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[753200, 22596000]",17889782,0,110,,,20.83,,,,
deployment0003,recovered_host,adcp_velocity_glider,"eastward_seawater_velocity (dims: ['time', 'eastward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[753200, 22596000]",16966139,0,3017,,,24.9,,,,
deployment0003,recovered_host,adcp_velocity_glider,"northward_seawater_velocity (dims: ['time', 'northward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[753200, 22596000]",16966139,0,2412,,,24.9,,,,
deployment0003,recovered_host,adcp_velocity_glider,"bin_depths (dims: ['time', 'bin'])",m,-9999999.0,"[None, None]","[753200, 22596000]",0,0,no global ranges,,,100.0,,,,
deployment0004,recovered_host,adcp_velocity_glider,salinity,1,-1,"[None, None]",585455,0,0,no global ranges,0.0,585455.0,100.0,35.0,35.0,35.0,0.0
deployment0004,recovered_host,adcp_velocity_glider,temperature,cdeg_C,-9999,"[None, None]",585455,0,0,no global ranges,0.0,585455.0,100.0,1372.6845,806.0,2413.0,231.2066
deployment0004,recovered_host,adcp_velocity_glider,pressure,daPa,0,"[None, None]",585455,0,585455,no global ranges,,0.0,0.0,,,,
deployment0004,recovered_host,adcp_velocity_glider,"water_velocity_east (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[585455, 17563650]",0,12916269,2337,,,26.45,,,,
deployment0004,recovered_host,adcp_velocity_glider,"water_velocity_north (dims: ['time', 'bin'])",mm s-1,-32768,"[-3000.0, 3000.0]","[585455, 17563650]",0,12916269,2296,,,26.45,,,,
deployment0004,recovered_host,adcp_velocity_glider,"water_velocity_up (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[585455, 17563650]",0,12916269,2352,,,26.45,,,,
deployment0004,recovered_host,adcp_velocity_glider,"error_velocity (dims: ['time', 'bin'])",mm s-1,-32768,"[-1000.0, 1000.0]","[585455, 17563650]",0,13805884,330,,,21.39,,,,
deployment0004,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam1 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[585455, 17563650]",0,0,0,,,100.0,,,,
deployment0004,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam2 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[585455, 17563650]",0,0,0,,,100.0,,,,
deployment0004,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam3 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[585455, 17563650]",0,0,0,,,100.0,,,,
deployment0004,recovered_host,adcp_velocity_glider,"corrected_echo_intensity_beam4 (dims: ['time', 'bin'])",dB,-9999999.0,"[0.0, 255.0]","[585455, 17563650]",0,0,0,,,100.0,,,,
deployment0004,recovered_host,adcp_velocity_glider,"upward_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[585455, 17563650]",12916269,0,2352,,,26.45,,,,
deployment0004,recovered_host,adcp_velocity_glider,"error_seawater_velocity (dims: ['time', 'bin'])",m s-1,-9999999.0,"[-1.0, 1.0]","[585455, 17563650]",13805884,0,330,,,21.39,,,,
deployment0004,recovered_host,adcp_velocity_glider,"eastward_seawater_velocity (dims: ['time', 'eastward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[585455, 17563650]",12916269,0,2299,,,26.45,,,,
deployment0004,recovered_host,adcp_velocity_glider,"northward_seawater_velocity (dims: ['time', 'northward_seawater_velocity_dim_0'])",m s-1,-9999999.0,"[-3.0, 3.0]","[585455, 17563650]",12916269,0,2269,,,26.45,,,,
deployment0004,recovered_host,adcp_velocity_glider,"bin_depths (dims: ['time', 'bin'])",m,-9999999.0,"[None, None]","[585455, 17563650]",0,0,no global ranges,,,100.0,,,,
deployment0005,recovered_host,adcp_velocity_glider,salinity,1,-1,"[None, None]",29297,0,0,no global ranges,0.0,29297.0,100.0,35.0,35.0,35.0,0.0
deployment0005,recovered_host,adcp_velocity_glider,temperature,cdeg_C,-9999,"[None, None]",29297,0,0,no global ranges,0.0,29297.0,100.0,1814.295,1581.0,2056.0,78.2128
deployment0005,recovered_host,adcp_velocity_glider,pressure,daPa,0,"[None, None]",29297,0,29297,no global ranges,,0.0,0.0,,,,
