deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2035962,0,0,0,943,2035019,99.95,35.7141,32.7504,36.4504,0.4115
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",2035962,0,0,0,941,2035021,99.95,4.5151,3.8782,5.221,0.2945
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",2035962,0,0,2,0,2035960,100.0,9.1221,0.0,19.311,5.2007
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",2035962,0,0,0,939,2035023,99.95,16.3736,10.5608,23.1674,2.8394
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",2035962,0,0,941,1,2035020,99.95,1026.5837,1022.2201,1027.9835,0.9376
deployment0001,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",2035962,0,0,2,0,2035960,100.0,91.2213,0.0,193.11,52.0066
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",1972228,0,0,0,1308,1970920,99.93,34.6859,30.4092,36.8445,1.1027
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",1972228,0,0,0,1308,1970920,99.93,4.058,3.2505,5.2457,0.3731
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",1972228,0,0,0,0,1972228,100.0,5.998,0.0,20.653,4.5613
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",1972228,0,0,0,0,1972228,100.0,12.8292,0.0,23.088,3.212
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",1972228,24302,0,1308,0,1946618,98.7,1026.4281,1023.3016,1028.8319,0.9501
deployment0002,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",1972228,0,0,0,0,1972228,100.0,59.9796,0.0,206.53,45.6127
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2313,0,0,0,9,2304,99.61,34.3197,27.4309,35.7142,0.6699
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_cond,S m-1,nan,"[0.0, 6.0]",2313,0,0,0,9,2304,99.61,3.9237,3.1143,4.4272,0.2121
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure,bar,nan,"[0.0, 6000.0]",2313,0,0,2,0,2311,99.91,5.762,0.0,15.462,3.9423
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_temp,ºC,nan,"[-2.0, 40.0]",2313,0,0,0,8,2305,99.65,11.8731,10.7035,15.6658,1.5143
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",2313,0,0,8,2,2303,99.57,1026.337,1023.3441,1027.6324,0.4069
deployment0003,recovered_host,ctdgv_m_glider_instrument_recovered,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",2313,0,0,2,0,2311,99.91,57.6201,0.0,154.62,39.4234
deployment0004,telemetered,ctdgv_m_glider_instrument,practical_salinity,1,-9999999.0,"[0.0, 42.0]",46,0,0,0,0,46,100.0,30.8835,0.0,35.5075,10.7916
deployment0004,telemetered,ctdgv_m_glider_instrument,sci_water_cond,S m-1,nan,"[0.0, 6.0]",46,0,0,0,0,46,100.0,4.0447,0.0,5.1858,1.484
deployment0004,telemetered,ctdgv_m_glider_instrument,sci_water_pressure,bar,nan,"[0.0, 6000.0]",46,0,0,0,0,46,100.0,3.1938,0.0,10.082,3.0203
deployment0004,telemetered,ctdgv_m_glider_instrument,sci_water_temp,ºC,nan,"[-2.0, 40.0]",46,0,0,0,0,46,100.0,15.8735,0.0,24.2403,7.2731
deployment0004,telemetered,ctdgv_m_glider_instrument,sci_seawater_density,kg m-3,nan,"[1000.0, 1100.0]",46,0,0,5,0,41,89.13,1025.1068,1022.9963,1027.0883,1.4756
deployment0004,telemetered,ctdgv_m_glider_instrument,sci_water_pressure_dbar,dbar,nan,"[0.0, 6000.0]",46,0,0,0,0,46,100.0,31.9378,0.0,100.82,30.2029
deployment0006,telemetered,ctdgv_m_glider_instrument,practical_salinity,1,-9999999.0,"[0.0, 42.0]",2600,0,0,0,36,2564,98.62,34.6825,32.7964,35.6706,0.816
