deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_m_sample,telemetered-flort_m_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2326051.0,0.0,"{'missing_data_gaps': [['2014-10-27T13:16:52', '2014-10-27T13:16:53'], ['2014-11-01T21:25:07', '2014-11-01T21:25:08'], ['2014-11-13T18:57:51', '2014-11-13T18:57:52'], ['2014-11-14T15:57:40', '2014-11-14T15:57:42'], ['2014-11-28T06:23:44', '2014-11-28T06:23:45']], 'n_missing': [2, 2, 2, 2, 2], 'n_missing_total': 10, 'n_missing_days_total': 5}",42841.0,0.0,1.3955e-06,0.0,0.0
deployment0001,recovered_host-flort_m_sample,telemetered-flort_m_sample,Optical Backscatter,optical_backscatter,m-1,pass,2326051.0,0.0,no missing data,42664.0,0.0,4.21e-08,0.0,0.0
deployment0001,recovered_host-flort_m_sample,telemetered-flort_m_sample,Total Volume Scattering Coefficient,sci_flbbcd_bb_units,m-1 sr-1,pass,2326051.0,0.0,no missing data,42664.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_m_sample,telemetered-flort_m_sample,CDOM Concentration,sci_flbbcd_cdom_units,ppb,pass,2326051.0,0.0,no missing data,42663.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_m_sample,telemetered-flort_m_sample,Chlorophyll-a Concentration,sci_flbbcd_chlor_units,µg L-1,pass,2326051.0,0.0,no missing data,42663.0,0.0,0.0,0.0,0.0
deployment0002,telemetered-flort_m_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_host-flort_m_sample,telemetered-flort_m_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,902599.0,70.0,"{'missing_data_gaps': [['2015-10-26T08:14:35', '2015-10-26T08:14:39']], 'n_missing': [2], 'n_missing_total': 2, 'n_missing_days_total': 1}",17954.0,0.0,1.9427e-06,0.0,0.0
deployment0003,recovered_host-flort_m_sample,telemetered-flort_m_sample,Optical Backscatter,optical_backscatter,m-1,pass,902599.0,70.0,no missing data,17866.0,0.0,3.30598e-05,0.0,0.0
deployment0003,recovered_host-flort_m_sample,telemetered-flort_m_sample,Total Volume Scattering Coefficient,sci_flbbcd_bb_units,m-1 sr-1,pass,902599.0,0.0,no missing data,18161.0,0.0,4.89e-06,0.0,0.0
deployment0003,recovered_host-flort_m_sample,telemetered-flort_m_sample,CDOM Concentration,sci_flbbcd_cdom_units,ppb,pass,902599.0,0.0,no missing data,18166.0,0.0,0.0905001163,0.0,0.0
deployment0003,recovered_host-flort_m_sample,telemetered-flort_m_sample,Chlorophyll-a Concentration,sci_flbbcd_chlor_units,µg L-1,pass,902599.0,0.0,no missing data,18166.0,0.0,0.0073001385,0.0,0.0
deployment0004,recovered_host-flort_m_sample,telemetered-flort_m_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,181835.0,0.0,no missing data,3297.0,0.0,4.76e-07,0.0,0.0
deployment0004,recovered_host-flort_m_sample,telemetered-flort_m_sample,Optical Backscatter,optical_backscatter,m-1,pass,181835.0,0.0,no missing data,3297.0,0.0,1.44e-08,0.0,0.0
deployment0004,recovered_host-flort_m_sample,telemetered-flort_m_sample,Total Volume Scattering Coefficient,sci_flbbcd_bb_units,m-1 sr-1,pass,181835.0,0.0,no missing data,3297.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-flort_m_sample,telemetered-flort_m_sample,CDOM Concentration,sci_flbbcd_cdom_units,ppb,pass,181835.0,0.0,no missing data,3297.0,0.0,0.0,0.0,0.0
deployment0004,recovered_host-flort_m_sample,telemetered-flort_m_sample,Chlorophyll-a Concentration,sci_flbbcd_chlor_units,µg L-1,pass,181835.0,0.0,no missing data,3297.0,0.0,0.0,0.0,0.0
