deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,barometric_pressure,mbar,-9999999.0,"[800.0, 1100.0]",9299,0,0,0,21.0,9278,99.77,1013.288,981.57,1022.46,11.1767
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,relative_humidity,%,-9999999.0,"[0.0, 100.0]",9299,0,0,1831,20.0,7448,80.09,88.0574,56.729,99.995,10.5425
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",9299,0,0,0,20.0,9279,99.78,14.0847,9.81,17.252,1.605
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",9299,0,0,3,0.0,9296,99.97,357.6262,271.3,397.5,31.6257
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,precipitation,mm,-9999999.0,"[0.0, 50.0]",9299,0,0,0,17.0,9282,99.82,0.7297,0.0,3.66,1.0128
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_temperature,ºC,-9999999.0,"[-2.0, 40.0]",9299,0,0,20,0.0,9279,99.78,14.5342,13.626,15.633,0.5689
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",9299,0,0,0,20.0,9279,99.78,4.1745,3.9217,4.2802,0.0595
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,shortwave_irradiance,W m-2,-9999999.0,"[0.0, 1000.0]",9299,0,0,137,0.0,9162,98.53,165.6743,0.0,993.8,240.0497
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,eastward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",9299,0,0,0,0.0,9299,100.0,0.1239,-9.68,15.55,4.4641
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,northward_wind_velocity,m s-1,-9999999.0,"[-33.0, 33.0]",9299,0,0,0,0.0,9299,100.0,-1.4072,-16.53,20.08,5.5521
