deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,83715,0,no missing data,83721,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,83715,0,"{'missing_data_gaps': [['2015-08-05T21:45:17', '2015-08-06T14:33:02']], 'n_missing': [10009], 'n_missing_total': 10009, 'n_missing_days_total': 2}",83721,0.0,0.0976,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,83715,0,"{'missing_data_gaps': [['2015-08-05T21:45:17', '2015-08-06T14:33:02']], 'n_missing': [10009], 'n_missing_total': 10009, 'n_missing_days_total': 2}",83721,0.0,0.2703,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,83715,0,"{'missing_data_gaps': [['2015-08-05T21:45:17', '2015-08-06T14:33:02']], 'n_missing': [10009], 'n_missing_total': 10009, 'n_missing_days_total': 2}",83721,0.0,4.21e-05,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,83715,0,no missing data,83721,0.0,0.0002846258,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,83715,83715,No valid data to compare,0,,,,
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,4926668,0,"{'missing_data_gaps': [['2016-09-14T18:45:16', '2016-09-24T00:03:01']], 'n_missing': [122787], 'n_missing_total': 122787, 'n_missing_days_total': 11}",4928210,0.0,2.83e-08,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,4926668,0,"{'missing_data_gaps': [['2016-09-14T18:45:16', '2016-09-24T00:03:01']], 'n_missing': [122787], 'n_missing_total': 122787, 'n_missing_days_total': 11}",4928210,0.0,41.4304,530.0,0.01
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,4926668,0,"{'missing_data_gaps': [['2016-09-14T18:45:16', '2016-09-24T00:03:01']], 'n_missing': [122787], 'n_missing_total': 122787, 'n_missing_days_total': 11}",4928210,0.0,130.1044,1102.0,0.02
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,4926668,0,"{'missing_data_gaps': [['2016-09-14T18:45:16', '2016-09-24T00:03:01']], 'n_missing': [122787], 'n_missing_total': 122787, 'n_missing_days_total': 11}",4928210,0.0,0.007291398,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,4926668,0,"{'missing_data_gaps': [['2016-09-14T18:45:16', '2016-09-24T00:03:01']], 'n_missing': [122787], 'n_missing_total': 122787, 'n_missing_days_total': 11}",4928210,0.0,0.0492950083,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,4926668,4926668,No valid data to compare,0,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,6282424,0,no missing data,6283606,0.0,2.215e-07,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,6282424,0,no missing data,6283606,0.0,44.3562,536.0,0.01
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,6282424,0,no missing data,6283606,0.0,126.5859,942.0,0.01
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Volume Scattering Coefficient,total_volume_scattering_coefficient,m-1 sr-1,pass,6282424,0,no missing data,6283606,0.0,0.0061422,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,6282424,0,no missing data,6283606,0.0,0.0415256169,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CTD Seawater Pressure,pressure_depth,dbar,pass,6282424,6282424,No valid data to compare,0,,,,
