deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Density,density,kg m-3,pass,2849593.0,0.0,no missing data,58.0,0.0,0.6658701032,0.0,0.0
deployment0001,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Practical Salinity,practical_salinity,1,pass,2849593.0,0.0,no missing data,58.0,0.0,0.0162848686,0.0,0.0
deployment0001,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Pressure,ctdpf_ckl_seawater_pressure,dbar,pass,2849593.0,0.0,no missing data,58.0,0.0,156.09,45.0,77.59
deployment0001,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Temperature,ctdpf_ckl_seawater_temperature,ºC,pass,2849593.0,0.0,no missing data,58.0,0.0,0.1889,0.0,0.0
deployment0001,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Conductivity,ctdpf_ckl_seawater_conductivity,S m-1,pass,2849593.0,0.0,no missing data,58.0,0.0,0.01309,0.0,0.0
deployment0002,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Density,density,kg m-3,pass,4270768.0,0.0,no missing data,11.0,0.0,0.5639402307,0.0,0.0
deployment0003,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Practical Salinity,practical_salinity,1,pass,4270768.0,0.0,no missing data,11.0,0.0,0.004129831,0.0,0.0
deployment0003,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Pressure,ctdpf_ckl_seawater_pressure,dbar,pass,4270768.0,0.0,no missing data,11.0,0.0,131.54,9.0,81.82
deployment0003,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Temperature,ctdpf_ckl_seawater_temperature,ºC,pass,4270768.0,0.0,no missing data,11.0,0.0,0.0778,0.0,0.0
deployment0003,recovered_wfp-ctdpf_ckl_wfp_instrument_recovered,telemetered-ctdpf_ckl_wfp_instrument,Seawater Conductivity,ctdpf_ckl_seawater_conductivity,S m-1,pass,4270768.0,0.0,no missing data,11.0,0.0,0.00388,0.0,0.0
