deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,telemetered-flort_sample,no other methods available for comparison,,,,,,,,,,,,
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,4254784.0,4079847.0,no missing data,174983.0,0.0,1e-10,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,4254784.0,0.0,no missing data,4256398.0,0.0,2.2692,8.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,4254784.0,0.0,no missing data,4256398.0,0.0,1.7195,8.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,4254784.0,4079847.0,no missing data,174983.0,0.0,0.0009265279,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,4254784.0,4254784.0,No valid data to compare,0.0,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,3023617.0,1442679.0,"{'missing_data_gaps': [['2017-08-12T21:00:17', '2017-08-13T14:03:07']], 'n_missing': [10159], 'n_missing_total': 10159, 'n_missing_days_total': 2}",1581480.0,0.0,1.6982e-06,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,3023617.0,0.0,"{'missing_data_gaps': [['2017-08-12T21:00:17', '2017-08-13T14:03:07']], 'n_missing': [10159], 'n_missing_total': 10159, 'n_missing_days_total': 2}",3024787.0,0.0,0.7076,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,3023617.0,0.0,"{'missing_data_gaps': [['2017-08-12T21:00:17', '2017-08-13T14:03:07']], 'n_missing': [10159], 'n_missing_total': 10159, 'n_missing_days_total': 2}",3024787.0,0.0,0.4434,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,3023617.0,1442679.0,"{'missing_data_gaps': [['2017-08-12T21:00:17', '2017-08-13T14:03:07']], 'n_missing': [10159], 'n_missing_total': 10159, 'n_missing_days_total': 2}",1581480.0,0.0,0.0047189738,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,3023617.0,3023617.0,No valid data to compare,0.0,,,,
deployment0004,telemetered-flort_sample,no other methods available for comparison,,,,,,,,,,,,
