deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Density,density,kg m-3,pass,5851.0,0.0,no missing data,4235.0,4.85e-08,0.0030317736,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Practical Salinity,practical_salinity,1,pass,5851.0,0.0,no missing data,4235.0,6.21e-08,0.0035610382,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Temperature,ctdbp_seawater_temperature,ºC,pass,5851.0,0.0,no missing data,4235.0,2.77e-08,0.0006075786,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Pressure,ctdbp_seawater_pressure,dbar,pass,5851.0,0.0,no missing data,4235.0,0.0008468475,0.7186692669,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Conductivity,ctdbp_seawater_conductivity,S m-1,pass,5851.0,0.0,no missing data,4235.0,2.7e-09,0.0003109127,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Density,density,kg m-3,pass,5851.0,0.0,no missing data,4235.0,4.85e-08,0.0030317736,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Practical Salinity,practical_salinity,1,pass,5851.0,0.0,no missing data,4235.0,6.21e-08,0.0035610382,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Temperature,ctdbp_seawater_temperature,ºC,pass,5851.0,0.0,no missing data,4235.0,2.77e-08,0.0006075786,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Pressure,ctdbp_seawater_pressure,dbar,pass,5851.0,0.0,no missing data,4235.0,0.0008468475,0.7186692669,0.0,0.0
deployment0002,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Conductivity,ctdbp_seawater_conductivity,S m-1,pass,5851.0,0.0,no missing data,4235.0,2.7e-09,0.0003109127,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Density,density,kg m-3,pass,5053.0,0.0,no missing data,3319.0,1.22e-08,0.0001498401,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Practical Salinity,practical_salinity,1,pass,5053.0,0.0,no missing data,3319.0,4.5e-08,0.000162097,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Temperature,ctdbp_seawater_temperature,ºC,pass,5053.0,0.0,no missing data,3319.0,3.9e-09,0.000104676,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Pressure,ctdbp_seawater_pressure,dbar,pass,5053.0,0.0,no missing data,3319.0,0.0008292714,0.0481076343,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,recovered_host-ctdbp_p_dcl_instrument_recovered,Seawater Conductivity,ctdbp_seawater_conductivity,S m-1,pass,5053.0,0.0,no missing data,3319.0,5e-10,8.4593e-06,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Density,density,kg m-3,pass,5053.0,0.0,no missing data,3319.0,1.22e-08,0.0001498401,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Practical Salinity,practical_salinity,1,pass,5053.0,0.0,no missing data,3319.0,4.5e-08,0.000162097,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Temperature,ctdbp_seawater_temperature,ºC,pass,5053.0,0.0,no missing data,3319.0,3.9e-09,0.000104676,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Pressure,ctdbp_seawater_pressure,dbar,pass,5053.0,0.0,no missing data,3319.0,0.0008292714,0.0481076343,0.0,0.0
deployment0003,recovered_inst-ctdbp_cdef_instrument_recovered,telemetered-ctdbp_p_dcl_instrument,Seawater Conductivity,ctdbp_seawater_conductivity,S m-1,pass,5053.0,0.0,no missing data,3319.0,5e-10,8.4593e-06,0.0,0.0
deployment0004,telemetered-ctdbp_p_dcl_instrument,no other methods available for comparison,,,,,,,,,,,,
