deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Density,density,kg m-3,pass,45363,0,no missing data,37996,1.3e-09,0.0002190186,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Practical Salinity,practical_salinity,1,pass,45363,0,no missing data,37996,3e-10,0.0001635651,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,45363,0,no missing data,37996,0.0025617455,0.0204663974,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,45363,0,no missing data,37996,2.9e-09,0.0001143595,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,45363,0,no missing data,37996,3e-10,6.9888e-06,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Density,density,kg m-3,pass,45363,0,no missing data,1500,2.99e-08,0.0002019825,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Practical Salinity,practical_salinity,1,pass,45363,0,no missing data,1500,2.7e-08,0.0001518729,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,45363,0,no missing data,1500,0.0026074957,0.0204267449,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,45363,0,no missing data,1500,4.75e-08,0.0001028724,0,0.0
deployment0001,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,45363,0,no missing data,1500,3.6e-09,6.8936e-06,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Density,density,kg m-3,pass,64933,0,no missing data,50061,3.9e-09,0.0002343494,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Practical Salinity,practical_salinity,1,pass,64933,0,no missing data,50061,7e-10,0.0001887507,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,64933,0,no missing data,50061,0.0025918821,0.0204893601,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,64933,0,no missing data,50061,1e-09,0.0001256016,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,64933,0,no missing data,50061,0.0,6.0601e-06,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Density,density,kg m-3,pass,64933,0,no missing data,50061,3.9e-09,0.0002343494,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Practical Salinity,practical_salinity,1,pass,64933,0,no missing data,50061,7e-10,0.0001887507,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,64933,0,no missing data,50061,0.0025918821,0.0204893601,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,64933,0,no missing data,50061,1e-09,0.0001256016,0,0.0
deployment0002,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,64933,0,no missing data,50061,0.0,6.0601e-06,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Density,density,kg m-3,pass,76735,0,no missing data,58279,4.2e-09,0.0002313498,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Practical Salinity,practical_salinity,1,pass,76735,0,no missing data,58279,2.8e-09,0.0001681772,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,76735,0,no missing data,58279,0.0025881974,0.0204762591,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,76735,0,no missing data,58279,8.3e-09,0.000115133,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,recovered_host-ctdmo_ghqr_imodem_instrument_recovered,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,76735,0,no missing data,58279,2e-10,6.47e-06,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Density,density,kg m-3,pass,76735,0,no missing data,58543,4.2e-09,0.0002313498,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Practical Salinity,practical_salinity,1,pass,76735,0,no missing data,58543,2.8e-09,0.0001681772,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,76735,0,no missing data,58543,0.0025881974,0.0204762591,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,76735,0,no missing data,58543,8.3e-09,0.000115133,0,0.0
deployment0003,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,76735,0,no missing data,58543,2e-10,6.47e-06,0,0.0
deployment0004,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Density,density,kg m-3,pass,60014,0,no missing data,12976,4.9e-09,0.0001962573,0,0.0
deployment0004,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Practical Salinity,practical_salinity,1,pass,60014,0,no missing data,12976,1.2e-08,0.0001423229,0,0.0
deployment0004,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Pressure,ctdmo_seawater_pressure,dbar,pass,60014,0,no missing data,12976,0.0025964817,0.0204413569,0,0.0
deployment0004,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Temperature,ctdmo_seawater_temperature,ºC,pass,60014,0,no missing data,12976,4.7e-09,9.40176e-05,0,0.0
deployment0004,recovered_inst-ctdmo_ghqr_instrument_recovered,telemetered-ctdmo_ghqr_imodem_instrument,Seawater Conductivity,ctdmo_seawater_conductivity,S m-1,pass,60014,0,no missing data,12976,7e-10,6.0566e-06,0,0.0
