deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,574194.0,30819.0,no missing data,25705.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO,estimated_oxygen_concentration,µmol L-1,pass,574194.0,0.0,no missing data,25705.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,Dissolved Oxygen Saturation,estimated_oxygen_saturation,percent,pass,574194.0,0.0,no missing data,25705.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,Optode Temperature,optode_temperature,ºC,pass,574194.0,0.0,no missing data,25705.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO - Temp Corrected,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,pass,574194.0,0.0,no missing data,25705.0,0.0,0.0,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,1388984.0,0.0,no missing data,1389028.0,0.0,0.11474834,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO,estimated_oxygen_concentration,µmol L-1,pass,1388984.0,0.0,no missing data,1389028.0,0.0,0.1530151367,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,Dissolved Oxygen Saturation,estimated_oxygen_saturation,percent,pass,1388984.0,0.0,no missing data,1389028.0,0.0,0.0379943848,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,Optode Temperature,optode_temperature,ºC,pass,1388984.0,0.0,no missing data,1389028.0,0.0,0.0030002594,0.0,0.0
deployment0002,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO - Temp Corrected,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,pass,1388984.0,0.0,no missing data,1389028.0,0.0,0.14899557,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO - Pressure Temp Sal Corrected,dissolved_oxygen,µmol kg-1,pass,2496965.0,0.0,"{'missing_data_gaps': [['2017-08-12T20:00:28', '2017-08-14T04:48:04']], 'n_missing': [11218], 'n_missing_total': 11218, 'n_missing_days_total': 3}",2497015.0,0.0,0.4994751684,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO,estimated_oxygen_concentration,µmol L-1,pass,2496965.0,0.0,"{'missing_data_gaps': [['2017-08-12T20:00:28', '2017-08-14T04:48:04']], 'n_missing': [11218], 'n_missing_total': 11218, 'n_missing_days_total': 3}",2497015.0,0.0,0.1439819336,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,Dissolved Oxygen Saturation,estimated_oxygen_saturation,percent,pass,2496965.0,0.0,"{'missing_data_gaps': [['2017-08-12T20:00:28', '2017-08-14T04:48:04']], 'n_missing': [11218], 'n_missing_total': 11218, 'n_missing_days_total': 3}",2497015.0,0.0,0.0450057983,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,Optode Temperature,optode_temperature,ºC,pass,2496965.0,0.0,"{'missing_data_gaps': [['2017-08-12T20:00:28', '2017-08-14T04:48:04']], 'n_missing': [11218], 'n_missing_total': 11218, 'n_missing_days_total': 3}",2497015.0,0.0,0.0069999695,0.0,0.0
deployment0003,recovered_host-dosta_abcdjm_dcl_instrument_recovered,telemetered-dosta_abcdjm_dcl_instrument,DO - Temp Corrected,dosta_abcdjm_cspp_tc_oxygen,µmol L-1,pass,2496965.0,0.0,"{'missing_data_gaps': [['2017-08-12T20:00:28', '2017-08-14T04:48:04']], 'n_missing': [11218], 'n_missing_total': 11218, 'n_missing_days_total': 3}",2497015.0,0.0,0.1436769259,0.0,0.0
deployment0004,telemetered-dosta_abcdjm_dcl_instrument,no other methods available for comparison,,,,,,,,,,,,
