deployment,file_downloaded,preferred_method,stream,other_methods,time_delta_start,time_delta_stop,n_days_deployed,n_timestamps,n_days,deploy_depth,pressure_mean,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,missing_vars_file,missing_vars_db,file_time_gaps,ascending_timestamp_test,unique_timestamp_test,file_coordinates,filename
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:41,187 days 05:11:03,347.0,198359,160,-5,,,no seawater pressure,,,[],"[u'eastward_velocity', u'northward_velocity']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:27,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:41,187 days 05:29:23,347.0,3803,160,-5,,,no seawater pressure,,,[],"[u'precipitation', u'air_temperature', u'shortwave_irradiance', u'sea_surface_temperature', u'met_relwind_speed', u'longwave_irradiance', u'barometric_pressure', u'relative_humidity', u'eastward_velocity', u'northward_velocity', u'time']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_hourly_20140910T192041.465000-20150216T053037.292000.nc
deployment0002,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:14,173 days 15:51:18,340.0,235946,166,-5,,,no seawater pressure,,,[],"[u'eastward_velocity', u'northward_velocity']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0002_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20150815T192214.032000-20160127T080842.876000.nc
deployment0002,2018-10-11T15:30:27,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:14,173 days 15:29:41,340.0,3949,166,-5,,,no seawater pressure,,,[],"[u'air_temperature', u'met_relwind_speed', u'relative_humidity', u'sea_surface_temperature', u'precipitation', u'barometric_pressure', u'longwave_irradiance', u'shortwave_irradiance', u'northward_velocity', u'eastward_velocity', u'time']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0002_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_hourly_20150815T195214.032000-20160127T083019.947000.nc
deployment0003,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,['telemetered'],0 days 00:00:03,1 days 13:29:08,401.0,424973,304,-5,,,no seawater pressure,,,[],"[u'eastward_velocity', u'northward_velocity']","[[u'2017-01-10T21:52:40', u'2017-04-04T12:15:25'], [u'2017-04-06T01:26:21', u'2017-04-07T08:22:19'], [u'2017-04-11T14:07:16', u'2017-04-24T20:30:45']]",pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0003_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20160710T174403.350000-20170812T200352.175000.nc
deployment0003,2018-10-11T15:30:27,recovered_host,metbk_hourly,['telemetered'],0 days 00:30:03,327 days 22:02:39,401.0,1723,73,-5,,,no seawater pressure,,,[],"[u'sea_surface_temperature', u'shortwave_irradiance', u'relative_humidity', u'precipitation', u'barometric_pressure', u'air_temperature', u'met_relwind_speed', u'longwave_irradiance', u'eastward_velocity', u'northward_velocity', u'time']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0003_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_hourly_20160710T181403.350000-20160920T113021.050000.nc
deployment0004,2018-10-11T15:30:37,telemetered,metbk_hourly,[],0 days 00:30:21,244 days 22:31:02,314.0,1624,69,-5,,,no seawater pressure,,,[],"[u'longwave_irradiance', u'sea_surface_temperature', u'precipitation', u'relative_humidity', u'barometric_pressure', u'air_temperature', u'shortwave_irradiance', u'met_relwind_speed', u'northward_velocity', u'eastward_velocity', u'time']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0004_GI01SUMO-SBD11-06-METBKA000-telemetered-metbk_hourly_20170805T184721.211000-20171012T093058.936000.nc
deployment0004,2018-10-11T15:33:20,telemetered,metbk_a_dcl_instrument,[],0 days 00:00:21,244 days 22:54:07,314.0,97364,69,-5,,,no seawater pressure,,,[],"[u'eastward_velocity', u'northward_velocity']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0004_GI01SUMO-SBD11-06-METBKA000-telemetered-metbk_a_dcl_instrument_20170805T181721.211000-20171012T090753.398000.nc
deployment0005,2018-10-11T15:30:37,telemetered,metbk_hourly,[],0 days 00:30:09,no end date in asset management,,136,7,-5,,,no seawater pressure,,,[],"[u'barometric_pressure', u'relative_humidity', u'shortwave_irradiance', u'sea_surface_temperature', u'precipitation', u'met_relwind_speed', u'longwave_irradiance', u'air_temperature', u'eastward_velocity', u'northward_velocity', u'time']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0005_GI01SUMO-SBD11-06-METBKA000-telemetered-metbk_hourly_20180608T175109.234000-20180614T083059.344000.nc
deployment0005,2018-10-11T15:33:20,telemetered,metbk_a_dcl_instrument,[],0 days 00:00:09,no end date in asset management,,8082,7,-5,,,no seawater pressure,,,[],"[u'eastward_velocity', u'northward_velocity']",[],pass,pass,"[u'obs', u'time', u'lat', u'lon']",deployment0005_GI01SUMO-SBD11-06-METBKA000-telemetered-metbk_a_dcl_instrument_20180608T172109.234000-20180614T080150.161000.nc
