deployment,file_downloaded,preferred_method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,mean,min,max,stdev,filename
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,met_netsirr,W m-2,-1e+07,198359,1856,0,0,196503,30.8317,-2.5515,442.3545,68.6208,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,longwave_irradiance,W m-2,-1e+07,198359,2,0,0,198357,288.3812,197.1,382.8,38.6874,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,met_sensflx_minute,W m-2,-9999999.0,198359,728,1071,0,196560,34.139,-26.5594,247.7502,39.835,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_conductivity,S m-1,-1e+07,198359,3,0,0,198356,3.3973,2.881,3.7412,0.1256,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,shortwave_irradiance,W m-2,-1e+07,198359,1856,0,0,196503,32.6261,-2.7,468.1,72.6146,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_east,m s-1,-9999999.0,198359,0,0,0,198359,2.8654,-18.3043,23.6263,6.3967,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,met_heatflx_minute,W m-2,-9999999.0,198359,283,1071,0,197005,132.2334,-612.1607,936.6806,156.3213,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_north,m s-1,-9999999.0,198359,0,0,0,198359,0.0371,-22.8896,15.9865,5.7016,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,relative_humidity,%,-1e+07,198359,0,0,0,198359,78.2601,31.175,102.641,14.4239,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
deployment0001,2018-10-11T15:30:18,recovered_host,metbk_a_dcl_instrument_recovered,air_temperature,ºC,-1e+07,198359,0,0,0,198359,3.2839,-5.569,10.264,3.0773,deployment0001_GI01SUMO-SBD11-06-METBKA000-recovered_host-metbk_a_dcl_instrument_recovered_20140910T185041.465000-20150216T054857.646000.nc
