deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[699779, 55282541]",699779.0,0.0,20594,212272.0,54349896,98.31,0.1996,0.0581,8.867,0.2315
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[699779, 55282541]",743789.0,0.0,21032173,466103.0,33040476,59.77,0.1595,0.0,17.8358,0.7145
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",79,,,no global ranges,,not calculated,stats not calculated,"[399.6, 403.2, 406.9, 410.3, 413.7, 417.6, 421.9, 426.1, 430.2, 434.3, 438.0, 442.6, 447.0, 451.8, 456.6, 460.3, 464.7, 469.2, 474.0, 479.0, 483.6, 488.0, 492.5, 496.8, 501.4, 506.1, 510.9, 515.9, 520.6, 525.4, 529.8, 534.2, 538.5, 543.2, 547.6, 552.2, 557.0, 561.5, 565.9, 570.3, 575.1, 579.3, 583.6, 588.1, 592.5, 597.2, 601.9, 606.6, 611.5, 616.2, 620.9, 625.4, 630.0, 634.7, 639.0, 643.8, 648.3, 653.0, 657.8, 662.4, 667.0, 671.6, 676.3, 680.6, 685.0, 689.2, 693.4, 697.3, 701.5, 705.5, 709.7, 713.6, 717.6, 721.7, 725.3, 729.6, 733.1, 736.7, 740.5]",,,
deployment0001,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",79,,,no global ranges,,not calculated,stats not calculated,"[399.1, 403.0, 406.8, 410.3, 413.7, 417.6, 422.2, 426.7, 430.8, 434.7, 438.7, 443.3, 447.9, 452.9, 457.3, 461.5, 465.7, 470.8, 475.5, 480.4, 485.2, 489.7, 494.2, 498.6, 503.1, 508.1, 513.0, 518.2, 522.7, 527.5, 532.0, 536.5, 540.9, 545.6, 550.4, 554.8, 559.6, 564.4, 568.8, 573.0, 577.5, 581.7, 586.3, 590.7, 595.5, 600.1, 604.8, 610.0, 614.7, 619.4, 624.0, 628.5, 633.2, 637.7, 642.6, 647.3, 652.1, 656.8, 661.8, 666.5, 671.1, 675.4, 679.9, 684.5, 688.9, 693.1, 697.3, 701.5, 705.4, 709.5, 713.6, 717.4, 721.7, 725.6, 729.6, 733.1, 736.9, 740.4, 744.3]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[688623, 53023971]",0.0,0.0,248,73451.0,52950272,99.86,0.459,0.1481,2.2508,0.2203
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[688623, 53023971]",688993.0,0.0,11849195,126162.0,40359621,76.12,0.6093,0.0,3.9954,0.5546
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_a,nm,-9999999.0,"[None, None]",77,,,no global ranges,,not calculated,stats not calculated,"[398.5, 401.9, 405.5, 408.9, 412.1, 415.7, 419.4, 423.7, 427.8, 431.5, 435.5, 439.6, 444.0, 448.8, 453.0, 457.3, 461.7, 466.1, 470.6, 475.7, 480.3, 485.2, 489.5, 494.1, 498.8, 503.3, 508.7, 513.3, 518.2, 522.9, 527.9, 532.3, 536.8, 541.3, 545.9, 550.9, 555.5, 560.3, 565.0, 569.8, 573.9, 578.3, 581.4, 585.2, 590.0, 594.7, 599.4, 604.3, 609.2, 613.7, 618.7, 623.0, 627.9, 632.4, 637.0, 641.3, 646.0, 650.7, 655.4, 660.1, 664.7, 669.0, 673.6, 677.8, 682.4, 686.3, 690.8, 694.5, 698.9, 702.8, 706.8, 710.8, 715.2, 719.2, 723.5, 727.5, 731.3]",,,
deployment0002,recovered_host,optaa_dj_dcl_instrument_recovered,wavelength_c,nm,-9999999.0,"[None, None]",77,,,no global ranges,,not calculated,stats not calculated,"[400.0, 403.5, 406.9, 410.5, 413.7, 417.4, 421.4, 425.3, 429.5, 433.3, 437.1, 441.4, 445.8, 450.6, 454.8, 459.2, 463.4, 467.8, 472.9, 477.6, 482.5, 486.9, 491.6, 496.0, 500.5, 505.5, 510.2, 515.4, 520.4, 524.8, 529.4, 534.2, 538.7, 543.3, 548.0, 552.4, 557.5, 562.1, 566.9, 571.3, 575.6, 579.8, 584.4, 589.0, 593.7, 598.2, 603.0, 608.0, 612.7, 617.7, 622.0, 626.7, 631.2, 635.8, 640.3, 644.8, 649.6, 654.2, 659.0, 663.4, 667.8, 672.4, 677.0, 681.2, 685.5, 689.5, 693.7, 697.9, 701.8, 706.2, 710.2, 714.4, 718.2, 722.2, 726.5, 730.5, 734.5]",,,
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"beam_attenuation (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[927541, 76985903]",927541.0,0.0,485,86870.0,75971007,98.68,0.6961,0.0825,2.7989,0.2834
deployment0003,recovered_host,optaa_dj_dcl_instrument_recovered,"optical_absorption (dims: ['time', 'wavelength'])",m-1,-9999999.0,"[0.0, 100.0]","[927541, 76985903]",928307.0,0.0,7608011,128741.0,68320844,88.74,0.0544,0.0,1.3218,0.0736
