deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2247800.0,56184.0,no missing data,106676.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2247800.0,0.0,no missing data,106676.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2247800.0,0.0,no missing data,106676.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2247800.0,56184.0,no missing data,106676.0,0.0,0.0,0.0,0.0
deployment0001,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,2247800.0,2247800.0,No valid data to compare,0.0,,,,
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,2460856.0,96685.0,no missing data,2364921.0,0.0,1.2e-09,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,2460856.0,0.0,no missing data,2461616.0,0.0,2.2506,8.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,2460856.0,0.0,no missing data,2461616.0,0.0,9.6942,34.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,2460856.0,96685.0,no missing data,2364921.0,0.0,0.0092970814,0.0,0.0
deployment0002,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,2460856.0,2460856.0,No valid data to compare,0.0,,,,
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,3305471.0,0.0,"{'missing_data_gaps': [['2017-08-12T21:00:15', '2017-08-14T03:48:01']], 'n_missing': [17484], 'n_missing_total': 17484, 'n_missing_days_total': 3}",3306181.0,0.0,1.7911e-06,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,3305471.0,0.0,"{'missing_data_gaps': [['2017-08-12T21:00:15', '2017-08-14T03:48:01']], 'n_missing': [17484], 'n_missing_total': 17484, 'n_missing_days_total': 3}",3306181.0,0.0,0.9164,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,CDOM Concentration,fluorometric_cdom,ppb,pass,3305471.0,0.0,"{'missing_data_gaps': [['2017-08-12T21:00:15', '2017-08-14T03:48:01']], 'n_missing': [17484], 'n_missing_total': 17484, 'n_missing_days_total': 3}",3306181.0,0.0,1.0276,4.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Optical Backscatter,optical_backscatter,m-1,pass,3305471.0,0.0,"{'missing_data_gaps': [['2017-08-12T21:00:15', '2017-08-14T03:48:01']], 'n_missing': [17484], 'n_missing_total': 17484, 'n_missing_days_total': 3}",3306181.0,0.0,0.0104665486,0.0,0.0
deployment0003,recovered_host-flort_sample,telemetered-flort_sample,Seawater Pressure,pressure_depth,dbar,pass,3305471.0,3305471.0,No valid data to compare,0.0,,,,
deployment0004,telemetered-flort_sample,no other methods available for comparison,,,,,,,,,,,,
