deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,relative_humidity,%,-9999999.0,"[0.0, 100.0]",191165,0,0,6728,0.0,184437,96.48,77.0015,30.966,99.995,13.8705
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",191165,0,0,0,0.0,191165,100.0,3.431,-5.433,10.187,2.963
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",191165,0,0,3,0.0,191162,100.0,287.5869,200.5,359.4,38.5481
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,precipitation,mm,-9999999.0,"[0.0, 50.0]",191165,0,0,10750,0.0,180415,94.38,25.8776,1.14,50.0,17.2226
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_temperature,ºC,-9999999.0,"[-2.0, 40.0]",191165,0,0,0,0.0,191165,100.0,5.7084,3.759,9.538,1.4209
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,sea_surface_conductivity,S m-1,-9999999.0,"[0.0, 6.0]",191165,0,0,0,1.0,191164,100.0,3.4008,3.0099,3.7413,0.126
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,shortwave_irradiance,W m-2,-9999999.0,"[0.0, 1000.0]",191165,0,0,548,1717.0,188900,98.82,33.7021,0.0,469.2,73.4827
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_barpres,Pa,-9999999.0,"[87000.0, 108330.0]",191165,0,0,0,0.0,191165,100.0,99724.4137,94151.0,102549.0,1421.6838
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_east,m s-1,-9999999.0,"[None, None]",191165,0,0,no global ranges,0.0,191165,100.0,3.8168,-19.3818,24.1565,6.6167
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_windavg_mag_corr_north,m s-1,-9999999.0,"[None, None]",191165,0,0,no global ranges,0.0,191165,100.0,0.3739,-22.3739,17.6792,6.0307
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_netsirr,W m-2,-9999999.0,"[0.0, 500.0]",191165,0,0,1061,1775.0,188329,98.52,30.633,0.0,421.848,65.938
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_salsurf,1,-9999999.0,"[0.0, 42.0]",191165,0,0,0,12.0,191153,99.99,34.8868,34.6289,34.9921,0.05
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_spechum,g kg-1,-9999999.0,"[0.0, 47.0]",191165,0,0,0,0.0,191165,100.0,3.9476,1.1911,7.5887,1.2373
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_heatflx_minute,W m-2,-9999999.0,"[None, None]",191165,1197,0,no global ranges,2.0,189966,99.37,129.1299,-605.3625,4430.0697,156.1919
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_latnflx_minute,W m-2,-9999999.0,"[None, None]",191165,1197,0,no global ranges,20.0,189948,99.36,66.4704,-34.1214,348.9519,56.4293
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_netlirr_minute,W m-2,-9999999.0,"[None, None]",191165,1197,0,no global ranges,0.0,189968,99.37,52.9747,-6.3898,132.4993,35.3768
deployment0001,recovered_host,metbk_a_dcl_instrument_recovered,met_sensflx_minute,W m-2,-9999999.0,"[None, None]",191165,1197,0,no global ranges,667.0,189301,99.02,35.634,-27.8888,261.9042,42.2978
deployment0001,recovered_host,metbk_hourly,met_rainrte,mm hr-1,-9999999.0,"[0.0, 50.0]",3801,0,0,2,14.0,3785,99.58,0.0544,0.0,1.6655,0.1753
deployment0001,recovered_host,metbk_hourly,met_frshflx,mm hr-1,-9999999.0,"[None, None]",3801,244,0,no global ranges,3.0,3554,93.5,0.0378,-3.6039,0.4006,0.2496
deployment0001,recovered_host,metbk_hourly,met_heatflx,W m-2,-9999999.0,"[None, None]",3801,244,0,no global ranges,0.0,3557,93.58,131.2704,-432.1916,765.7799,146.3059
deployment0001,recovered_host,metbk_hourly,met_latnflx,W m-2,-9999999.0,"[None, None]",3801,244,0,no global ranges,0.0,3557,93.58,70.662,-24.9736,309.3434,57.5078
deployment0001,recovered_host,metbk_hourly,met_mommflx,N m-2,-9999999.0,"[None, None]",3801,244,0,no global ranges,4.0,3553,93.48,0.2324,0.0002,1.3567,0.225
deployment0001,recovered_host,metbk_hourly,met_netlirr,W m-2,-9999999.0,"[200.0, 500.0]",3801,244,0,3557,,0,0.0,,,,
deployment0001,recovered_host,metbk_hourly,met_rainflx,W m-2,-9999999.0,"[None, None]",3801,244,0,no global ranges,2.0,3555,93.53,0.2016,-1.2986,26.3666,0.8806
deployment0001,recovered_host,metbk_hourly,met_sensflx,W m-2,-9999999.0,"[None, None]",3801,244,0,no global ranges,13.0,3544,93.24,39.9441,-20.4425,276.1644,44.8523
deployment0001,recovered_host,metbk_hourly,met_sphum2m,g kg-1,-9999999.0,"[0.0, 47.0]",3801,244,0,0,0.0,3557,93.58,3.9243,1.5008,7.5334,1.1866
deployment0001,recovered_host,metbk_hourly,met_tempa2m,ºC,-9999999.0,"[-50.0, 50.0]",3801,244,0,0,0.0,3557,93.58,3.2089,-4.6317,10.0725,2.8957
deployment0001,recovered_host,metbk_hourly,met_tempskn,ºC,-9999999.0,"[-2.0, 40.0]",3801,244,0,0,0.0,3557,93.58,5.3912,3.4892,9.503,1.3891
deployment0001,recovered_host,metbk_hourly,met_wind10m,m s-1,-9999999.0,"[-33.0, 33.0]",3801,244,0,0,0.0,3557,93.58,9.7673,0.3936,21.3497,3.9968
deployment0001,recovered_host,metbk_hourly,met_netsirr_hourly,W m-2,-9999999.0,"[None, None]",3801,0,0,no global ranges,40.0,3761,98.95,28.1775,-0.5198,397.5363,60.248
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,relative_humidity,%,-9999999.0,"[0.0, 100.0]",294824,0,0,0,0.0,294824,100.0,66.4055,0.0,99.939,32.4499
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,air_temperature,ºC,-9999999.0,"[-50.0, 50.0]",294824,0,0,0,0.0,294824,100.0,0.2173,-20.0,9.582,9.6866
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,longwave_irradiance,W m-2,-9999999.0,"[200.0, 500.0]",294824,0,0,288,0.0,294536,99.9,308.5447,200.0,366.3,37.2998
deployment0002,recovered_host,metbk_a_dcl_instrument_recovered,precipitation,mm,-9999999.0,"[0.0, 50.0]",294824,0,0,1581,0.0,293243,99.46,20.9612,0.0,50.0,16.3901
