status,request_url,outputUrl
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-ADCPSN010/recovered_inst/adcp_velocity_earth?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031431-GI01SUMO-RII11-02-ADCPSN010-recovered_inst-adcp_velocity_earth/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-ADCPSN010/recovered_host/adcps_jln_stc_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031609-GI01SUMO-RII11-02-ADCPSN010-recovered_host-adcps_jln_stc_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-ADCPSN010/telemetered/adcps_jln_stc_instrument?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031623-GI01SUMO-RII11-02-ADCPSN010-telemetered-adcps_jln_stc_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RID16/03-CTDBPF000/recovered_host/ctdbp_cdef_dcl_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031638-GI01SUMO-RID16-03-CTDBPF000-recovered_host-ctdbp_cdef_dcl_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RID16/03-CTDBPF000/recovered_inst/ctdbp_cdef_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031653-GI01SUMO-RID16-03-CTDBPF000-recovered_inst-ctdbp_cdef_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RID16/03-CTDBPF000/telemetered/ctdbp_cdef_dcl_instrument?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031822-GI01SUMO-RID16-03-CTDBPF000-telemetered-ctdbp_cdef_dcl_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP031/recovered_inst/ctdbp_cdef_instrument_recovered?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031838-GI01SUMO-RII11-02-CTDBPP031-recovered_inst-ctdbp_cdef_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP031/recovered_host/ctdbp_p_dcl_instrument_recovered?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031851-GI01SUMO-RII11-02-CTDBPP031-recovered_host-ctdbp_p_dcl_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP031/telemetered/ctdbp_p_dcl_instrument?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T031905-GI01SUMO-RII11-02-CTDBPP031-telemetered-ctdbp_p_dcl_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP032/recovered_inst/ctdbp_cdef_instrument_recovered?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032034-GI01SUMO-RII11-02-CTDBPP032-recovered_inst-ctdbp_cdef_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP032/recovered_host/ctdbp_p_dcl_instrument_recovered?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032050-GI01SUMO-RII11-02-CTDBPP032-recovered_host-ctdbp_p_dcl_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP032/telemetered/ctdbp_p_dcl_instrument?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032105-GI01SUMO-RII11-02-CTDBPP032-telemetered-ctdbp_p_dcl_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP033/recovered_inst/ctdbp_cdef_instrument_recovered?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032118-GI01SUMO-RII11-02-CTDBPP033-recovered_inst-ctdbp_cdef_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP033/recovered_host/ctdbp_p_dcl_instrument_recovered?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032133-GI01SUMO-RII11-02-CTDBPP033-recovered_host-ctdbp_p_dcl_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDBPP033/telemetered/ctdbp_p_dcl_instrument?beginDT=2015-08-15T19:22:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032300-GI01SUMO-RII11-02-CTDBPP033-telemetered-ctdbp_p_dcl_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDMOQ011/recovered_host/ctdmo_ghqr_imodem_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032314-GI01SUMO-RII11-02-CTDMOQ011-recovered_host-ctdmo_ghqr_imodem_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDMOQ011/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032327-GI01SUMO-RII11-02-CTDMOQ011-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDMOQ011/telemetered/ctdmo_ghqr_imodem_instrument?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032341-GI01SUMO-RII11-02-CTDMOQ011-telemetered-ctdmo_ghqr_imodem_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDMOQ012/recovered_host/ctdmo_ghqr_imodem_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032355-GI01SUMO-RII11-02-CTDMOQ012-recovered_host-ctdmo_ghqr_imodem_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDMOQ012/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032410-GI01SUMO-RII11-02-CTDMOQ012-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI01SUMO/RII11/02-CTDMOQ012/telemetered/ctdmo_ghqr_imodem_instrument?beginDT=2014-09-10T18:50:00.000Z&endDT=2018-06-14T08:02:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T032424-GI01SUMO-RII11-02-CTDMOQ012-telemetered-ctdmo_ghqr_imodem_instrument/catalog.html
