deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,4097809.0,0.0,no missing data,208.0,0.0,0.0335897898,0.0,0.0
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,4097809.0,0.0,no missing data,208.0,0.0,0.0265609488,0.0,0.0
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,4097809.0,0.0,no missing data,208.0,0.0,0.0677674636,0.0,0.0
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,4097809.0,0.0,no missing data,208.0,0.0,0.0545380116,0.0,0.0
deployment0002,recovered_wfp-vel3d_l_wfp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,4293884.0,0.0,no missing data,661.0,0.0,0.0767918338,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,4293884.0,0.0,no missing data,661.0,0.0,0.0330733431,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,4293884.0,0.0,no missing data,661.0,0.0,0.063687861,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,4293884.0,0.0,no missing data,661.0,0.0,0.1136847883,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,2922261.0,0.0,no missing data,385.0,0.0,0.0870999179,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,2922261.0,0.0,no missing data,385.0,0.0,0.0529145299,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,2922261.0,0.0,no missing data,385.0,0.0,0.1128624082,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,2922261.0,0.0,no missing data,385.0,0.0,0.0885700434,0.0,0.0
