deployment,preferred_method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,65204,2,0,0,65202,100.0,1038.4911,1038.4534,1038.5664,0.0113
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,65204,1,0,0,65203,100.0,34.9259,34.8868,34.9571,0.0079
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,65204,2,0,0,65202,100.0,2325.7163,2323.45,2340.9149,1.2514
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,65204,2,0,0,65202,100.0,2.7471,2.317,2.9381,0.0913
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,65204,0,0,0,65204,100.0,3.2373,3.1981,3.2661,0.0086
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,63937,2,0,0,63935,100.0,1038.453,1038.3504,1038.5432,0.0128
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,63937,66,0,0,63871,99.9,34.9278,34.8918,34.9548,0.0063
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,63937,2,0,0,63935,100.0,2318.0588,2315.03,2335.5926,1.6893
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,63937,14,0,0,63923,99.98,2.7827,2.3613,3.0385,0.084
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,63937,7,0,0,63930,99.99,3.2402,3.2013,3.2576,0.0078
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,75997,2,0,0,75995,100.0,1038.4871,1038.4371,1038.6052,0.0149
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,75997,45,0,0,75952,99.94,34.9252,34.8912,34.9515,0.0067
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,75997,2,0,0,75995,100.0,2326.4157,2324.1713,2349.6992,2.1554
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,75997,13,0,0,75984,99.98,2.7916,2.3464,3.0013,0.0889
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,75997,1,0,0,75996,100.0,3.2411,3.2,3.2601,0.0082
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,59648,103,0,0,59545,99.83,1038.493,1038.4482,1038.5495,0.0109
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,59648,3,0,0,59645,99.99,34.9264,34.8873,34.9614,0.0079
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,59648,383,0,0,59265,99.36,2328.2047,2326.4816,2333.75,0.9194
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,59648,0,0,0,59648,100.0,2.8127,2.4606,3.0691,0.0887
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,59648,0,0,0,59648,100.0,3.2432,3.2107,3.2667,0.0083
