deployment,preferred_method,stream,variable,units,fill_value,n_all,n_outliers,n_nans,n_fillvalues,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,32602,4,0,0,32598,99.99,1027.6977,1026.79,1028.0698,0.1842
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,32602,4,0,0,32598,99.99,34.9037,34.3343,35.3179,0.0375
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,32602,230,0,0,32372,99.29,27.5736,10.421,45.7898,2.8558
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,32602,1,0,0,32601,100.0,5.1875,3.505,9.9433,1.2959
deployment0001,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,32602,4,0,0,32598,99.99,3.3561,3.2038,3.7303,0.1159
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,31968,0,0,0,31968,100.0,1027.8399,1027.126,1028.2838,0.1558
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,31968,70,0,0,31898,99.78,34.9339,34.7087,35.1576,0.0427
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,31968,320,0,0,31648,99.0,48.5312,42.9616,68.9243,2.9909
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,31968,0,0,0,31968,100.0,5.0181,3.4332,8.6824,1.2338
deployment0002,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,31968,0,0,0,31968,100.0,3.3444,3.1984,3.6844,0.1126
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,37999,5,0,0,37994,99.99,1027.7704,1026.622,1028.4311,0.1714
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,37999,5,0,0,37994,99.99,34.906,34.1719,35.7154,0.0612
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,37999,288,0,0,37711,99.24,44.1038,38.0322,70.6838,4.0255
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,37999,4,0,0,37995,99.99,5.2581,3.523,9.743,1.1334
deployment0003,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,37999,5,0,0,37994,99.99,3.3633,3.2055,3.7635,0.101
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,density,kg m-3,-9999999.0,29824,7,0,0,29817,99.98,1027.8068,1027.0453,1028.0807,0.1542
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,practical_salinity,1,-9999999.0,29824,116,0,0,29708,99.61,34.8808,34.6795,35.0828,0.0354
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_pressure,dbar,-9999.0,29824,255,0,0,29569,99.14,48.8071,44.4495,61.537,1.8665
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_temperature,ºC,-9999999.0,29824,0,0,0,29824,100.0,4.9604,3.5088,8.9235,1.1155
deployment0004,recovered_inst,ctdmo_ghqr_instrument_recovered,ctdmo_seawater_conductivity,S m-1,-9999999.0,29824,0,0,0,29824,100.0,3.3344,3.2041,3.6923,0.0999
