deployment,preferred_method,stream,variable,units,fill_value,global_ranges,n_all,n_nans,n_fillvalues,n_grange,n_outliers,n_stats,percent_valid_data,mean,min,max,stdev
deployment0001,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",32584,0,0,no global ranges,0.0,32584,100.0,0.0006,0.0006,0.0007,0.0
deployment0001,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",32584,0,0,149,306.0,32129,98.6,0.9574,0.0,12.7179,1.6723
deployment0001,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",32584,0,0,46,64.0,32474,99.66,1.6541,0.0,3.4314,0.2194
deployment0001,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",32584,0,0,4,52.0,32528,99.83,0.0002,0.0,0.001,0.0001
deployment0001,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",32584,0,0,4,52.0,32528,99.83,0.0015,0.0003,0.0064,0.0009
deployment0001,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",32584,0,32584,,,0,0.0,,,,
deployment0002,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",16503,0,0,no global ranges,0.0,16503,100.0,0.0006,0.0006,0.0007,0.0
deployment0002,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",16503,0,0,0,2.0,16501,99.99,0.7439,0.0726,3.0855,0.5436
deployment0002,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",16503,0,0,0,4.0,16499,99.98,1.6718,1.0896,2.724,0.155
deployment0002,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",16503,0,0,0,95.0,16408,99.42,0.0002,0.0001,0.001,0.0001
deployment0002,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",16503,0,0,0,95.0,16408,99.42,0.0011,0.0006,0.0067,0.0005
deployment0002,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",16503,0,16503,,,0,0.0,,,,
deployment0003,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",4665,0,0,no global ranges,0.0,4665,100.0,0.0006,0.0006,0.0007,0.0
deployment0003,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",4665,0,0,1,1.0,4663,99.96,1.238,0.011,4.279,0.6546
deployment0003,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",4665,0,0,1,0.0,4664,99.98,0.9185,0.4782,1.3549,0.126
deployment0003,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",4665,0,0,1,13.0,4651,99.7,0.0005,0.0001,0.0015,0.0002
deployment0003,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",4665,0,0,1,12.0,4652,99.72,0.0032,0.0009,0.0105,0.0014
deployment0003,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",4665,0,4665,,,0,0.0,,,,
deployment0004,recovered_host,flort_sample,seawater_scattering_coefficient,m-1,-9999999.0,"[None, None]",10121,0,0,no global ranges,0.0,10121,100.0,0.0006,0.0006,0.0007,0.0
deployment0004,recovered_host,flort_sample,fluorometric_chlorophyll_a,µg L-1,-9999999.0,"[0.0, 50.0]",10121,0,0,0,0.0,10121,100.0,1.6591,0.059,6.372,1.5116
deployment0004,recovered_host,flort_sample,fluorometric_cdom,ppb,-9999999.0,"[0.0, 375.0]",10121,0,0,0,53.0,10068,99.48,1.3135,0.6208,2.0952,0.1421
deployment0004,recovered_host,flort_sample,total_volume_scattering_coefficient,m-1 sr-1,-9999999.0,"[0.0, 0.0079]",10121,0,0,0,52.0,10069,99.49,0.0002,0.0001,0.0012,0.0001
deployment0004,recovered_host,flort_sample,optical_backscatter,m-1,-9999999.0,"[0.0003, 1.0]",10121,0,0,0,52.0,10069,99.49,0.0014,0.0006,0.0081,0.0007
deployment0004,recovered_host,flort_sample,pressure_depth,dbar,-9999999.0,"[None, None]",10121,0,10121,,,0,0.0,,,,
