status,request_url,outputUrl
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-ADCPSL007/recovered_inst/adcp_velocity_earth?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T024903-GI03FLMB-RIM01-02-ADCPSL007-recovered_inst-adcp_velocity_earth/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-ADCPSL007/recovered_host/adcps_jln_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025036-GI03FLMB-RIM01-02-ADCPSL007-recovered_host-adcps_jln_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-ADCPSL007/telemetered/adcps_jln_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025207-GI03FLMB-RIM01-02-ADCPSL007-telemetered-adcps_jln_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RI000/00-CTDMOH000/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025222-GI03FLMB-RI000-00-CTDMOH000-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RI000/00-CTDMOH100/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025234-GI03FLMB-RI000-00-CTDMOH100-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RI000/00-CTDMOH400/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025249-GI03FLMB-RI000-00-CTDMOH400-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RI000/00-CTDMOH700/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025304-GI03FLMB-RI000-00-CTDMOH700-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG060/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025322-GI03FLMB-RIM01-02-CTDMOG060-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG060/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025337-GI03FLMB-RIM01-02-CTDMOG060-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG060/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025349-GI03FLMB-RIM01-02-CTDMOG060-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG061/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025403-GI03FLMB-RIM01-02-CTDMOG061-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG061/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025416-GI03FLMB-RIM01-02-CTDMOG061-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG061/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025428-GI03FLMB-RIM01-02-CTDMOG061-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG062/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025442-GI03FLMB-RIM01-02-CTDMOG062-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG062/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025457-GI03FLMB-RIM01-02-CTDMOG062-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG062/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025509-GI03FLMB-RIM01-02-CTDMOG062-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG063/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025521-GI03FLMB-RIM01-02-CTDMOG063-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG063/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025534-GI03FLMB-RIM01-02-CTDMOG063-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GI03FLMB/RIM01/02-CTDMOG063/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2014-09-16T13:24:00.000Z&endDT=2018-06-11T19:36:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181127T025547-GI03FLMB-RIM01-02-CTDMOG063-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
