deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,281320.0,0.0,no missing data,5544.0,0.0,1.3407e-06,0.0,0.0
deployment0001,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,281320.0,0.0,no missing data,5544.0,0.0,0.0,0.0,0.0
deployment0001,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Optical Backscatter,optical_backscatter,m-1,pass,281320.0,0.0,no missing data,5544.0,0.0,1.96e-07,0.0,0.0
deployment0002,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,339846.0,314215.0,no missing data,651.0,0.0,4.03e-08,0.0,0.0
deployment0002,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,339846.0,0.0,no missing data,3451.0,0.0,0.0,0.0,0.0
deployment0002,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Optical Backscatter,optical_backscatter,m-1,pass,339846.0,314215.0,no missing data,651.0,0.0,5.9e-09,0.0,0.0
deployment0003,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,344321.0,0.0,no missing data,4291.0,0.0,1.4704e-06,0.0,0.0
deployment0003,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,344321.0,0.0,no missing data,4291.0,0.0,0.0,0.0,0.0
deployment0003,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Optical Backscatter,optical_backscatter,m-1,pass,344321.0,0.0,no missing data,4291.0,0.0,2.15e-07,0.0,0.0
deployment0004,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Total Scattering Coefficient of Pure Seawater,seawater_scattering_coefficient,m-1,pass,330058.0,0.0,no missing data,402.0,0.0,1.5111e-06,0.0,0.0
deployment0004,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Chlorophyll-a Concentration,fluorometric_chlorophyll_a,µg L-1,pass,330058.0,0.0,no missing data,402.0,0.0,0.0,0.0,0.0
deployment0004,recovered_wfp-flord_l_wfp_instrument_recovered,telemetered-flord_l_wfp_instrument,Optical Backscatter,optical_backscatter,m-1,pass,330058.0,0.0,no missing data,402.0,0.0,2.209e-07,0.0,0.0
deployment0005,recovered_wfp-flord_l_wfp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
