deployment,preferred_method_stream,comparison_method_stream,long_name,preferred_name,preferred_units,unit_comparison_test,preferred_n,preferred_n_nan,missing_data,n_comparison,min_abs_diff,max_abs_diff,n_diff_greater_zero,percent_diff_greater_zero
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,2903274.0,0.0,no missing data,7731.0,0.0,0.055642671,0.0,0.0
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,2903274.0,0.0,no missing data,7731.0,0.0,0.0561980853,0.0,0.0
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,2903274.0,0.0,no missing data,7731.0,0.0,0.0699338913,0.0,0.0
deployment0001,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,2903274.0,0.0,no missing data,7731.0,0.0,0.0555730686,0.0,0.0
deployment0002,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,3461651.0,0.0,no missing data,3582.0,0.0,0.1200411361,0.0,0.0
deployment0002,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,3461651.0,0.0,no missing data,3582.0,0.0,0.0651129048,0.0,0.0
deployment0002,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,3461651.0,0.0,no missing data,3582.0,0.0,0.1049303636,0.0,0.0
deployment0002,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,3461651.0,0.0,no missing data,3582.0,0.0,0.0773265958,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,3551836.0,0.0,no missing data,3689.0,0.0,0.0450245153,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,3551836.0,0.0,no missing data,3689.0,0.0,0.04459242,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,3551836.0,0.0,no missing data,3689.0,0.0,0.0815587044,0.0,0.0
deployment0003,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,3551836.0,0.0,no missing data,3689.0,0.0,0.0732598603,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Eastward Mean Point Seawater Velocity,vel3d_l_eastward_velocity,m s-1,pass,3405079.0,0.0,no missing data,313.0,0.0,0.0336015539,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Northward Mean Point Seawater Velocity,vel3d_l_northward_velocity,m s-1,pass,3405079.0,0.0,no missing data,313.0,0.0,0.0368370517,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Ascending,vel3d_l_upward_velocity_ascending,m s-1,pass,3405079.0,0.0,no missing data,313.0,0.0,0.049936682,0.0,0.0
deployment0004,recovered_wfp-vel3d_l_wfp_instrument_recovered,telemetered-vel3d_l_wfp_instrument,Upward Mean Point Seawater Velocity - Descending,vel3d_l_upward_velocity_descending,m s-1,pass,3405079.0,0.0,no missing data,313.0,0.0,0.0397976786,0.0,0.0
deployment0005,recovered_wfp-vel3d_l_wfp_instrument_recovered,no other methods available for comparison,,,,,,,,,,,,
