status,request_url,outputUrl
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/RIM01/02-CTDMOG039/recovered_inst/ctdmo_ghqr_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164304-GP02HYPM-RIM01-02-CTDMOG039-recovered_inst-ctdmo_ghqr_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/RIM01/02-CTDMOG039/recovered_host/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164319-GP02HYPM-RIM01-02-CTDMOG039-recovered_host-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/RIM01/02-CTDMOG039/telemetered/ctdmo_ghqr_sio_mule_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164331-GP02HYPM-RIM01-02-CTDMOG039-telemetered-ctdmo_ghqr_sio_mule_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/04-CTDPFL000/recovered_wfp/ctdpf_ckl_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164344-GP02HYPM-WFP02-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/04-CTDPFL000/telemetered/ctdpf_ckl_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164355-GP02HYPM-WFP02-04-CTDPFL000-telemetered-ctdpf_ckl_wfp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP03/04-CTDPFL000/recovered_wfp/ctdpf_ckl_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164407-GP02HYPM-WFP03-04-CTDPFL000-recovered_wfp-ctdpf_ckl_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP03/04-CTDPFL000/telemetered/ctdpf_ckl_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164421-GP02HYPM-WFP03-04-CTDPFL000-telemetered-ctdpf_ckl_wfp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/03-DOSTAL000/recovered_wfp/dosta_ln_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164435-GP02HYPM-WFP02-03-DOSTAL000-recovered_wfp-dosta_ln_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/03-DOSTAL000/telemetered/dosta_ln_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164452-GP02HYPM-WFP02-03-DOSTAL000-telemetered-dosta_ln_wfp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP03/03-DOSTAL000/recovered_wfp/dosta_ln_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164505-GP02HYPM-WFP03-03-DOSTAL000-recovered_wfp-dosta_ln_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP03/03-DOSTAL000/telemetered/dosta_ln_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164522-GP02HYPM-WFP03-03-DOSTAL000-telemetered-dosta_ln_wfp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/01-FLORDL000/recovered_wfp/flord_l_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164536-GP02HYPM-WFP02-01-FLORDL000-recovered_wfp-flord_l_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/01-FLORDL000/telemetered/flord_l_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164550-GP02HYPM-WFP02-01-FLORDL000-telemetered-flord_l_wfp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP03/01-FLORDL000/recovered_wfp/flord_l_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164606-GP02HYPM-WFP03-01-FLORDL000-recovered_wfp-flord_l_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP03/01-FLORDL000/telemetered/flord_l_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164619-GP02HYPM-WFP03-01-FLORDL000-telemetered-flord_l_wfp_instrument/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/05-VEL3DL000/recovered_wfp/vel3d_l_wfp_instrument_recovered?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164636-GP02HYPM-WFP02-05-VEL3DL000-recovered_wfp-vel3d_l_wfp_instrument_recovered/catalog.html
Data available for request,https://ooinet.oceanobservatories.org/api/m2m/12576/sensor/inv/GP02HYPM/WFP02/05-VEL3DL000/telemetered/vel3d_l_wfp_instrument?beginDT=2013-07-26T08:11:00.000Z&endDT=2018-07-26T22:15:00.000Z&include_annotations=true&include_provenance=true,https://opendap.oceanobservatories.org/thredds/catalog/ooi/lgarzio@marine.rutgers.edu/20181212T164651-GP02HYPM-WFP02-05-VEL3DL000-telemetered-vel3d_l_wfp_instrument/catalog.html
