deployment,file_downloaded,method,stream,deploy_start,data_start,time_delta_start,deploy_stop,data_stop,time_delta_stop,n_timestamps,deploy_depth,pressure_mean,pressure_diff,pressure_var,pressure_units,num_pressure_outliers,missing_vars_file,missing_vars_db,time_gaps,ascending_timestamp_test,unique_timestamp_test,filename
deployment0001,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,2013-07-21T22:44:00,2013-07-21T22:45:01,0 days 00:01:01,2014-06-15T00:00:00,2014-06-14T23:45:01,0 days 00:14:59,31493,28.0,15.2629,-12.7371,ctdmo_seawater_pressure,dbar,36,[],[],[],pass,pass,deployment0001_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20130721T224501-20140614T234501.nc
deployment0001,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,2013-07-21T22:44:00,2013-07-21T22:45:01,0 days 00:01:01,2014-06-15T00:00:00,2014-06-14T22:00:01,0 days 01:59:59,31296,28.0,15.2551,-12.7449,ctdmo_seawater_pressure,dbar,35,[],[],[],pass,pass,deployment0001_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20130721T224501-20140614T220001.nc
deployment0002,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,2014-06-17T06:00:00,2014-06-18T00:00:01,0 days 18:00:01,2015-06-05T00:00:00,2014-11-21T16:00:01,195 days 07:59:59,914,28.0,11.6898,-16.3102,ctdmo_seawater_pressure,dbar,5,[],[],[],pass,pass,deployment0002_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20140618T000001-20141121T160001.nc
deployment0003,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,2015-06-06T22:40:00,2015-06-07T00:00:01,0 days 01:20:01,2016-06-28T19:10:00,2016-03-14T16:00:01,106 days 03:09:59,2766,48.0,32.78,-15.22,ctdmo_seawater_pressure,dbar,22,[],[],"[[u'2015-06-20T08:00:01', u'2015-06-21T12:00:01'], [u'2016-02-29T14:00:01', u'2016-03-01T16:00:01']]",pass,pass,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20150607T000001-20160314T160001.nc
deployment0003,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,2015-06-06T22:40:00,2015-06-06T22:45:01,0 days 00:05:01,2016-06-28T19:10:00,2016-06-28T19:00:01,0 days 00:09:59,37234,48.0,32.5404,-15.4596,ctdmo_seawater_pressure,dbar,62,[],[],[],pass,pass,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20150606T224501-20160628T190001.nc
deployment0003,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,2015-06-06T22:40:00,2015-06-06T22:45:01,0 days 00:05:01,2016-06-28T19:10:00,2016-06-27T22:00:01,0 days 21:09:59,37143,48.0,32.5293,-15.4707,ctdmo_seawater_pressure,dbar,69,[],[],[],pass,pass,deployment0003_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20150606T224501-20160627T220001.nc
deployment0004,2018-10-01T15:07:16,telemetered,ctdmo_ghqr_sio_mule_instrument,2016-07-01T01:07:00,2016-07-01T04:00:01,0 days 02:53:01,2017-07-18T15:13:00,2016-07-10T12:00:01,373 days 03:12:59,20,,43.6016,no_deploy_depth,ctdmo_seawater_pressure,dbar,0,[],[],"[[u'2016-07-02T16:00:01', u'2016-07-04T20:00:01'], [u'2016-07-04T20:00:01', u'2016-07-06T08:00:01'], [u'2016-07-07T12:00:01', u'2016-07-08T20:00:01']]",pass,pass,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-telemetered-ctdmo_ghqr_sio_mule_instrument_20160701T040001-20160710T120001.nc
deployment0004,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,2016-07-01T01:07:00,2016-07-01T01:15:01,0 days 00:08:01,2017-07-18T15:13:00,2017-07-18T15:00:01,0 days 00:12:59,36728,,41.8814,no_deploy_depth,ctdmo_seawater_pressure,dbar,220,[],[],[],pass,pass,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20160701T011501-20170718T150001.nc
deployment0004,2018-10-01T15:06:58,recovered_host,ctdmo_ghqr_sio_mule_instrument,2016-07-01T01:07:00,2016-07-01T01:15:01,0 days 00:08:01,2017-07-18T15:13:00,2017-07-17T20:00:01,0 days 19:12:59,36652,,41.8693,no_deploy_depth,ctdmo_seawater_pressure,dbar,220,[],[],[],pass,pass,deployment0004_GP03FLMA-RIM01-02-CTDMOG040-recovered_host-ctdmo_ghqr_sio_mule_instrument_20160701T011501-20170717T200001.nc
deployment0005,2018-10-01T15:07:07,recovered_inst,ctdmo_ghqr_instrument_recovered,2017-07-13T23:00:00,2017-07-13T23:00:01,0 days 00:00:01,2018-07-27T22:14:00,2018-07-27T22:00:01,0 days 00:13:59,35581,,40.2048,no_deploy_depth,ctdmo_seawater_pressure,dbar,126,[],[],"[[u'2017-10-28T05:00:01', u'2017-11-05T13:15:01']]",pass,pass,deployment0005_GP03FLMA-RIM01-02-CTDMOG040-recovered_inst-ctdmo_ghqr_instrument_recovered_20170713T230001-20180727T220001.nc
